cik,date,value,component
4285,2001-01-01,1,aluminum_domestic
18230,2001-01-01,1,aluminum_domestic
65195,2001-01-01,1,aluminum_domestic
75644,2001-01-01,1,aluminum_domestic
230211,2001-01-01,1,aluminum_domestic
710807,2001-01-01,1,aluminum_domestic
841692,2001-01-01,1,aluminum_domestic
921500,2001-01-01,1,aluminum_domestic
1029336,2001-01-01,1,aluminum_domestic
1048911,2001-01-01,1,aluminum_domestic
1072805,2001-01-01,1,aluminum_domestic
1094371,2001-01-01,1,aluminum_domestic
1096385,2001-01-01,1,aluminum_domestic
1097313,2001-01-01,1,aluminum_domestic
1100734,2001-01-01,1,aluminum_domestic
1107573,2001-01-01,1,aluminum_domestic
1110891,2001-01-01,1,aluminum_domestic
1111938,2001-01-01,1,aluminum_domestic
4285,2001-02-01,1,aluminum_domestic
75644,2001-02-01,1,aluminum_domestic
866121,2001-02-01,1,aluminum_domestic
921046,2001-02-01,1,aluminum_domestic
1072229,2001-02-01,1,aluminum_domestic
30927,2001-03-01,1,aluminum_domestic
34046,2001-03-01,1,aluminum_domestic
44545,2001-03-01,1,aluminum_domestic
66904,2001-03-01,1,aluminum_domestic
95301,2001-03-01,1,aluminum_domestic
277509,2001-03-01,1,aluminum_domestic
814453,2001-03-01,1,aluminum_domestic
949157,2001-03-01,1,aluminum_domestic
1011733,2001-03-01,1,aluminum_domestic
1059364,2001-03-01,1,aluminum_domestic
1059562,2001-03-01,1,aluminum_domestic
1059567,2001-03-01,1,aluminum_domestic
1059568,2001-03-01,1,aluminum_domestic
1059570,2001-03-01,1,aluminum_domestic
1059572,2001-03-01,1,aluminum_domestic
1059573,2001-03-01,1,aluminum_domestic
1059575,2001-03-01,1,aluminum_domestic
1059576,2001-03-01,1,aluminum_domestic
18230,2001-04-01,1,aluminum_domestic
820526,2001-04-01,1,aluminum_domestic
949157,2001-04-01,1,aluminum_domestic
1010775,2001-04-01,1,aluminum_domestic
1059562,2001-04-01,1,aluminum_domestic
1115841,2001-04-01,1,aluminum_domestic
60911,2001-05-01,1,aluminum_domestic
95301,2001-05-01,1,aluminum_domestic
351127,2001-05-01,1,aluminum_domestic
1072805,2001-05-01,1,aluminum_domestic
1094371,2001-05-01,1,aluminum_domestic
9389,2001-06-01,1,aluminum_domestic
30305,2001-06-01,1,aluminum_domestic
61138,2001-06-01,1,aluminum_domestic
73902,2001-06-01,1,aluminum_domestic
96116,2001-06-01,1,aluminum_domestic
717605,2001-06-01,1,aluminum_domestic
790023,2001-06-01,1,aluminum_domestic
856164,2001-06-01,1,aluminum_domestic
893670,2001-06-01,1,aluminum_domestic
915913,2001-06-01,1,aluminum_domestic
916075,2001-06-01,1,aluminum_domestic
931148,2001-06-01,1,aluminum_domestic
1019361,2001-06-01,1,aluminum_domestic
1041645,2001-06-01,1,aluminum_domestic
65195,2001-07-01,1,aluminum_domestic
78853,2001-07-01,1,aluminum_domestic
351127,2001-07-01,1,aluminum_domestic
833083,2001-07-01,1,aluminum_domestic
856164,2001-07-01,1,aluminum_domestic
931148,2001-07-01,1,aluminum_domestic
1018099,2001-07-01,1,aluminum_domestic
1056218,2001-07-01,1,aluminum_domestic
1094371,2001-07-01,1,aluminum_domestic
4281,2001-08-01,1,aluminum_domestic
21212,2001-08-01,1,aluminum_domestic
34046,2001-08-01,1,aluminum_domestic
82172,2001-08-01,1,aluminum_domestic
887226,2001-08-01,1,aluminum_domestic
892793,2001-08-01,1,aluminum_domestic
893670,2001-08-01,1,aluminum_domestic
906469,2001-08-01,1,aluminum_domestic
1059562,2001-08-01,1,aluminum_domestic
