filing_date,count,component
2001-01-31,18,aluminum_domestic
2001-02-28,6,aluminum_domestic
2001-03-31,18,aluminum_domestic
2001-04-30,7,aluminum_domestic
2001-05-31,6,aluminum_domestic
2001-06-30,14,aluminum_domestic
2001-07-31,10,aluminum_domestic
2001-08-31,10,aluminum_domestic
2001-09-30,3,aluminum_domestic
2001-10-31,6,aluminum_domestic
2001-11-30,12,aluminum_domestic
2001-12-31,8,aluminum_domestic
2002-01-31,15,aluminum_domestic
2002-02-28,13,aluminum_domestic
2002-03-31,34,aluminum_domestic
2002-04-30,12,aluminum_domestic
2002-05-31,22,aluminum_domestic
2002-06-30,7,aluminum_domestic
2002-07-31,14,aluminum_domestic
2002-08-31,15,aluminum_domestic
2002-09-30,10,aluminum_domestic
2002-10-31,25,aluminum_domestic
2002-11-30,13,aluminum_domestic
2002-12-31,13,aluminum_domestic
2003-01-31,21,aluminum_domestic
2003-02-28,17,aluminum_domestic
2003-03-31,16,aluminum_domestic
2003-04-30,51,aluminum_domestic
2003-05-31,37,aluminum_domestic
2003-06-30,19,aluminum_domestic
2003-07-31,52,aluminum_domestic
2003-08-31,39,aluminum_domestic
2003-09-30,34,aluminum_domestic
2003-10-31,61,aluminum_domestic
2003-11-30,39,aluminum_domestic
2003-12-31,34,aluminum_domestic
2004-01-31,45,aluminum_domestic
2004-02-29,47,aluminum_domestic
2004-03-31,36,aluminum_domestic
2004-04-30,74,aluminum_domestic
2004-05-31,55,aluminum_domestic
2004-06-30,19,aluminum_domestic
2004-07-31,51,aluminum_domestic
2004-08-31,68,aluminum_domestic
2004-09-30,45,aluminum_domestic
2004-10-31,80,aluminum_domestic
2004-11-30,59,aluminum_domestic
2004-12-31,55,aluminum_domestic
2005-01-31,51,aluminum_domestic
2005-02-28,64,aluminum_domestic
2005-03-31,52,aluminum_domestic
2005-04-30,66,aluminum_domestic
2005-05-31,74,aluminum_domestic
2005-06-30,55,aluminum_domestic
2005-07-31,50,aluminum_domestic
2005-08-31,66,aluminum_domestic
2005-09-30,39,aluminum_domestic
