ownerOrg,period,count,component
Crypto Assets,1,1,aluminum_domestic
Energy & Transportation,1,1,aluminum_domestic
Manufacturing,1,1,aluminum_domestic
Energy & Transportation,1,4,aluminum_intl
Manufacturing,1,1,aluminum_intl
Energy & Transportation,1,2,nickel_domestic
Industrial Applications and Services,1,1,nickel_domestic
Energy & Transportation,1,6,nickel_intl
Manufacturing,1,2,nickel_intl
Industrial Applications and Services,1,2,titanium_domestic
Crypto Assets,1,7,copper_domestic
Energy & Transportation,1,3,copper_domestic
Manufacturing,1,1,copper_domestic
Energy & Transportation,1,20,copper_intl
Manufacturing,1,1,copper_intl
