cik,date,value,component
66895,2001-08-01,1,nitric-acid_domestic
98410,2001-10-01,1,nitric-acid_domestic
60714,2001-12-01,1,nitric-acid_domestic
1053518,2001-12-01,1,nitric-acid_domestic
60714,2002-12-01,1,nitric-acid_domestic
855931,2003-02-01,1,nitric-acid_domestic
855931,2003-04-01,1,nitric-acid_domestic
66895,2003-05-01,1,nitric-acid_domestic
855931,2003-07-01,1,nitric-acid_domestic
855931,2003-10-01,1,nitric-acid_domestic
34616,2003-11-01,1,nitric-acid_domestic
855931,2004-02-01,1,nitric-acid_domestic
66895,2004-04-01,1,nitric-acid_domestic
855931,2004-04-01,1,nitric-acid_domestic
855931,2004-07-01,1,nitric-acid_domestic
60714,2004-09-01,1,nitric-acid_domestic
722079,2004-10-01,1,nitric-acid_domestic
855931,2004-10-01,1,nitric-acid_domestic
720896,2004-11-01,1,nitric-acid_domestic
722079,2004-12-01,1,nitric-acid_domestic
868725,2004-12-01,1,nitric-acid_domestic
855931,2005-01-01,1,nitric-acid_domestic
868725,2005-01-01,1,nitric-acid_domestic
60714,2005-03-01,1,nitric-acid_domestic
855931,2005-04-01,1,nitric-acid_domestic
60714,2005-05-01,1,nitric-acid_domestic
830656,2005-05-01,1,nitric-acid_domestic
855931,2005-07-01,1,nitric-acid_domestic
60714,2005-08-01,1,nitric-acid_domestic
60714,2005-09-01,1,nitric-acid_domestic
60714,2005-10-01,1,nitric-acid_domestic
855931,2005-10-01,1,nitric-acid_domestic
60714,2005-11-01,1,nitric-acid_domestic
722079,2005-11-01,1,nitric-acid_domestic
868725,2005-11-01,1,nitric-acid_domestic
855931,2006-01-01,1,nitric-acid_domestic
868725,2006-03-01,1,nitric-acid_domestic
60714,2006-04-01,1,nitric-acid_domestic
855931,2006-04-01,1,nitric-acid_domestic
868725,2006-04-01,1,nitric-acid_domestic
60714,2006-05-01,1,nitric-acid_domestic
868725,2006-05-01,1,nitric-acid_domestic
316253,2006-06-01,1,nitric-acid_domestic
855931,2006-07-01,1,nitric-acid_domestic
1053361,2006-07-01,1,nitric-acid_domestic
855931,2006-10-01,1,nitric-acid_domestic
1053361,2006-10-01,1,nitric-acid_domestic
851726,2006-11-01,1,nitric-acid_domestic
855931,2007-01-01,1,nitric-acid_domestic
855931,2007-04-01,1,nitric-acid_domestic
868725,2007-04-01,1,nitric-acid_domestic
60714,2007-06-01,1,nitric-acid_domestic
855931,2007-07-01,1,nitric-acid_domestic
1043382,2007-09-01,1,nitric-acid_domestic
855931,2007-10-01,1,nitric-acid_domestic
1043382,2007-10-01,1,nitric-acid_domestic
1162816,2007-11-01,1,nitric-acid_domestic
855931,2008-01-01,1,nitric-acid_domestic
1376139,2008-02-01,1,nitric-acid_domestic
60714,2008-03-01,1,nitric-acid_domestic
1411036,2008-03-01,1,nitric-acid_domestic
855931,2008-04-01,1,nitric-acid_domestic
1160165,2008-06-01,1,nitric-acid_domestic
855931,2008-07-01,1,nitric-acid_domestic
60714,2008-08-01,1,nitric-acid_domestic
1160165,2008-08-01,1,nitric-acid_domestic
60714,2008-10-01,1,nitric-acid_domestic
722079,2008-10-01,1,nitric-acid_domestic
855931,2008-10-01,1,nitric-acid_domestic
1160165,2008-10-01,1,nitric-acid_domestic
1378948,2008-10-01,1,nitric-acid_domestic
60714,2008-11-01,1,nitric-acid_domestic
1145404,2008-11-01,1,nitric-acid_domestic
1160165,2008-11-01,1,nitric-acid_domestic
855931,2009-01-01,1,nitric-acid_domestic
1378948,2009-03-01,1,nitric-acid_domestic
855931,2009-04-01,1,nitric-acid_domestic
60714,2009-06-01,1,nitric-acid_domestic
855931,2009-07-01,1,nitric-acid_domestic
855931,2009-10-01,1,nitric-acid_domestic
855931,2010-01-01,1,nitric-acid_domestic
1021635,2010-02-01,1,nitric-acid_domestic
868725,2010-03-01,1,nitric-acid_domestic
1419582,2010-03-01,1,nitric-acid_domestic
855931,2010-04-01,1,nitric-acid_domestic
1324404,2010-04-01,1,nitric-acid_domestic
60714,2010-07-01,1,nitric-acid_domestic
711034,2010-07-01,1,nitric-acid_domestic
855931,2010-07-01,1,nitric-acid_domestic
1334699,2010-07-01,1,nitric-acid_domestic
855931,2010-10-01,1,nitric-acid_domestic
60714,2010-11-01,1,nitric-acid_domestic
855931,2011-01-01,1,nitric-acid_domestic
1471136,2011-02-01,1,nitric-acid_domestic
1132143,2011-03-01,1,nitric-acid_domestic
60714,2011-04-01,1,nitric-acid_domestic
855931,2011-04-01,1,nitric-acid_domestic
91142,2011-07-01,1,nitric-acid_domestic
855931,2011-07-01,1,nitric-acid_domestic
60714,2011-08-01,1,nitric-acid_domestic
93384,2011-08-01,1,nitric-acid_domestic
855931,2011-10-01,1,nitric-acid_domestic
868725,2011-10-01,1,nitric-acid_domestic
1477032,2011-10-01,1,nitric-acid_domestic
868725,2011-11-01,1,nitric-acid_domestic
1525998,2011-11-01,1,nitric-acid_domestic
1477032,2011-12-01,1,nitric-acid_domestic
855931,2012-01-01,1,nitric-acid_domestic
1525998,2012-03-01,1,nitric-acid_domestic
855931,2012-04-01,1,nitric-acid_domestic
60714,2012-05-01,1,nitric-acid_domestic
1308841,2012-05-01,1,nitric-acid_domestic
1445942,2012-06-01,1,nitric-acid_domestic
855931,2012-07-01,1,nitric-acid_domestic
60714,2012-08-01,1,nitric-acid_domestic
1477032,2012-08-01,1,nitric-acid_domestic
60714,2012-09-01,1,nitric-acid_domestic
60714,2012-10-01,1,nitric-acid_domestic
855931,2012-10-01,1,nitric-acid_domestic
60714,2012-11-01,1,nitric-acid_domestic
1034563,2012-11-01,1,nitric-acid_domestic
1324404,2012-11-01,1,nitric-acid_domestic
1525998,2012-11-01,1,nitric-acid_domestic
60714,2012-12-01,1,nitric-acid_domestic
855931,2013-01-01,1,nitric-acid_domestic
60714,2013-02-01,1,nitric-acid_domestic
60714,2013-03-01,1,nitric-acid_domestic
1388174,2013-03-01,1,nitric-acid_domestic
1525998,2013-03-01,1,nitric-acid_domestic
855931,2013-04-01,1,nitric-acid_domestic
868725,2013-04-01,1,nitric-acid_domestic
1525998,2013-04-01,1,nitric-acid_domestic
60714,2013-05-01,1,nitric-acid_domestic
60714,2013-07-01,1,nitric-acid_domestic
855931,2013-07-01,1,nitric-acid_domestic
60714,2013-08-01,1,nitric-acid_domestic
60714,2013-10-01,1,nitric-acid_domestic
855931,2013-10-01,1,nitric-acid_domestic
1518548,2013-10-01,1,nitric-acid_domestic
60714,2013-11-01,1,nitric-acid_domestic
1525998,2013-11-01,1,nitric-acid_domestic
60714,2014-01-01,1,nitric-acid_domestic
855931,2014-01-01,1,nitric-acid_domestic
60714,2014-02-01,1,nitric-acid_domestic
1525998,2014-03-01,1,nitric-acid_domestic
855931,2014-04-01,1,nitric-acid_domestic
60714,2014-05-01,1,nitric-acid_domestic
1525998,2014-05-01,1,nitric-acid_domestic
60714,2014-06-01,1,nitric-acid_domestic
855931,2014-07-01,1,nitric-acid_domestic
60714,2014-08-01,1,nitric-acid_domestic
1525998,2014-08-01,1,nitric-acid_domestic
60714,2014-09-01,1,nitric-acid_domestic
868725,2014-09-01,1,nitric-acid_domestic
855931,2014-10-01,1,nitric-acid_domestic
60714,2014-11-01,1,nitric-acid_domestic
1525998,2014-11-01,1,nitric-acid_domestic
855931,2015-01-01,1,nitric-acid_domestic
1324404,2015-02-01,1,nitric-acid_domestic
60714,2015-03-01,1,nitric-acid_domestic
1525998,2015-03-01,1,nitric-acid_domestic
855931,2015-04-01,1,nitric-acid_domestic
1567892,2015-04-01,1,nitric-acid_domestic
60714,2015-05-01,1,nitric-acid_domestic
1288750,2015-05-01,1,nitric-acid_domestic
1324404,2015-05-01,1,nitric-acid_domestic
1525998,2015-05-01,1,nitric-acid_domestic
855931,2015-07-01,1,nitric-acid_domestic
1324404,2015-07-01,1,nitric-acid_domestic
60714,2015-08-01,1,nitric-acid_domestic
1324404,2015-08-01,1,nitric-acid_domestic
1425292,2015-08-01,1,nitric-acid_domestic
1525998,2015-08-01,1,nitric-acid_domestic
60714,2015-09-01,1,nitric-acid_domestic
855931,2015-10-01,1,nitric-acid_domestic
60714,2015-11-01,1,nitric-acid_domestic
1324404,2015-11-01,1,nitric-acid_domestic
1525998,2015-11-01,1,nitric-acid_domestic
60714,2015-12-01,1,nitric-acid_domestic
1324404,2015-12-01,1,nitric-acid_domestic
855931,2016-01-01,1,nitric-acid_domestic
1324404,2016-02-01,1,nitric-acid_domestic
60714,2016-03-01,1,nitric-acid_domestic
855931,2016-04-01,1,nitric-acid_domestic
60714,2016-05-01,1,nitric-acid_domestic
1324404,2016-05-01,1,nitric-acid_domestic
1425292,2016-05-01,1,nitric-acid_domestic
60714,2016-07-01,1,nitric-acid_domestic
855931,2016-07-01,1,nitric-acid_domestic
60714,2016-08-01,1,nitric-acid_domestic
1324404,2016-08-01,1,nitric-acid_domestic
1425292,2016-09-01,1,nitric-acid_domestic
855931,2016-10-01,1,nitric-acid_domestic
60714,2016-11-01,1,nitric-acid_domestic
1324404,2016-11-01,1,nitric-acid_domestic
1357615,2016-11-01,1,nitric-acid_domestic
1357615,2016-12-01,1,nitric-acid_domestic
1425292,2016-12-01,1,nitric-acid_domestic
60714,2017-01-01,1,nitric-acid_domestic
855931,2017-01-01,1,nitric-acid_domestic
60714,2017-02-01,1,nitric-acid_domestic
1324404,2017-02-01,1,nitric-acid_domestic
1357615,2017-02-01,1,nitric-acid_domestic
1357615,2017-03-01,1,nitric-acid_domestic
60714,2017-04-01,1,nitric-acid_domestic
855931,2017-04-01,1,nitric-acid_domestic
1357615,2017-04-01,1,nitric-acid_domestic
1324404,2017-05-01,1,nitric-acid_domestic
1357615,2017-05-01,1,nitric-acid_domestic
60714,2017-07-01,1,nitric-acid_domestic
855931,2017-07-01,1,nitric-acid_domestic
1324404,2017-08-01,1,nitric-acid_domestic
1357615,2017-08-01,1,nitric-acid_domestic
60714,2017-10-01,1,nitric-acid_domestic
855931,2017-10-01,1,nitric-acid_domestic
1357615,2017-10-01,1,nitric-acid_domestic
1324404,2017-11-01,1,nitric-acid_domestic
1543418,2017-11-01,1,nitric-acid_domestic
60714,2018-02-01,1,nitric-acid_domestic
1324404,2018-02-01,1,nitric-acid_domestic
1357615,2018-02-01,1,nitric-acid_domestic
783324,2018-03-01,1,nitric-acid_domestic
1356576,2018-03-01,1,nitric-acid_domestic
60714,2018-04-01,1,nitric-acid_domestic
1357615,2018-04-01,1,nitric-acid_domestic
1543418,2018-04-01,1,nitric-acid_domestic
1324404,2018-05-01,1,nitric-acid_domestic
60714,2018-07-01,1,nitric-acid_domestic
1357615,2018-07-01,1,nitric-acid_domestic
1324404,2018-08-01,1,nitric-acid_domestic
60714,2018-10-01,1,nitric-acid_domestic
1324404,2018-10-01,1,nitric-acid_domestic
1357615,2018-10-01,1,nitric-acid_domestic
1357615,2018-11-01,1,nitric-acid_domestic
60714,2019-02-01,1,nitric-acid_domestic
1324404,2019-02-01,1,nitric-acid_domestic
1357615,2019-02-01,1,nitric-acid_domestic
60714,2019-04-01,1,nitric-acid_domestic
1324404,2019-05-01,1,nitric-acid_domestic
1357615,2019-05-01,1,nitric-acid_domestic
60714,2019-07-01,1,nitric-acid_domestic
1324404,2019-07-01,1,nitric-acid_domestic
60714,2019-10-01,1,nitric-acid_domestic
783324,2019-10-01,1,nitric-acid_domestic
1324404,2019-10-01,1,nitric-acid_domestic
60714,2020-02-01,1,nitric-acid_domestic
1324404,2020-02-01,1,nitric-acid_domestic
60714,2020-05-01,1,nitric-acid_domestic
1324404,2020-05-01,1,nitric-acid_domestic
