cik,date,value,component
716039,2001-01-01,1,graphite_domestic
1045828,2001-03-01,1,graphite_domestic
888918,2001-06-01,1,graphite_domestic
931148,2001-06-01,1,graphite_domestic
888918,2001-07-01,1,graphite_domestic
931148,2001-07-01,1,graphite_domestic
886530,2001-08-01,1,graphite_domestic
888918,2001-08-01,1,graphite_domestic
888918,2001-09-01,1,graphite_domestic
888918,2001-10-01,1,graphite_domestic
888918,2001-11-01,1,graphite_domestic
1066806,2001-11-01,1,graphite_domestic
888918,2001-12-01,1,graphite_domestic
888918,2002-01-01,1,graphite_domestic
931148,2002-01-01,1,graphite_domestic
888918,2002-02-01,1,graphite_domestic
911566,2002-02-01,1,graphite_domestic
931148,2002-02-01,1,graphite_domestic
888918,2002-03-01,1,graphite_domestic
1111118,2002-03-01,1,graphite_domestic
888918,2002-04-01,1,graphite_domestic
931148,2002-04-01,1,graphite_domestic
931148,2002-05-01,1,graphite_domestic
830141,2002-06-01,1,graphite_domestic
888918,2002-06-01,1,graphite_domestic
1016395,2002-06-01,1,graphite_domestic
888918,2002-07-01,1,graphite_domestic
902272,2002-07-01,1,graphite_domestic
1035422,2002-07-01,1,graphite_domestic
888918,2002-08-01,1,graphite_domestic
1016395,2002-08-01,1,graphite_domestic
1035422,2002-08-01,1,graphite_domestic
888918,2002-09-01,1,graphite_domestic
1016395,2002-09-01,1,graphite_domestic
1035422,2002-09-01,1,graphite_domestic
888918,2002-10-01,1,graphite_domestic
888918,2002-11-01,1,graphite_domestic
849240,2002-12-01,1,graphite_domestic
931148,2003-02-01,1,graphite_domestic
1016395,2003-02-01,1,graphite_domestic
73309,2003-04-01,1,graphite_domestic
902272,2003-04-01,1,graphite_domestic
931148,2003-04-01,1,graphite_domestic
902272,2003-05-01,1,graphite_domestic
902272,2003-06-01,1,graphite_domestic
34471,2003-07-01,1,graphite_domestic
73309,2003-07-01,1,graphite_domestic
902272,2003-07-01,1,graphite_domestic
931148,2003-07-01,1,graphite_domestic
945212,2003-07-01,1,graphite_domestic
1035422,2003-07-01,1,graphite_domestic
931148,2003-08-01,1,graphite_domestic
1078547,2003-08-01,1,graphite_domestic
902272,2003-09-01,1,graphite_domestic
931148,2003-09-01,1,graphite_domestic
1104657,2003-09-01,1,graphite_domestic
1160598,2003-09-01,1,graphite_domestic
73309,2003-10-01,1,graphite_domestic
902272,2003-10-01,1,graphite_domestic
931148,2003-10-01,1,graphite_domestic
1011657,2003-10-01,1,graphite_domestic
1015868,2003-10-01,1,graphite_domestic
1104657,2003-10-01,1,graphite_domestic
22444,2003-11-01,1,graphite_domestic
1078547,2003-11-01,1,graphite_domestic
1112424,2003-11-01,1,graphite_domestic
73309,2004-01-01,1,graphite_domestic
764065,2004-01-01,1,graphite_domestic
931148,2004-01-01,1,graphite_domestic
1103090,2004-01-01,1,graphite_domestic
902272,2004-02-01,1,graphite_domestic
916504,2004-02-01,1,graphite_domestic
931148,2004-02-01,1,graphite_domestic
1078547,2004-02-01,1,graphite_domestic
22444,2004-03-01,1,graphite_domestic
84278,2004-03-01,1,graphite_domestic
1104657,2004-03-01,1,graphite_domestic
902272,2004-04-01,1,graphite_domestic
931148,2004-04-01,1,graphite_domestic
1231868,2004-04-01,1,graphite_domestic
902272,2004-05-01,1,graphite_domestic
931148,2004-05-01,1,graphite_domestic
1078547,2004-05-01,1,graphite_domestic
22444,2004-06-01,1,graphite_domestic
1223550,2004-06-01,1,graphite_domestic
902272,2004-07-01,1,graphite_domestic
931148,2004-07-01,1,graphite_domestic
902272,2004-08-01,1,graphite_domestic
1035422,2004-08-01,1,graphite_domestic
1078547,2004-08-01,1,graphite_domestic
1104657,2004-08-01,1,graphite_domestic
931148,2004-09-01,1,graphite_domestic
931148,2004-10-01,1,graphite_domestic
1104657,2004-10-01,1,graphite_domestic
1115954,2004-10-01,1,graphite_domestic
720896,2004-11-01,1,graphite_domestic
902272,2004-11-01,1,graphite_domestic
1078547,2004-11-01,1,graphite_domestic
1104657,2004-11-01,1,graphite_domestic
3570,2004-12-01,1,graphite_domestic
14995,2004-12-01,1,graphite_domestic
745287,2004-12-01,1,graphite_domestic
1115954,2004-12-01,1,graphite_domestic
745287,2005-01-01,1,graphite_domestic
902272,2005-01-01,1,graphite_domestic
931148,2005-01-01,1,graphite_domestic
1117171,2005-01-01,1,graphite_domestic
745287,2005-02-01,1,graphite_domestic
931148,2005-02-01,1,graphite_domestic
1104657,2005-02-01,1,graphite_domestic
22444,2005-03-01,1,graphite_domestic
84278,2005-03-01,1,graphite_domestic
745287,2005-03-01,1,graphite_domestic
902272,2005-03-01,1,graphite_domestic
931148,2005-03-01,1,graphite_domestic
1229089,2005-03-01,1,graphite_domestic
745287,2005-04-01,1,graphite_domestic
902272,2005-04-01,1,graphite_domestic
1078547,2005-04-01,1,graphite_domestic
745287,2005-05-01,1,graphite_domestic
902272,2005-05-01,1,graphite_domestic
931148,2005-05-01,1,graphite_domestic
1097313,2005-05-01,1,graphite_domestic
1104657,2005-05-01,1,graphite_domestic
1124394,2005-05-01,1,graphite_domestic
22444,2005-06-01,1,graphite_domestic
745287,2005-06-01,1,graphite_domestic
745287,2005-07-01,1,graphite_domestic
902272,2005-07-01,1,graphite_domestic
1104657,2005-07-01,1,graphite_domestic
1124394,2005-07-01,1,graphite_domestic
745287,2005-08-01,1,graphite_domestic
879519,2005-08-01,1,graphite_domestic
902272,2005-08-01,1,graphite_domestic
931148,2005-08-01,1,graphite_domestic
1035422,2005-08-01,1,graphite_domestic
1078547,2005-08-01,1,graphite_domestic
745287,2005-09-01,1,graphite_domestic
931148,2005-09-01,1,graphite_domestic
1016546,2005-09-01,1,graphite_domestic
745287,2005-10-01,1,graphite_domestic
902272,2005-10-01,1,graphite_domestic
1084554,2005-10-01,1,graphite_domestic
1104657,2005-10-01,1,graphite_domestic
902272,2005-11-01,1,graphite_domestic
931148,2005-11-01,1,graphite_domestic
1078547,2005-11-01,1,graphite_domestic
931148,2005-12-01,1,graphite_domestic
1084554,2006-01-01,1,graphite_domestic
1093818,2006-01-01,1,graphite_domestic
1115954,2006-01-01,1,graphite_domestic
931148,2006-02-01,1,graphite_domestic
1093818,2006-02-01,1,graphite_domestic
1104657,2006-02-01,1,graphite_domestic
1115954,2006-02-01,1,graphite_domestic
22444,2006-03-01,1,graphite_domestic
902272,2006-03-01,1,graphite_domestic
931148,2006-03-01,1,graphite_domestic
1078547,2006-03-01,1,graphite_domestic
1093818,2006-03-01,1,graphite_domestic
793524,2006-04-01,1,graphite_domestic
895642,2006-04-01,1,graphite_domestic
902272,2006-04-01,1,graphite_domestic
931015,2006-04-01,1,graphite_domestic
1093818,2006-04-01,1,graphite_domestic
793524,2006-05-01,1,graphite_domestic
895642,2006-05-01,1,graphite_domestic
902272,2006-05-01,1,graphite_domestic
931148,2006-05-01,1,graphite_domestic
1078547,2006-05-01,1,graphite_domestic
1115954,2006-05-01,1,graphite_domestic
1350031,2006-05-01,1,graphite_domestic
22444,2006-06-01,1,graphite_domestic
1115954,2006-06-01,1,graphite_domestic
1163003,2006-06-01,1,graphite_domestic
902272,2006-07-01,1,graphite_domestic
1013556,2006-07-01,1,graphite_domestic
1093818,2006-07-01,1,graphite_domestic
1124105,2006-07-01,1,graphite_domestic
866121,2006-08-01,1,graphite_domestic
902272,2006-08-01,1,graphite_domestic
931148,2006-08-01,1,graphite_domestic
1078547,2006-08-01,1,graphite_domestic
1093818,2006-08-01,1,graphite_domestic
1273813,2006-08-01,1,graphite_domestic
879519,2006-09-01,1,graphite_domestic
22444,2006-10-01,1,graphite_domestic
902272,2006-10-01,1,graphite_domestic
931148,2006-10-01,1,graphite_domestic
946991,2006-10-01,1,graphite_domestic
1093818,2006-10-01,1,graphite_domestic
1356505,2006-10-01,1,graphite_domestic
902272,2006-11-01,1,graphite_domestic
931148,2006-11-01,1,graphite_domestic
1078547,2006-11-01,1,graphite_domestic
1104657,2006-11-01,1,graphite_domestic
1273813,2006-11-01,1,graphite_domestic
1359555,2006-11-01,1,graphite_domestic
895642,2006-12-01,1,graphite_domestic
931148,2006-12-01,1,graphite_domestic
797662,2007-01-01,1,graphite_domestic
1078547,2007-01-01,1,graphite_domestic
895642,2007-02-01,1,graphite_domestic
902272,2007-02-01,1,graphite_domestic
931148,2007-02-01,1,graphite_domestic
1084226,2007-02-01,1,graphite_domestic
1273813,2007-02-01,1,graphite_domestic
793524,2007-03-01,1,graphite_domestic
902272,2007-03-01,1,graphite_domestic
931148,2007-03-01,1,graphite_domestic
1078547,2007-03-01,1,graphite_domestic
67347,2007-05-01,1,graphite_domestic
902272,2007-05-01,1,graphite_domestic
931148,2007-05-01,1,graphite_domestic
1078547,2007-05-01,1,graphite_domestic
1273813,2007-05-01,1,graphite_domestic
22444,2007-06-01,1,graphite_domestic
797662,2007-06-01,1,graphite_domestic
875729,2007-06-01,1,graphite_domestic
1031296,2007-06-01,1,graphite_domestic
1104657,2007-06-01,1,graphite_domestic
1035422,2007-07-01,1,graphite_domestic
1111284,2007-07-01,1,graphite_domestic
895642,2007-08-01,1,graphite_domestic
902272,2007-08-01,1,graphite_domestic
931148,2007-08-01,1,graphite_domestic
1078547,2007-08-01,1,graphite_domestic
1104657,2007-08-01,1,graphite_domestic
1273813,2007-08-01,1,graphite_domestic
875729,2007-09-01,1,graphite_domestic
902272,2007-09-01,1,graphite_domestic
1201135,2007-09-01,1,graphite_domestic
22444,2007-10-01,1,graphite_domestic
895642,2007-10-01,1,graphite_domestic
1201135,2007-10-01,1,graphite_domestic
95301,2007-11-01,1,graphite_domestic
895642,2007-11-01,1,graphite_domestic
902272,2007-11-01,1,graphite_domestic
931148,2007-11-01,1,graphite_domestic
1035422,2007-11-01,1,graphite_domestic
1078547,2007-11-01,1,graphite_domestic
1104657,2007-11-01,1,graphite_domestic
1176373,2007-11-01,1,graphite_domestic
1273813,2007-11-01,1,graphite_domestic
1368308,2007-11-01,1,graphite_domestic
793524,2007-12-01,1,graphite_domestic
902272,2007-12-01,1,graphite_domestic
931148,2007-12-01,1,graphite_domestic
1124394,2007-12-01,1,graphite_domestic
1284450,2007-12-01,1,graphite_domestic
22444,2008-01-01,1,graphite_domestic
1284450,2008-01-01,1,graphite_domestic
902272,2008-02-01,1,graphite_domestic
931148,2008-02-01,1,graphite_domestic
1035422,2008-02-01,1,graphite_domestic
1104657,2008-02-01,1,graphite_domestic
1201135,2008-02-01,1,graphite_domestic
1273813,2008-02-01,1,graphite_domestic
793524,2008-03-01,1,graphite_domestic
902272,2008-03-01,1,graphite_domestic
1078547,2008-03-01,1,graphite_domestic
1104657,2008-03-01,1,graphite_domestic
1284450,2008-03-01,1,graphite_domestic
797662,2008-05-01,1,graphite_domestic
808450,2008-05-01,1,graphite_domestic
902272,2008-05-01,1,graphite_domestic
931148,2008-05-01,1,graphite_domestic
943690,2008-05-01,1,graphite_domestic
1104657,2008-05-01,1,graphite_domestic
1273813,2008-05-01,1,graphite_domestic
879407,2008-06-01,1,graphite_domestic
1084226,2008-06-01,1,graphite_domestic
