cik,date,value,component
51143,2001-01-01,1,silicon_domestic
712752,2001-01-01,1,silicon_domestic
775473,2001-01-01,1,silicon_domestic
813672,2001-01-01,1,silicon_domestic
840823,2001-01-01,1,silicon_domestic
841692,2001-01-01,1,silicon_domestic
895419,2001-01-01,1,silicon_domestic
906408,2001-01-01,1,silicon_domestic
911215,2001-01-01,1,silicon_domestic
918386,2001-01-01,1,silicon_domestic
925054,2001-01-01,1,silicon_domestic
1009833,2001-01-01,1,silicon_domestic
1015155,2001-01-01,1,silicon_domestic
1036960,2001-01-01,1,silicon_domestic
1041623,2001-01-01,1,silicon_domestic
1042431,2001-01-01,1,silicon_domestic
1048982,2001-01-01,1,silicon_domestic
1054374,2001-01-01,1,silicon_domestic
1058057,2001-01-01,1,silicon_domestic
1088022,2001-01-01,1,silicon_domestic
1094371,2001-01-01,1,silicon_domestic
1096325,2001-01-01,1,silicon_domestic
1116521,2001-01-01,1,silicon_domestic
71180,2001-02-01,1,silicon_domestic
90144,2001-02-01,1,silicon_domestic
712752,2001-02-01,1,silicon_domestic
741508,2001-02-01,1,silicon_domestic
792130,2001-02-01,1,silicon_domestic
794323,2001-02-01,1,silicon_domestic
855182,2001-02-01,1,silicon_domestic
878230,2001-02-01,1,silicon_domestic
885672,2001-02-01,1,silicon_domestic
912093,2001-02-01,1,silicon_domestic
924901,2001-02-01,1,silicon_domestic
930429,2001-02-01,1,silicon_domestic
1013170,2001-02-01,1,silicon_domestic
1014383,2001-02-01,1,silicon_domestic
1015155,2001-02-01,1,silicon_domestic
1023966,2001-02-01,1,silicon_domestic
1037737,2001-02-01,1,silicon_domestic
1038339,2001-02-01,1,silicon_domestic
1043866,2001-02-01,1,silicon_domestic
1058057,2001-02-01,1,silicon_domestic
1096199,2001-02-01,1,silicon_domestic
1133471,2001-02-01,1,silicon_domestic
32272,2001-03-01,1,silicon_domestic
34046,2001-03-01,1,silicon_domestic
277509,2001-03-01,1,silicon_domestic
727303,2001-03-01,1,silicon_domestic
775473,2001-03-01,1,silicon_domestic
793981,2001-03-01,1,silicon_domestic
807732,2001-03-01,1,silicon_domestic
866492,2001-03-01,1,silicon_domestic
880259,2001-03-01,1,silicon_domestic
884905,2001-03-01,1,silicon_domestic
918386,2001-03-01,1,silicon_domestic
932352,2001-03-01,1,silicon_domestic
941775,2001-03-01,1,silicon_domestic
1009657,2001-03-01,1,silicon_domestic
1012270,2001-03-01,1,silicon_domestic
1013170,2001-03-01,1,silicon_domestic
1052593,2001-03-01,1,silicon_domestic
1054374,2001-03-01,1,silicon_domestic
1068885,2001-03-01,1,silicon_domestic
1076643,2001-03-01,1,silicon_domestic
1080558,2001-03-01,1,silicon_domestic
1102056,2001-03-01,1,silicon_domestic
40656,2001-04-01,1,silicon_domestic
51143,2001-04-01,1,silicon_domestic
703360,2001-04-01,1,silicon_domestic
712752,2001-04-01,1,silicon_domestic
775473,2001-04-01,1,silicon_domestic
791050,2001-04-01,1,silicon_domestic
800460,2001-04-01,1,silicon_domestic
817516,2001-04-01,1,silicon_domestic
855182,2001-04-01,1,silicon_domestic
874212,2001-04-01,1,silicon_domestic
907237,2001-04-01,1,silicon_domestic
910638,2001-04-01,1,silicon_domestic
917639,2001-04-01,1,silicon_domestic
1005387,2001-04-01,1,silicon_domestic
1011006,2001-04-01,1,silicon_domestic
1014552,2001-04-01,1,silicon_domestic
1023966,2001-04-01,1,silicon_domestic
1042431,2001-04-01,1,silicon_domestic
1050808,2001-04-01,1,silicon_domestic
1052593,2001-04-01,1,silicon_domestic
1054374,2001-04-01,1,silicon_domestic
1061554,2001-04-01,1,silicon_domestic
1078271,2001-04-01,1,silicon_domestic
1080558,2001-04-01,1,silicon_domestic
1092283,2001-04-01,1,silicon_domestic
1096325,2001-04-01,1,silicon_domestic
1098432,2001-04-01,1,silicon_domestic
1110511,2001-04-01,1,silicon_domestic
1128361,2001-04-01,1,silicon_domestic
703360,2001-05-01,1,silicon_domestic
712752,2001-05-01,1,silicon_domestic
810136,2001-05-01,1,silicon_domestic
850779,2001-05-01,1,silicon_domestic
855182,2001-05-01,1,silicon_domestic
883705,2001-05-01,1,silicon_domestic
889423,2001-05-01,1,silicon_domestic
893162,2001-05-01,1,silicon_domestic
897723,2001-05-01,1,silicon_domestic
906408,2001-05-01,1,silicon_domestic
912093,2001-05-01,1,silicon_domestic
913885,2001-05-01,1,silicon_domestic
917639,2001-05-01,1,silicon_domestic
930429,2001-05-01,1,silicon_domestic
933524,2001-05-01,1,silicon_domestic
945441,2001-05-01,1,silicon_domestic
1004960,2001-05-01,1,silicon_domestic
1009657,2001-05-01,1,silicon_domestic
1009675,2001-05-01,1,silicon_domestic
1011255,2001-05-01,1,silicon_domestic
1020416,2001-05-01,1,silicon_domestic
1076641,2001-05-01,1,silicon_domestic
1078271,2001-05-01,1,silicon_domestic
1080558,2001-05-01,1,silicon_domestic
1086890,2001-05-01,1,silicon_domestic
1089319,2001-05-01,1,silicon_domestic
1091271,2001-05-01,1,silicon_domestic
1091621,2001-05-01,1,silicon_domestic
1094371,2001-05-01,1,silicon_domestic
1098432,2001-05-01,1,silicon_domestic
1126899,2001-05-01,1,silicon_domestic
50471,2001-06-01,1,silicon_domestic
215219,2001-06-01,1,silicon_domestic
703360,2001-06-01,1,silicon_domestic
721161,2001-06-01,1,silicon_domestic
775473,2001-06-01,1,silicon_domestic
819255,2001-06-01,1,silicon_domestic
846771,2001-06-01,1,silicon_domestic
855182,2001-06-01,1,silicon_domestic
863680,2001-06-01,1,silicon_domestic
868326,2001-06-01,1,silicon_domestic
889423,2001-06-01,1,silicon_domestic
931148,2001-06-01,1,silicon_domestic
1003214,2001-06-01,1,silicon_domestic
1005007,2001-06-01,1,silicon_domestic
1020620,2001-06-01,1,silicon_domestic
1036290,2001-06-01,1,silicon_domestic
1054374,2001-06-01,1,silicon_domestic
1065857,2001-06-01,1,silicon_domestic
1066651,2001-06-01,1,silicon_domestic
1067797,2001-06-01,1,silicon_domestic
1090872,2001-06-01,1,silicon_domestic
1097452,2001-06-01,1,silicon_domestic
1098432,2001-06-01,1,silicon_domestic
1114925,2001-06-01,1,silicon_domestic
16496,2001-07-01,1,silicon_domestic
32272,2001-07-01,1,silicon_domestic
38777,2001-07-01,1,silicon_domestic
51143,2001-07-01,1,silicon_domestic
709804,2001-07-01,1,silicon_domestic
721161,2001-07-01,1,silicon_domestic
723125,2001-07-01,1,silicon_domestic
775473,2001-07-01,1,silicon_domestic
809877,2001-07-01,1,silicon_domestic
824225,2001-07-01,1,silicon_domestic
854093,2001-07-01,1,silicon_domestic
855182,2001-07-01,1,silicon_domestic
858877,2001-07-01,1,silicon_domestic
890096,2001-07-01,1,silicon_domestic
894329,2001-07-01,1,silicon_domestic
909326,2001-07-01,1,silicon_domestic
916457,2001-07-01,1,silicon_domestic
922224,2001-07-01,1,silicon_domestic
