filing_date,component,url,ownerOrg,name,cik
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1921865/000147793225002075/aspi_ex991.htm#:~:text=Silicon,Industrial Applications and Services,ASP Isotopes Inc.,1921865
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/895419/000119312525064715/d944887dex991.htm#:~:text=Silicon,Manufacturing,"WOLFSPEED, INC.",895419
2025-03-19,silicon_domestic,https://www.sec.gov/Archives/edgar/data/766792/000149315225010916/ex99-1.htm#:~:text=Silicon,Technology,CVD EQUIPMENT CORP,766792
2025-03-28,silicon_domestic,https://www.sec.gov/Archives/edgar/data/828146/000110465925029241/tm2510710d1_ex99-1.htm#:~:text=Silicon,Technology,INTERLINK ELECTRONICS INC,828146
2025-03-26,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1160308/000119312525064145/d936539d8k.htm#:~:text=Silicon,Life Sciences,Savara Inc,1160308
2025-03-20,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1899287/000189928725000010/ampriustechnologiesq4202.htm#:~:text=Silicon,Manufacturing,"Amprius Technologies, Inc.",1899287
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1789029/000095017025046143/aeva-ex99_1.htm#:~:text=Silicon,Manufacturing,"Aeva Technologies, Inc.",1789029
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1299130/000129913025000072/exhibit991-pressrelease032.htm#:~:text=Silicon,Industrial Applications and Services,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",1299130
2025-03-12,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1933414/000162828025012335/exhibit51-closing8xk.htm#:~:text=Silicon,Life Sciences,"Mineralys Therapeutics, Inc.",1933414
2025-03-10,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1552000/000119312525050596/d938554dex51.htm#:~:text=Silicon,Energy & Transportation,MPLX LP,1552000
2025-03-11,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1615219/000161521925000033/slrx-51opinionmarch2025xat.htm#:~:text=Silicon,Life Sciences,"Salarius Pharmaceuticals, Inc.",1615219
2025-03-14,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1053507/000119312525054806/d904653dex51.htm#:~:text=Silicon,Real Estate & Construction,AMERICAN TOWER CORP /MA/,1053507
2025-03-24,silicon_domestic,https://www.sec.gov/Archives/edgar/data/87050/000101376225001268/ea0235243-8k_neonode.htm#:~:text=Silicon,Manufacturing,Neonode Inc.,87050
2025-03-28,silicon_domestic,https://www.sec.gov/Archives/edgar/data/86521/000119312525067096/d932162dex51.htm#:~:text=Silicon,Energy & Transportation,SAN DIEGO GAS & ELECTRIC CO,86521
2025-03-28,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1032208/000119312525067096/d932162dex51.htm#:~:text=Silicon,Energy & Transportation,SEMPRA,1032208
2025-03-24,silicon_domestic,https://www.sec.gov/Archives/edgar/data/2488/000119312525061366/d914634dex51.htm#:~:text=Silicon,Manufacturing,ADVANCED MICRO DEVICES INC,2488
2025-03-26,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1468174/000119312525064107/d927917dex51.htm#:~:text=Silicon,Real Estate & Construction,Hyatt Hotels Corp,1468174
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1705696/000110465925028789/tm2510627d1_ex5-1.htm#:~:text=Silicon,Real Estate & Construction,VICI PROPERTIES INC.,1705696
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1920791/000110465925028789/tm2510627d1_ex5-1.htm#:~:text=Silicon,Real Estate & Construction,VICI Properties L.P.,1920791
2025-03-10,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1050446/000119312525050411/d872184dex51.htm#:~:text=Silicon,Crypto Assets,MICROSTRATEGY Inc,1050446
2025-03-13,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1582982/000149315225010132/ex99-1.htm#:~:text=Silicon,Technology,"CareCloud, Inc.",1582982
2025-03-19,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1289490/000119312525057808/d831833dex51.htm#:~:text=Silicon,Real Estate & Construction,Extra Space Storage Inc.,1289490
2025-03-28,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1838163/000164117225001035/ex99-2.htm#:~:text=Silicon,Technology,Brand Engagement Network Inc.,1838163
2025-03-12,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1607939/000119312525052600/d901444d8k.htm#:~:text=Silicon,Trade & Services,"Udemy, Inc.",1607939
2025-03-20,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1665300/000095017025042745/phun-ex99_1.htm#:~:text=Silicon,Technology,"Phunware, Inc.",1665300
2025-03-10,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1858848/000095017025036296/tnya-ex99_1.htm#:~:text=Silicon,Life Sciences,"Tenaya Therapeutics, Inc.",1858848
2025-03-12,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1600983/000110465925022699/tm258926d1_ex99-1.htm#:~:text=Silicon,Manufacturing,"Knightscope, Inc.",1600983
2025-03-19,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1789029/000095017025041998/aeva-ex99_1.htm#:~:text=Silicon,Manufacturing,"Aeva Technologies, Inc.",1789029
2025-03-20,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1816581/000119312525059238/d836986dex991.htm#:~:text=Silicon,Technology,"Ouster, Inc.",1816581
2025-03-27,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1711754/000101376225003401/ea023558402ex99-1_inmune.htm#:~:text=Silicon,Life Sciences,"Inmune Bio, Inc.",1711754
2025-03-17,silicon_domestic,https://www.sec.gov/Archives/edgar/data/22701/000121390025024370/ea023456301ex99-1_sunation.htm#:~:text=Silicon,Manufacturing,"SUNation Energy, Inc.",22701
2025-03-24,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1849056/000110465925027276/tm2510004d1_ex99-1.htm#:~:text=Silicon,Energy & Transportation,Oklo Inc.,1849056
2025-03-18,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000065/a991reportingpackageofso.htm#:~:text=Silicon,Energy & Transportation,CENTERPOINT ENERGY INC,1130310
2025-03-18,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1595974/000119312525056671/d942988dex101.htm#:~:text=Silicon,Technology,"MAGNITE, INC.",1595974
2025-03-12,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1123494/000117184325001416/exh_101.htm#:~:text=Silicon,Industrial Applications and Services,HARVARD BIOSCIENCE INC,1123494
2025-03-25,silicon_domestic,https://www.sec.gov/Archives/edgar/data/827054/000119312525062534/d931383dex101.htm#:~:text=Silicon,Manufacturing,MICROCHIP TECHNOLOGY INC,827054
2025-03-12,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1866368/000119312525052444/d853519dex21.htm#:~:text=Silicon,Technology,"Clearwater Analytics Holdings, Inc.",1866368
2025-03-26,silicon_domestic,https://www.sec.gov/Archives/edgar/data/1772695/000177269525000040/exhibit101-ezop3rdarcredit.htm#:~:text=Silicon,Energy & Transportation,Sunnova Energy International Inc.,1772695
2025-03-12,silicon_intl,https://www.sec.gov/Archives/edgar/data/928876/000117891325000796/zk2532860.htm#:~:text=Silicon,Manufacturing,TOWER SEMICONDUCTOR LTD,928876
2025-03-25,silicon_intl,https://www.sec.gov/Archives/edgar/data/928876/000117891325000998/zk2532915.htm#:~:text=Silicon,Manufacturing,TOWER SEMICONDUCTOR LTD,928876
2025-03-10,silicon_intl,https://www.sec.gov/Archives/edgar/data/928876/000117891325000746/zk2532839.htm#:~:text=Silicon,Manufacturing,TOWER SEMICONDUCTOR LTD,928876
2025-03-18,silicon_intl,https://www.sec.gov/Archives/edgar/data/1863006/000121390025024781/ea023461401ex99-1_valens.htm#:~:text=Silicon,Manufacturing,Valens Semiconductor Ltd.,1863006
2025-03-26,silicon_intl,https://www.sec.gov/Archives/edgar/data/1973832/000162828025014876/a2024_reservesandresources.pdf#:~:text=Silicon,Energy & Transportation,AngloGold Ashanti PLC,1973832
2025-03-17,silicon_intl,https://www.sec.gov/Archives/edgar/data/1477641/000110465925024198/tm259440d1_6k.htm#:~:text=Silicon,Manufacturing,DAQO NEW ENERGY CORP.,1477641
2025-03-13,silicon_intl,https://www.sec.gov/Archives/edgar/data/1819704/000155837025002910/tmb-20250313xex99d1.htm#:~:text=Silicon,Trade & Services,Medirom Healthcare Technologies Inc.,1819704
2025-03-11,silicon_intl,https://www.sec.gov/Archives/edgar/data/916793/000117891325000763/exhibit_99-1.htm#:~:text=Silicon,Technology,SILICOM LTD.,916793
2025-03-13,silicon_intl,https://www.sec.gov/Archives/edgar/data/1131399/000119312525053830/d923957dex51.htm#:~:text=Silicon,Life Sciences,GSK plc,1131399
2025-03-13,silicon_intl,https://www.sec.gov/Archives/edgar/data/1224544/000119312525053830/d923957dex51.htm#:~:text=Silicon,Life Sciences,GLAXOSMITHKLINE CAPITAL PLC,1224544
2025-03-13,silicon_intl,https://www.sec.gov/Archives/edgar/data/1224462/000119312525053830/d923957dex51.htm#:~:text=Silicon,Life Sciences,GLAXOSMITHKLINE CAPITAL INC,1224462
2025-03-26,silicon_intl,https://www.sec.gov/Archives/edgar/data/1481513/000110465925028049/tm2510537d1_ex99-1.htm#:~:text=Silicon,Manufacturing,"JinkoSolar Holding Co., Ltd.",1481513
2025-03-27,silicon_intl,https://www.sec.gov/Archives/edgar/data/932787/000093278725000010/stm_arxmaster-dar2024sec.htm#:~:text=Silicon,Manufacturing,STMicroelectronics N.V.,932787
2025-03-21,silicon_intl,https://www.sec.gov/Archives/edgar/data/1951222/000119380525000339/e664309_ex99-1.htm#:~:text=Silicon,Manufacturing,SEALSQ Corp,1951222
2025-03-20,silicon_intl,https://www.sec.gov/Archives/edgar/data/1033767/000129281425000981/ex99-1.htm#:~:text=Silicon,Manufacturing,UNITED MICROELECTRONICS CORP,1033767
2025-03-26,silicon_intl,https://www.sec.gov/Archives/edgar/data/1085921/000106299325006324/exhibit99-2.htm#:~:text=Silicon,Technology,MICROMEM TECHNOLOGIES INC,1085921
2025-03-18,silicon_intl,https://www.sec.gov/Archives/edgar/data/1810997/000119312525056220/d829413dex991.htm#:~:text=Silicon,Manufacturing,XPENG INC.,1810997
2025-03-25,silicon_intl,https://www.sec.gov/Archives/edgar/data/1375877/000110465925027542/tm2510215d1_ex99-1.htm#:~:text=Silicon,Manufacturing,Canadian Solar Inc.,1375877
2025-03-25,silicon_intl,https://www.sec.gov/Archives/edgar/data/1499543/000110465925027824/tm2510126d1_ex99-1.htm#:~:text=Silicon,Finance,Noah Holdings Ltd,1499543
2025-03-28,silicon_intl,https://www.sec.gov/Archives/edgar/data/1448397/000114036125010987/ef20046328_ex99-2.htm#:~:text=Silicon,Energy & Transportation,Seanergy Maritime Holdings Corp.,1448397
2025-03-14,silicon_intl,https://www.sec.gov/Archives/edgar/data/924613/000110465925023588/tm259167d1_ex99-2.htm#:~:text=Silicon,Manufacturing,NOKIA CORP,924613
2025-03-17,silicon_intl,https://www.sec.gov/Archives/edgar/data/889132/000119312525055511/d938857dex991.htm#:~:text=Silicon,Manufacturing,POSCO HOLDINGS INC.,889132
2025-03-10,silicon_intl,https://www.sec.gov/Archives/edgar/data/1780652/000110465925022174/tm258715d1_ex10-1.htm#:~:text=Silicon,Crypto Assets,Canaan Inc.,1780652
2025-03-21,silicon_intl,https://www.sec.gov/Archives/edgar/data/1232384/000123238425000032/ex991-tcenergy2025micengli.htm#:~:text=Silicon,Energy & Transportation,TC ENERGY CORP,1232384
2025-03-21,silicon_intl,https://www.sec.gov/Archives/edgar/data/99070/000123238425000032/ex991-tcenergy2025micengli.htm#:~:text=Silicon,Energy & Transportation,TRANSCANADA PIPELINES LTD,99070
2025-03-13,silicon_intl,https://www.sec.gov/Archives/edgar/data/1951089/000121390025023337/ea023391301ex96-1_critical.htm#:~:text=Silicon,Energy & Transportation,Critical Metals Corp.,1951089
2025-03-28,silicon_intl,https://www.sec.gov/Archives/edgar/data/1725882/000101376225004221/ea023605801ex99-1_inx.htm#:~:text=Silicon,Crypto Assets,INX Ltd,1725882
2025-03-20,silicon_intl,https://www.sec.gov/Archives/edgar/data/1071321/000110465925025897/tm251268d2_ex99-1.pdf#:~:text=Silicon,Technology,TURKCELL ILETISIM HIZMETLERI A S,1071321
2025-03-25,silicon_intl,https://www.sec.gov/Archives/edgar/data/1306965/000130696525000011/a6-kannualreportandaccounts.htm#:~:text=Silicon,Energy & Transportation,Shell plc,1306965
2025-03-19,gallium_domestic,https://www.sec.gov/Archives/edgar/data/1970622/000121390025025163/ea023473701ex99-6_usarare.htm#:~:text=Gallium,Energy & Transportation,"USA Rare Earth, Inc.",1970622
2025-03-25,gallium_domestic,https://www.sec.gov/Archives/edgar/data/924168/000162828025014605/ex991efoi4q24earningsrelea.htm#:~:text=Gallium,Manufacturing,"ENERGY FOCUS, INC/DE",924168
2025-03-17,gallium_intl,https://www.sec.gov/Archives/edgar/data/1951089/000121390025024551/ea0234667-6k_critical.htm#:~:text=Gallium,Energy & Transportation,Critical Metals Corp.,1951089
2025-03-21,gallium_intl,https://www.sec.gov/Archives/edgar/data/2007191/000200719125000037/gozpr.htm#:~:text=Gallium,Life Sciences,Telix Pharmaceuticals Ltd,2007191
2025-03-18,gallium_intl,https://www.sec.gov/Archives/edgar/data/2007191/000200719125000035/brzapp.htm#:~:text=Gallium,Life Sciences,Telix Pharmaceuticals Ltd,2007191
2025-03-19,gallium_intl,https://www.sec.gov/Archives/edgar/data/1951089/000121390025024970/ea023442601ex99-1_critical.htm#:~:text=Gallium,Energy & Transportation,Critical Metals Corp.,1951089
2025-03-13,gallium_intl,https://www.sec.gov/Archives/edgar/data/1951089/000121390025023337/ea023391301ex96-1_critical.htm#:~:text=Gallium,Energy & Transportation,Critical Metals Corp.,1951089
2025-03-10,gallium_intl,https://www.sec.gov/Archives/edgar/data/1780652/000110465925022174/tm258715d1_ex10-1.htm#:~:text=Gallium,Crypto Assets,Canaan Inc.,1780652
2025-03-27,gallium_intl,https://www.sec.gov/Archives/edgar/data/932787/000093278725000010/stm_arxmaster-dar2024sec.htm#:~:text=Gallium,Manufacturing,STMicroelectronics N.V.,932787
2025-03-13,germanium_intl,https://www.sec.gov/Archives/edgar/data/886986/000095014225000732/eh250603247_ex9901.pdf#:~:text=Germanium,Energy & Transportation,TECK RESOURCES LTD,886986
2025-03-26,indium_intl,https://www.sec.gov/Archives/edgar/data/1437424/000117184325001697/exh_991.htm#:~:text=Indium,Manufacturing,POET TECHNOLOGIES INC.,1437424
2025-03-13,indium_intl,https://www.sec.gov/Archives/edgar/data/886986/000095014225000732/eh250603247_ex9901.pdf#:~:text=Indium,Energy & Transportation,TECK RESOURCES LTD,886986
2025-03-12,indium_intl,https://www.sec.gov/Archives/edgar/data/1290109/000119312525052422/d916698d6k.htm#:~:text=Indium,Manufacturing,"LG Display Co., Ltd.",1290109
