cik,date,value,component
8670,2023-01-01,1,general_domestic
789019,2023-01-01,1,general_domestic
804328,2023-01-01,1,general_domestic
896878,2023-01-01,1,general_domestic
903651,2023-01-01,1,general_domestic
1005210,2023-01-01,1,general_domestic
1013237,2023-01-01,1,general_domestic
1045810,2023-01-01,1,general_domestic
1120970,2023-01-01,1,general_domestic
1345016,2023-01-01,1,general_domestic
1364954,2023-01-01,1,general_domestic
1528396,2023-01-01,1,general_domestic
1562088,2023-01-01,1,general_domestic
1565687,2023-01-01,1,general_domestic
1577526,2023-01-01,1,general_domestic
1615165,2023-01-01,1,general_domestic
1645590,2023-01-01,1,general_domestic
1707753,2023-01-01,1,general_domestic
1713683,2023-01-01,1,general_domestic
1768267,2023-01-01,1,general_domestic
1769804,2023-01-01,1,general_domestic
1828972,2023-01-01,1,general_domestic
8670,2024-01-01,1,general_domestic
50863,2024-01-01,1,general_domestic
62709,2024-01-01,1,general_domestic
64463,2024-01-01,1,general_domestic
72903,2024-01-01,1,general_domestic
72909,2024-01-01,1,general_domestic
81018,2024-01-01,1,general_domestic
92521,2024-01-01,1,general_domestic
107140,2024-01-01,1,general_domestic
230557,2024-01-01,1,general_domestic
314489,2024-01-01,1,general_domestic
315213,2024-01-01,1,general_domestic
746838,2024-01-01,1,general_domestic
749251,2024-01-01,1,general_domestic
789019,2024-01-01,1,general_domestic
804328,2024-01-01,1,general_domestic
816761,2024-01-01,1,general_domestic
818479,2024-01-01,1,general_domestic
860413,2024-01-01,1,general_domestic
861878,2024-01-01,1,general_domestic
896493,2024-01-01,1,general_domestic
896878,2024-01-01,1,general_domestic
899051,2024-01-01,1,general_domestic
899715,2024-01-01,1,general_domestic
903651,2024-01-01,1,general_domestic
929008,2024-01-01,1,general_domestic
1004036,2024-01-01,1,general_domestic
1005210,2024-01-01,1,general_domestic
1013237,2024-01-01,1,general_domestic
1023313,2024-01-01,1,general_domestic
1035443,2024-01-01,1,general_domestic
1043604,2024-01-01,1,general_domestic
1045810,2024-01-01,1,general_domestic
1075531,2024-01-01,1,general_domestic
1102993,2024-01-01,1,general_domestic
1108524,2024-01-01,1,general_domestic
1113232,2024-01-01,1,general_domestic
1117297,2024-01-01,1,general_domestic
1123852,2024-01-01,1,general_domestic
1127703,2024-01-01,1,general_domestic
1144879,2024-01-01,1,general_domestic
1156039,2024-01-01,1,general_domestic
1166388,2024-01-01,1,general_domestic
1172052,2024-01-01,1,general_domestic
1176948,2024-01-01,1,general_domestic
1224133,2024-01-01,1,general_domestic
1280263,2024-01-01,1,general_domestic
1288847,2024-01-01,1,general_domestic
1293282,2024-01-01,1,general_domestic
1316944,2024-01-01,1,general_domestic
1321655,2024-01-01,1,general_domestic
1325964,2024-01-01,1,general_domestic
1327811,2024-01-01,1,general_domestic
1331875,2024-01-01,1,general_domestic
1345016,2024-01-01,1,general_domestic
1351636,2024-01-01,1,general_domestic
1355001,2024-01-01,1,general_domestic
1361113,2024-01-01,1,general_domestic
1362190,2024-01-01,1,general_domestic
1364954,2024-01-01,1,general_domestic
1368622,2024-01-01,1,general_domestic
1370637,2024-01-01,1,general_domestic
1372612,2024-01-01,1,general_domestic
1373715,2024-01-01,1,general_domestic
1382821,2024-01-01,1,general_domestic
1384905,2024-01-01,1,general_domestic
1398987,2024-01-01,1,general_domestic
1441683,2024-01-01,1,general_domestic
1442145,2024-01-01,1,general_domestic
1459200,2024-01-01,1,general_domestic
1464343,2024-01-01,1,general_domestic
1468666,2024-01-01,1,general_domestic
1528396,2024-01-01,1,general_domestic
1562088,2024-01-01,1,general_domestic
1565687,2024-01-01,1,general_domestic
1568651,2024-01-01,1,general_domestic
1577526,2024-01-01,1,general_domestic
1579091,2024-01-01,1,general_domestic
1579684,2024-01-01,1,general_domestic
1582961,2024-01-01,1,general_domestic
1583708,2024-01-01,1,general_domestic
1585521,2024-01-01,1,general_domestic
1601830,2024-01-01,1,general_domestic
1614178,2024-01-01,1,general_domestic
1615165,2024-01-01,1,general_domestic
1617553,2024-01-01,1,general_domestic
1618732,2024-01-01,1,general_domestic
1631282,2024-01-01,1,general_domestic
1640147,2024-01-01,1,general_domestic
1645590,2024-01-01,1,general_domestic
1652044,2024-01-01,1,general_domestic
1656634,2024-01-01,1,general_domestic
1682852,2024-01-01,1,general_domestic
1689923,2024-01-01,1,general_domestic
1707753,2024-01-01,1,general_domestic
1713683,2024-01-01,1,general_domestic
1718939,2024-01-01,1,general_domestic
1720671,2024-01-01,1,general_domestic
1725057,2024-01-01,1,general_domestic
1734722,2024-01-01,1,general_domestic
1743725,2024-01-01,1,general_domestic
1758009,2024-01-01,1,general_domestic
1764046,2024-01-01,1,general_domestic
1768267,2024-01-01,1,general_domestic
1769804,2024-01-01,1,general_domestic
1788999,2024-01-01,1,general_domestic
1799208,2024-01-01,1,general_domestic
1800667,2024-01-01,1,general_domestic
1804591,2024-01-01,1,general_domestic
1807166,2024-01-01,1,general_domestic
1820872,2024-01-01,1,general_domestic
1822966,2024-01-01,1,general_domestic
1826681,2024-01-01,1,general_domestic
1828016,2024-01-01,1,general_domestic
1828852,2024-01-01,1,general_domestic
1828972,2024-01-01,1,general_domestic
1829864,2024-01-01,1,general_domestic
1830214,2024-01-01,1,general_domestic
1838163,2024-01-01,1,general_domestic
1840856,2024-01-01,1,general_domestic
1841408,2024-01-01,1,general_domestic
1848672,2024-01-01,1,general_domestic
1853044,2024-01-01,1,general_domestic
1866550,2024-01-01,1,general_domestic
1898474,2024-01-01,1,general_domestic
1932393,2024-01-01,1,general_domestic
1934850,2024-01-01,1,general_domestic
1945619,2024-01-01,1,general_domestic
1964979,2024-01-01,1,general_domestic
1993004,2024-01-01,1,general_domestic
2488,2025-01-01,1,general_domestic
22767,2025-01-01,1,general_domestic
35527,2025-01-01,1,general_domestic
50863,2025-01-01,1,general_domestic
62709,2025-01-01,1,general_domestic
72903,2025-01-01,1,general_domestic
72909,2025-01-01,1,general_domestic
81018,2025-01-01,1,general_domestic
81023,2025-01-01,1,general_domestic
92521,2025-01-01,1,general_domestic
98222,2025-01-01,1,general_domestic
230557,2025-01-01,1,general_domestic
315213,2025-01-01,1,general_domestic
320121,2025-01-01,1,general_domestic
708955,2025-01-01,1,general_domestic
714562,2025-01-01,1,general_domestic
746838,2025-01-01,1,general_domestic
749251,2025-01-01,1,general_domestic
750004,2025-01-01,1,general_domestic
759944,2025-01-01,1,general_domestic
796343,2025-01-01,1,general_domestic
818479,2025-01-01,1,general_domestic
860413,2025-01-01,1,general_domestic
877212,2025-01-01,1,general_domestic
899051,2025-01-01,1,general_domestic
899715,2025-01-01,1,general_domestic
903651,2025-01-01,1,general_domestic
912593,2025-01-01,1,general_domestic
917273,2025-01-01,1,general_domestic
929008,2025-01-01,1,general_domestic
933036,2025-01-01,1,general_domestic
1004036,2025-01-01,1,general_domestic
1013857,2025-01-01,1,general_domestic
1023313,2025-01-01,1,general_domestic
1035443,2025-01-01,1,general_domestic
1043277,2025-01-01,1,general_domestic
1043604,2025-01-01,1,general_domestic
1045810,2025-01-01,1,general_domestic
1046568,2025-01-01,1,general_domestic
1052354,2025-01-01,1,general_domestic
1053691,2025-01-01,1,general_domestic
1056696,2025-01-01,1,general_domestic
1065088,2025-01-01,1,general_domestic
1071739,2025-01-01,1,general_domestic
1102993,2025-01-01,1,general_domestic
1108426,2025-01-01,1,general_domestic
1108524,2025-01-01,1,general_domestic
1113232,2025-01-01,1,general_domestic
1120970,2025-01-01,1,general_domestic
1123852,2025-01-01,1,general_domestic
1127703,2025-01-01,1,general_domestic
1166388,2025-01-01,1,general_domestic
1172052,2025-01-01,1,general_domestic
1173489,2025-01-01,1,general_domestic
1176948,2025-01-01,1,general_domestic
1224133,2025-01-01,1,general_domestic
1275014,2025-01-01,1,general_domestic
1280263,2025-01-01,1,general_domestic
1286139,2025-01-01,1,general_domestic
1288847,2025-01-01,1,general_domestic
1298675,2025-01-01,1,general_domestic
1300485,2025-01-01,1,general_domestic
1316944,2025-01-01,1,general_domestic
1321655,2025-01-01,1,general_domestic
1325964,2025-01-01,1,general_domestic
1327811,2025-01-01,1,general_domestic
1331875,2025-01-01,1,general_domestic
1345016,2025-01-01,1,general_domestic
1355001,2025-01-01,1,general_domestic
1355839,2025-01-01,1,general_domestic
1361113,2025-01-01,1,general_domestic
1362190,2025-01-01,1,general_domestic
1364954,2025-01-01,1,general_domestic
1370637,2025-01-01,1,general_domestic
1371285,2025-01-01,1,general_domestic
1371489,2025-01-01,1,general_domestic
1372612,2025-01-01,1,general_domestic
1373715,2025-01-01,1,general_domestic
1375365,2025-01-01,1,general_domestic
1382821,2025-01-01,1,general_domestic
1384905,2025-01-01,1,general_domestic
1397911,2025-01-01,1,general_domestic
1398987,2025-01-01,1,general_domestic
1432133,2025-01-01,1,general_domestic
1441683,2025-01-01,1,general_domestic
1442145,2025-01-01,1,general_domestic
1451505,2025-01-01,1,general_domestic
1454938,2025-01-01,1,general_domestic
1459200,2025-01-01,1,general_domestic
1464343,2025-01-01,1,general_domestic
1478242,2025-01-01,1,general_domestic
1481792,2025-01-01,1,general_domestic
1515673,2025-01-01,1,general_domestic
1527166,2025-01-01,1,general_domestic
1533998,2025-01-01,1,general_domestic
1538379,2025-01-01,1,general_domestic
1562088,2025-01-01,1,general_domestic
1566610,2025-01-01,1,general_domestic
1579091,2025-01-01,1,general_domestic
1579684,2025-01-01,1,general_domestic
1582961,2025-01-01,1,general_domestic
1583708,2025-01-01,1,general_domestic
1585521,2025-01-01,1,general_domestic
1609151,2025-01-01,1,general_domestic
1614178,2025-01-01,1,general_domestic
1617553,2025-01-01,1,general_domestic
1640147,2025-01-01,1,general_domestic
1649094,2025-01-01,1,general_domestic
1650164,2025-01-01,1,general_domestic
1651562,2025-01-01,1,general_domestic
1652044,2025-01-01,1,general_domestic
1674930,2025-01-01,1,general_domestic
1703056,2025-01-01,1,general_domestic
1713445,2025-01-01,1,general_domestic
1717115,2025-01-01,1,general_domestic
1725057,2025-01-01,1,general_domestic
1734722,2025-01-01,1,general_domestic
1743725,2025-01-01,1,general_domestic
1758009,2025-01-01,1,general_domestic
1764046,2025-01-01,1,general_domestic
1799208,2025-01-01,1,general_domestic
1800227,2025-01-01,1,general_domestic
1800667,2025-01-01,1,general_domestic
1803599,2025-01-01,1,general_domestic
1805284,2025-01-01,1,general_domestic
1819989,2025-01-01,1,general_domestic
1820144,2025-01-01,1,general_domestic
1822966,2025-01-01,1,general_domestic
1828016,2025-01-01,1,general_domestic
1830214,2025-01-01,1,general_domestic
1835856,2025-01-01,1,general_domestic
1836833,2025-01-01,1,general_domestic
1840856,2025-01-01,1,general_domestic
1841408,2025-01-01,1,general_domestic
1846576,2025-01-01,1,general_domestic
1847874,2025-01-01,1,general_domestic
1849056,2025-01-01,1,general_domestic
1857816,2025-01-01,1,general_domestic
1861795,2025-01-01,1,general_domestic
1866692,2025-01-01,1,general_domestic
1886894,2025-01-01,1,general_domestic
1932393,2025-01-01,1,general_domestic
1934850,2025-01-01,1,general_domestic
1946573,2025-01-01,1,general_domestic
1964979,2025-01-01,1,general_domestic
1993004,2025-01-01,1,general_domestic
2025410,2025-01-01,1,general_domestic
2030781,2025-01-01,1,general_domestic
789019,2023-01-01,1,openai_domestic
903651,2023-01-01,1,openai_domestic
1577526,2023-01-01,1,openai_domestic
1615165,2023-01-01,1,openai_domestic
64463,2024-01-01,1,openai_domestic
72903,2024-01-01,1,openai_domestic
72909,2024-01-01,1,openai_domestic
81018,2024-01-01,1,openai_domestic
92521,2024-01-01,1,openai_domestic
789019,2024-01-01,1,openai_domestic
903651,2024-01-01,1,openai_domestic
1043604,2024-01-01,1,openai_domestic
1102993,2024-01-01,1,openai_domestic
1113232,2024-01-01,1,openai_domestic
1123852,2024-01-01,1,openai_domestic
1176948,2024-01-01,1,openai_domestic
1345016,2024-01-01,1,openai_domestic
1364954,2024-01-01,1,openai_domestic
1372612,2024-01-01,1,openai_domestic
1562088,2024-01-01,1,openai_domestic
1577526,2024-01-01,1,openai_domestic
1601830,2024-01-01,1,openai_domestic
1615165,2024-01-01,1,openai_domestic
1689923,2024-01-01,1,openai_domestic
1840856,2024-01-01,1,openai_domestic
1945619,2024-01-01,1,openai_domestic
22767,2025-01-01,1,openai_domestic
72903,2025-01-01,1,openai_domestic
72909,2025-01-01,1,openai_domestic
81018,2025-01-01,1,openai_domestic
81023,2025-01-01,1,openai_domestic
92521,2025-01-01,1,openai_domestic
903651,2025-01-01,1,openai_domestic
1043604,2025-01-01,1,openai_domestic
1102993,2025-01-01,1,openai_domestic
1108426,2025-01-01,1,openai_domestic
1113232,2025-01-01,1,openai_domestic
1120970,2025-01-01,1,openai_domestic
1123852,2025-01-01,1,openai_domestic
1345016,2025-01-01,1,openai_domestic
1364954,2025-01-01,1,openai_domestic
1372612,2025-01-01,1,openai_domestic
1583708,2025-01-01,1,openai_domestic
1585521,2025-01-01,1,openai_domestic
1713445,2025-01-01,1,openai_domestic
1800227,2025-01-01,1,openai_domestic
1840856,2025-01-01,1,openai_domestic
1946573,2025-01-01,1,openai_domestic
789019,2024-01-01,1,anthropic_domestic
1364954,2024-01-01,1,anthropic_domestic
1577526,2024-01-01,1,anthropic_domestic
1838163,2024-01-01,1,anthropic_domestic
708955,2025-01-01,1,anthropic_domestic
1364954,2025-01-01,1,anthropic_domestic
1372612,2025-01-01,1,anthropic_domestic
1585521,2025-01-01,1,anthropic_domestic
1713445,2025-01-01,1,anthropic_domestic
789019,2023-01-01,1,google_domestic
896878,2023-01-01,1,google_domestic
903651,2023-01-01,1,google_domestic
1345016,2023-01-01,1,google_domestic
1364954,2023-01-01,1,google_domestic
1562088,2023-01-01,1,google_domestic
1577526,2023-01-01,1,google_domestic
1615165,2023-01-01,1,google_domestic
1707753,2023-01-01,1,google_domestic
1713683,2023-01-01,1,google_domestic
1768267,2023-01-01,1,google_domestic
1769804,2023-01-01,1,google_domestic
1828972,2023-01-01,1,google_domestic
50863,2024-01-01,1,google_domestic
64463,2024-01-01,1,google_domestic
107140,2024-01-01,1,google_domestic
789019,2024-01-01,1,google_domestic
816761,2024-01-01,1,google_domestic
818479,2024-01-01,1,google_domestic
896493,2024-01-01,1,google_domestic
896878,2024-01-01,1,google_domestic
903651,2024-01-01,1,google_domestic
1023313,2024-01-01,1,google_domestic
1075531,2024-01-01,1,google_domestic
1102993,2024-01-01,1,google_domestic
1117297,2024-01-01,1,google_domestic
1224133,2024-01-01,1,google_domestic
1327811,2024-01-01,1,google_domestic
1345016,2024-01-01,1,google_domestic
1361113,2024-01-01,1,google_domestic
1364954,2024-01-01,1,google_domestic
1370637,2024-01-01,1,google_domestic
1372612,2024-01-01,1,google_domestic
1382821,2024-01-01,1,google_domestic
1384905,2024-01-01,1,google_domestic
1459200,2024-01-01,1,google_domestic
1468666,2024-01-01,1,google_domestic
1562088,2024-01-01,1,google_domestic
1568651,2024-01-01,1,google_domestic
1577526,2024-01-01,1,google_domestic
1579091,2024-01-01,1,google_domestic
1579684,2024-01-01,1,google_domestic
1582961,2024-01-01,1,google_domestic
1583708,2024-01-01,1,google_domestic
1585521,2024-01-01,1,google_domestic
1601830,2024-01-01,1,google_domestic
1614178,2024-01-01,1,google_domestic
1615165,2024-01-01,1,google_domestic
1617553,2024-01-01,1,google_domestic
1618732,2024-01-01,1,google_domestic
1640147,2024-01-01,1,google_domestic
1645590,2024-01-01,1,google_domestic
1652044,2024-01-01,1,google_domestic
1689923,2024-01-01,1,google_domestic
1707753,2024-01-01,1,google_domestic
1713683,2024-01-01,1,google_domestic
1718939,2024-01-01,1,google_domestic
1720671,2024-01-01,1,google_domestic
1734722,2024-01-01,1,google_domestic
1758009,2024-01-01,1,google_domestic
1768267,2024-01-01,1,google_domestic
1769804,2024-01-01,1,google_domestic
1788999,2024-01-01,1,google_domestic
1800667,2024-01-01,1,google_domestic
1804591,2024-01-01,1,google_domestic
1820872,2024-01-01,1,google_domestic
1828016,2024-01-01,1,google_domestic
1828852,2024-01-01,1,google_domestic
1828972,2024-01-01,1,google_domestic
1830214,2024-01-01,1,google_domestic
1841408,2024-01-01,1,google_domestic
1848672,2024-01-01,1,google_domestic
1866550,2024-01-01,1,google_domestic
1898474,2024-01-01,1,google_domestic
1932393,2024-01-01,1,google_domestic
