filing_date,count,component
2023-12-31,22,general_domestic
2024-12-31,130,general_domestic
2025-12-31,148,general_domestic
2023-12-31,4,openai_domestic
2024-12-31,22,openai_domestic
2025-12-31,22,openai_domestic
2024-12-31,4,anthropic_domestic
2025-12-31,5,anthropic_domestic
2023-12-31,13,google_domestic
2024-12-31,63,google_domestic
2025-12-31,60,google_domestic
2023-12-31,7,general_international
2024-12-31,48,general_international
2025-12-31,21,general_international
2023-12-31,2,openai_international
2024-12-31,8,openai_international
2025-12-31,3,openai_international
2024-12-31,3,anthropic_international
2025-12-31,2,anthropic_international
2023-12-31,5,google_international
2024-12-31,23,google_international
2025-12-31,10,google_international
