cik,date,value,component
3153,2001-01-01,1,power_domestic
5117,2001-01-01,1,power_domestic
7323,2001-01-01,1,power_domestic
9466,2001-01-01,1,power_domestic
9548,2001-01-01,1,power_domestic
13372,2001-01-01,1,power_domestic
18647,2001-01-01,1,power_domestic
18675,2001-01-01,1,power_domestic
22606,2001-01-01,1,power_domestic
23426,2001-01-01,1,power_domestic
23632,2001-01-01,1,power_domestic
25657,2001-01-01,1,power_domestic
26324,2001-01-01,1,power_domestic
30371,2001-01-01,1,power_domestic
30573,2001-01-01,1,power_domestic
37634,2001-01-01,1,power_domestic
40545,2001-01-01,1,power_domestic
40779,2001-01-01,1,power_domestic
41091,2001-01-01,1,power_domestic
43704,2001-01-01,1,power_domestic
44545,2001-01-01,1,power_domestic
44570,2001-01-01,1,power_domestic
49648,2001-01-01,1,power_domestic
53456,2001-01-01,1,power_domestic
60527,2001-01-01,1,power_domestic
61611,2001-01-01,1,power_domestic
65350,2001-01-01,1,power_domestic
65984,2001-01-01,1,power_domestic
66901,2001-01-01,1,power_domestic
66904,2001-01-01,1,power_domestic
71337,2001-01-01,1,power_domestic
71508,2001-01-01,1,power_domestic
71932,2001-01-01,1,power_domestic
72741,2001-01-01,1,power_domestic
72903,2001-01-01,1,power_domestic
72909,2001-01-01,1,power_domestic
74778,2001-01-01,1,power_domestic
75488,2001-01-01,1,power_domestic
75829,2001-01-01,1,power_domestic
76063,2001-01-01,1,power_domestic
77227,2001-01-01,1,power_domestic
78100,2001-01-01,1,power_domestic
81018,2001-01-01,1,power_domestic
81023,2001-01-01,1,power_domestic
81025,2001-01-01,1,power_domestic
86521,2001-01-01,1,power_domestic
86940,2001-01-01,1,power_domestic
91882,2001-01-01,1,power_domestic
92103,2001-01-01,1,power_domestic
92122,2001-01-01,1,power_domestic
92521,2001-01-01,1,power_domestic
101594,2001-01-01,1,power_domestic
106170,2001-01-01,1,power_domestic
107815,2001-01-01,1,power_domestic
107833,2001-01-01,1,power_domestic
201533,2001-01-01,1,power_domestic
202584,2001-01-01,1,power_domestic
315256,2001-01-01,1,power_domestic
351397,2001-01-01,1,power_domestic
355948,2001-01-01,1,power_domestic
719529,2001-01-01,1,power_domestic
731190,2001-01-01,1,power_domestic
742126,2001-01-01,1,power_domestic
753308,2001-01-01,1,power_domestic
754737,2001-01-01,1,power_domestic
755001,2001-01-01,1,power_domestic
764622,2001-01-01,1,power_domestic
783325,2001-01-01,1,power_domestic
784977,2001-01-01,1,power_domestic
785186,2001-01-01,1,power_domestic
788816,2001-01-01,1,power_domestic
795551,2001-01-01,1,power_domestic
800457,2001-01-01,1,power_domestic
804731,2001-01-01,1,power_domestic
809801,2001-01-01,1,power_domestic
811156,2001-01-01,1,power_domestic
827052,2001-01-01,1,power_domestic
874865,2001-01-01,1,power_domestic
880059,2001-01-01,1,power_domestic
880416,2001-01-01,1,power_domestic
895041,2001-01-01,1,power_domestic
895993,2001-01-01,1,power_domestic
907649,2001-01-01,1,power_domestic
914024,2001-01-01,1,power_domestic
916863,2001-01-01,1,power_domestic
917032,2001-01-01,1,power_domestic
922408,2001-01-01,1,power_domestic
924386,2001-01-01,1,power_domestic
924940,2001-01-01,1,power_domestic
930835,2001-01-01,1,power_domestic
936468,2001-01-01,1,power_domestic
944480,2001-01-01,1,power_domestic
1004440,2001-01-01,1,power_domestic
1004980,2001-01-01,1,power_domestic
1005276,2001-01-01,1,power_domestic
1012127,2001-01-01,1,power_domestic
1013871,2001-01-01,1,power_domestic
1022356,2001-01-01,1,power_domestic
1029590,2001-01-01,1,power_domestic
1031296,2001-01-01,1,power_domestic
1032208,2001-01-01,1,power_domestic
1033030,2001-01-01,1,power_domestic
1035675,2001-01-01,1,power_domestic
1042561,2001-01-01,1,power_domestic
1047862,2001-01-01,1,power_domestic
1053361,2001-01-01,1,power_domestic
1054000,2001-01-01,1,power_domestic
1057877,2001-01-01,1,power_domestic
1061393,2001-01-01,1,power_domestic
1079182,2001-01-01,1,power_domestic
1081316,2001-01-01,1,power_domestic
1082510,2001-01-01,1,power_domestic
1109357,2001-01-01,1,power_domestic
1123852,2001-01-01,1,power_domestic
3153,2002-01-01,1,power_domestic
4904,2002-01-01,1,power_domestic
6955,2002-01-01,1,power_domestic
9466,2002-01-01,1,power_domestic
9548,2002-01-01,1,power_domestic
13372,2002-01-01,1,power_domestic
18647,2002-01-01,1,power_domestic
18808,2002-01-01,1,power_domestic
20947,2002-01-01,1,power_domestic
22606,2002-01-01,1,power_domestic
23426,2002-01-01,1,power_domestic
23632,2002-01-01,1,power_domestic
25657,2002-01-01,1,power_domestic
26324,2002-01-01,1,power_domestic
30371,2002-01-01,1,power_domestic
30573,2002-01-01,1,power_domestic
37634,2002-01-01,1,power_domestic
41091,2002-01-01,1,power_domestic
43704,2002-01-01,1,power_domestic
44545,2002-01-01,1,power_domestic
48732,2002-01-01,1,power_domestic
53456,2002-01-01,1,power_domestic
61611,2002-01-01,1,power_domestic
65350,2002-01-01,1,power_domestic
66904,2002-01-01,1,power_domestic
70502,2002-01-01,1,power_domestic
71337,2002-01-01,1,power_domestic
71932,2002-01-01,1,power_domestic
72741,2002-01-01,1,power_domestic
72903,2002-01-01,1,power_domestic
72909,2002-01-01,1,power_domestic
73960,2002-01-01,1,power_domestic
74778,2002-01-01,1,power_domestic
75488,2002-01-01,1,power_domestic
76063,2002-01-01,1,power_domestic
77227,2002-01-01,1,power_domestic
77278,2002-01-01,1,power_domestic
78100,2002-01-01,1,power_domestic
81018,2002-01-01,1,power_domestic
81023,2002-01-01,1,power_domestic
81025,2002-01-01,1,power_domestic
86521,2002-01-01,1,power_domestic
86940,2002-01-01,1,power_domestic
91882,2002-01-01,1,power_domestic
92103,2002-01-01,1,power_domestic
92122,2002-01-01,1,power_domestic
92521,2002-01-01,1,power_domestic
100331,2002-01-01,1,power_domestic
101594,2002-01-01,1,power_domestic
106170,2002-01-01,1,power_domestic
107833,2002-01-01,1,power_domestic
109261,2002-01-01,1,power_domestic
201533,2002-01-01,1,power_domestic
277638,2002-01-01,1,power_domestic
315256,2002-01-01,1,power_domestic
318107,2002-01-01,1,power_domestic
351397,2002-01-01,1,power_domestic
352049,2002-01-01,1,power_domestic
715957,2002-01-01,1,power_domestic
719529,2002-01-01,1,power_domestic
753308,2002-01-01,1,power_domestic
754737,2002-01-01,1,power_domestic
755001,2002-01-01,1,power_domestic
783325,2002-01-01,1,power_domestic
784977,2002-01-01,1,power_domestic
788784,2002-01-01,1,power_domestic
788816,2002-01-01,1,power_domestic
795551,2002-01-01,1,power_domestic
804731,2002-01-01,1,power_domestic
811156,2002-01-01,1,power_domestic
827052,2002-01-01,1,power_domestic
839470,2002-01-01,1,power_domestic
846930,2002-01-01,1,power_domestic
856200,2002-01-01,1,power_domestic
872443,2002-01-01,1,power_domestic
879215,2002-01-01,1,power_domestic
880059,2002-01-01,1,power_domestic
891523,2002-01-01,1,power_domestic
894353,2002-01-01,1,power_domestic
906469,2002-01-01,1,power_domestic
907649,2002-01-01,1,power_domestic
910110,2002-01-01,1,power_domestic
914024,2002-01-01,1,power_domestic
916863,2002-01-01,1,power_domestic
922408,2002-01-01,1,power_domestic
924940,2002-01-01,1,power_domestic
925600,2002-01-01,1,power_domestic
929031,2002-01-01,1,power_domestic
930835,2002-01-01,1,power_domestic
944480,2002-01-01,1,power_domestic
947354,2002-01-01,1,power_domestic
1000564,2002-01-01,1,power_domestic
1000654,2002-01-01,1,power_domestic
