filing_date,count,component
2001-12-31,118,power
2002-12-31,119,power
2003-12-31,185,power
2004-12-31,197,power
2005-12-31,225,power
2006-12-31,218,power
2007-12-31,182,power
2008-12-31,188,power
2009-12-31,221,power
2010-12-31,210,power
2011-12-31,211,power
2012-12-31,230,power
2013-12-31,216,power
2014-12-31,217,power
2015-12-31,216,power
2016-12-31,206,power
2017-12-31,204,power
2018-12-31,198,power
2019-12-31,178,power
2020-12-31,174,power
2021-12-31,165,power
2022-12-31,175,power
2023-12-31,183,power
2024-12-31,183,power
2025-12-31,148,power
2001-12-31,107,fuel
2002-12-31,107,fuel
2003-12-31,176,fuel
2004-12-31,168,fuel
2005-12-31,160,fuel
2006-12-31,168,fuel
2007-12-31,159,fuel
2008-12-31,162,fuel
2009-12-31,166,fuel
2010-12-31,158,fuel
2011-12-31,162,fuel
2012-12-31,162,fuel
2013-12-31,155,fuel
2014-12-31,151,fuel
2015-12-31,137,fuel
2016-12-31,133,fuel
2017-12-31,124,fuel
2018-12-31,134,fuel
2019-12-31,120,fuel
2020-12-31,118,fuel
2021-12-31,115,fuel
2022-12-31,117,fuel
2023-12-31,128,fuel
2024-12-31,121,fuel
2025-12-31,111,fuel
2001-12-31,101,technology
2002-12-31,106,technology
2003-12-31,132,technology
2004-12-31,126,technology
2005-12-31,133,technology
2006-12-31,135,technology
2007-12-31,133,technology
2008-12-31,134,technology
2009-12-31,160,technology
2010-12-31,142,technology
2011-12-31,146,technology
2012-12-31,145,technology
2013-12-31,135,technology
2014-12-31,151,technology
2015-12-31,159,technology
2016-12-31,156,technology
2017-12-31,135,technology
2018-12-31,139,technology
2019-12-31,153,technology
2020-12-31,167,technology
2021-12-31,196,technology
2022-12-31,228,technology
2023-12-31,214,technology
2024-12-31,192,technology
2025-12-31,115,technology
2001-12-31,104,services
2002-12-31,91,services
2003-12-31,159,services
2004-12-31,149,services
2005-12-31,143,services
2006-12-31,136,services
2007-12-31,129,services
2008-12-31,131,services
2009-12-31,139,services
2010-12-31,130,services
2011-12-31,132,services
2012-12-31,133,services
2013-12-31,129,services
2014-12-31,124,services
2015-12-31,113,services
2016-12-31,115,services
2017-12-31,114,services
2018-12-31,116,services
2019-12-31,110,services
2020-12-31,108,services
2021-12-31,106,services
2022-12-31,106,services
2023-12-31,112,services
2024-12-31,113,services
2025-12-31,100,services
2001-12-31,123,regulation
2002-12-31,125,regulation
2003-12-31,191,regulation
2004-12-31,189,regulation
2005-12-31,172,regulation
2006-12-31,174,regulation
2007-12-31,168,regulation
2008-12-31,170,regulation
2009-12-31,181,regulation
2010-12-31,167,regulation
2011-12-31,167,regulation
2012-12-31,172,regulation
2013-12-31,152,regulation
2014-12-31,149,regulation
2015-12-31,144,regulation
2016-12-31,147,regulation
2017-12-31,146,regulation
2018-12-31,156,regulation
2019-12-31,150,regulation
2020-12-31,142,regulation
2021-12-31,145,regulation
2022-12-31,148,regulation
2023-12-31,127,regulation
2024-12-31,129,regulation
2025-12-31,111,regulation
2001-12-31,6,fusion
2002-12-31,5,fusion
2003-12-31,11,fusion
2004-12-31,12,fusion
2005-12-31,11,fusion
2006-12-31,14,fusion
2007-12-31,14,fusion
2008-12-31,17,fusion
2009-12-31,21,fusion
2010-12-31,20,fusion
2011-12-31,13,fusion
2012-12-31,10,fusion
2013-12-31,10,fusion
2014-12-31,13,fusion
2015-12-31,10,fusion
2016-12-31,10,fusion
2017-12-31,13,fusion
2018-12-31,13,fusion
2019-12-31,10,fusion
2020-12-31,10,fusion
2021-12-31,5,fusion
2022-12-31,7,fusion
2023-12-31,13,fusion
2024-12-31,14,fusion
2025-12-31,8,fusion
2001-12-31,83,risk
2002-12-31,81,risk
2003-12-31,135,risk
2004-12-31,139,risk
2005-12-31,132,risk
2006-12-31,124,risk
2007-12-31,125,risk
2008-12-31,115,risk
2009-12-31,111,risk
2010-12-31,114,risk
2011-12-31,122,risk
2012-12-31,126,risk
2013-12-31,112,risk
2014-12-31,110,risk
2015-12-31,109,risk
2016-12-31,102,risk
2017-12-31,108,risk
2018-12-31,117,risk
2019-12-31,111,risk
2020-12-31,105,risk
2021-12-31,105,risk
2022-12-31,105,risk
2023-12-31,102,risk
2024-12-31,100,risk
2025-12-31,91,risk
2001-12-31,11,research
2002-12-31,6,research
2003-12-31,8,research
2004-12-31,2,research
2005-12-31,5,research
2006-12-31,5,research
2007-12-31,14,research
2008-12-31,25,research
2009-12-31,31,research
2010-12-31,25,research
2011-12-31,16,research
2012-12-31,15,research
2013-12-31,15,research
2014-12-31,19,research
2015-12-31,13,research
2016-12-31,10,research
2017-12-31,10,research
2018-12-31,12,research
2019-12-31,10,research
2020-12-31,9,research
2021-12-31,13,research
2022-12-31,17,research
2023-12-31,17,research
2024-12-31,18,research
2025-12-31,9,research
