filing_date,component,url,ownerOrg,name,cik
2024-12-30,power_domestic,https://www.sec.gov/Archives/edgar/data/1923891/000149315224052393/form10-k.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,Nano Nuclear Energy Inc.,1923891
2025-02-18,power_domestic,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000023/ceg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,Constellation Energy Corp,1868275
2025-02-18,power_domestic,https://www.sec.gov/Archives/edgar/data/1168165/000186827525000023/ceg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,CONSTELLATION ENERGY GENERATION LLC,1168165
2025-02-28,power_domestic,https://www.sec.gov/Archives/edgar/data/1622536/000162828025008786/tln-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,Talen Energy Corp,1622536
2025-02-25,power_domestic,https://www.sec.gov/Archives/edgar/data/764622/000076462225000023/pnw-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,PINNACLE WEST CAPITAL CORP,764622
2025-02-25,power_domestic,https://www.sec.gov/Archives/edgar/data/7286/000076462225000023/pnw-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,ARIZONA PUBLIC SERVICE CO,7286
2025-03-03,power_domestic,https://www.sec.gov/Archives/edgar/data/1822966/000182296625000024/smr-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Manufacturing,NUSCALE POWER Corp,1822966
2025-03-03,power_domestic,https://www.sec.gov/Archives/edgar/data/1084554/000147793225001404/ltbr_10k.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Trade & Services,LIGHTBRIDGE Corp,1084554
2025-02-28,power_domestic,https://www.sec.gov/Archives/edgar/data/1108426/000110842625000014/txnm12312024ex10111.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,TXNM ENERGY INC,1108426
2025-02-28,power_domestic,https://www.sec.gov/Archives/edgar/data/22767/000110842625000014/txnm12312024ex10111.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,TEXAS NEW MEXICO POWER CO,22767
2025-02-28,power_domestic,https://www.sec.gov/Archives/edgar/data/81023/000110842625000014/txnm12312024ex10111.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,PUBLIC SERVICE CO OF NEW MEXICO,81023
2025-03-24,power_domestic,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/oklo-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,Oklo Inc.,1849056
2025-02-14,power_domestic,https://www.sec.gov/Archives/edgar/data/753308/000075330825000011/nee-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,NEXTERA ENERGY INC,753308
2025-02-14,power_domestic,https://www.sec.gov/Archives/edgar/data/37634/000075330825000011/nee-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,FLORIDA POWER & LIGHT CO,37634
2025-02-25,power_domestic,https://www.sec.gov/Archives/edgar/data/788784/000095017025026874/peg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet,Energy & Transportation,PUBLIC SERVICE ENTERPRISE GROUP INC,788784
