cik,date,value,component
9389,2001-01-01,1,launch_domestic
12927,2001-01-01,1,launch_domestic
34067,2001-01-01,1,launch_domestic
40730,2001-01-01,1,launch_domestic
67887,2001-01-01,1,launch_domestic
72945,2001-01-01,1,launch_domestic
79958,2001-01-01,1,launch_domestic
95301,2001-01-01,1,launch_domestic
101271,2001-01-01,1,launch_domestic
101829,2001-01-01,1,launch_domestic
350832,2001-01-01,1,launch_domestic
717605,2001-01-01,1,launch_domestic
765258,2001-01-01,1,launch_domestic
790708,2001-01-01,1,launch_domestic
799729,2001-01-01,1,launch_domestic
820736,2001-01-01,1,launch_domestic
864890,2001-01-01,1,launch_domestic
866706,2001-01-01,1,launch_domestic
892553,2001-01-01,1,launch_domestic
913665,2001-01-01,1,launch_domestic
916529,2001-01-01,1,launch_domestic
933401,2001-01-01,1,launch_domestic
936468,2001-01-01,1,launch_domestic
1001082,2001-01-01,1,launch_domestic
1001907,2001-01-01,1,launch_domestic
1006269,2001-01-01,1,launch_domestic
1015854,2001-01-01,1,launch_domestic
1020265,2001-01-01,1,launch_domestic
1022222,2001-01-01,1,launch_domestic
1027915,2001-01-01,1,launch_domestic
1029850,2001-01-01,1,launch_domestic
1037388,2001-01-01,1,launch_domestic
1037927,2001-01-01,1,launch_domestic
1039101,2001-01-01,1,launch_domestic
1042642,2001-01-01,1,launch_domestic
1056239,2001-01-01,1,launch_domestic
1072343,2001-01-01,1,launch_domestic
1075531,2001-01-01,1,launch_domestic
1076582,2001-01-01,1,launch_domestic
1081404,2001-01-01,1,launch_domestic
1091530,2001-01-01,1,launch_domestic
1130429,2001-01-01,1,launch_domestic
9389,2002-01-01,1,launch_domestic
12927,2002-01-01,1,launch_domestic
32878,2002-01-01,1,launch_domestic
34067,2002-01-01,1,launch_domestic
40730,2002-01-01,1,launch_domestic
40888,2002-01-01,1,launch_domestic
44800,2002-01-01,1,launch_domestic
47035,2002-01-01,1,launch_domestic
67887,2002-01-01,1,launch_domestic
79958,2002-01-01,1,launch_domestic
102588,2002-01-01,1,launch_domestic
350832,2002-01-01,1,launch_domestic
717605,2002-01-01,1,launch_domestic
721371,2002-01-01,1,launch_domestic
732775,2002-01-01,1,launch_domestic
765258,2002-01-01,1,launch_domestic
799729,2002-01-01,1,launch_domestic
801898,2002-01-01,1,launch_domestic
864890,2002-01-01,1,launch_domestic
866121,2002-01-01,1,launch_domestic
866706,2002-01-01,1,launch_domestic
910110,2002-01-01,1,launch_domestic
916529,2002-01-01,1,launch_domestic
921929,2002-01-01,1,launch_domestic
922237,2002-01-01,1,launch_domestic
933401,2002-01-01,1,launch_domestic
936468,2002-01-01,1,launch_domestic
1001907,2002-01-01,1,launch_domestic
1006269,2002-01-01,1,launch_domestic
1027915,2002-01-01,1,launch_domestic
1029850,2002-01-01,1,launch_domestic
1036968,2002-01-01,1,launch_domestic
1037927,2002-01-01,1,launch_domestic
1039101,2002-01-01,1,launch_domestic
1042642,2002-01-01,1,launch_domestic
1048422,2002-01-01,1,launch_domestic
1056239,2002-01-01,1,launch_domestic
1072341,2002-01-01,1,launch_domestic
1075656,2002-01-01,1,launch_domestic
1097609,2002-01-01,1,launch_domestic
1100813,2002-01-01,1,launch_domestic
1130429,2002-01-01,1,launch_domestic
2589,2003-01-01,1,launch_domestic
9389,2003-01-01,1,launch_domestic
12927,2003-01-01,1,launch_domestic
26324,2003-01-01,1,launch_domestic
34067,2003-01-01,1,launch_domestic
40730,2003-01-01,1,launch_domestic
40888,2003-01-01,1,launch_domestic
44800,2003-01-01,1,launch_domestic
47035,2003-01-01,1,launch_domestic
67887,2003-01-01,1,launch_domestic
79958,2003-01-01,1,launch_domestic
95301,2003-01-01,1,launch_domestic
101829,2003-01-01,1,launch_domestic
350832,2003-01-01,1,launch_domestic
717605,2003-01-01,1,launch_domestic
721371,2003-01-01,1,launch_domestic
784681,2003-01-01,1,launch_domestic
799729,2003-01-01,1,launch_domestic
801898,2003-01-01,1,launch_domestic
820736,2003-01-01,1,launch_domestic
865754,2003-01-01,1,launch_domestic
866121,2003-01-01,1,launch_domestic
866706,2003-01-01,1,launch_domestic
878802,2003-01-01,1,launch_domestic
880807,2003-01-01,1,launch_domestic
908937,2003-01-01,1,launch_domestic
916529,2003-01-01,1,launch_domestic
919623,2003-01-01,1,launch_domestic
922237,2003-01-01,1,launch_domestic
933401,2003-01-01,1,launch_domestic
936468,2003-01-01,1,launch_domestic
944868,2003-01-01,1,launch_domestic
1001082,2003-01-01,1,launch_domestic
1001907,2003-01-01,1,launch_domestic
1003124,2003-01-01,1,launch_domestic
1006269,2003-01-01,1,launch_domestic
1022222,2003-01-01,1,launch_domestic
1027915,2003-01-01,1,launch_domestic
1029850,2003-01-01,1,launch_domestic
1037388,2003-01-01,1,launch_domestic
1037927,2003-01-01,1,launch_domestic
1039101,2003-01-01,1,launch_domestic
1042642,2003-01-01,1,launch_domestic
1046859,2003-01-01,1,launch_domestic
1048422,2003-01-01,1,launch_domestic
1053112,2003-01-01,1,launch_domestic
1056239,2003-01-01,1,launch_domestic
1061322,2003-01-01,1,launch_domestic
1072343,2003-01-01,1,launch_domestic
1091530,2003-01-01,1,launch_domestic
1094285,2003-01-01,1,launch_domestic
1098972,2003-01-01,1,launch_domestic
1116317,2003-01-01,1,launch_domestic
1129650,2003-01-01,1,launch_domestic
1130194,2003-01-01,1,launch_domestic
1133421,2003-01-01,1,launch_domestic
1172243,2003-01-01,1,launch_domestic
9389,2004-01-01,1,launch_domestic
12927,2004-01-01,1,launch_domestic
26324,2004-01-01,1,launch_domestic
40730,2004-01-01,1,launch_domestic
40888,2004-01-01,1,launch_domestic
44800,2004-01-01,1,launch_domestic
47035,2004-01-01,1,launch_domestic
67887,2004-01-01,1,launch_domestic
79958,2004-01-01,1,launch_domestic
101829,2004-01-01,1,launch_domestic
106374,2004-01-01,1,launch_domestic
717605,2004-01-01,1,launch_domestic
721371,2004-01-01,1,launch_domestic
771729,2004-01-01,1,launch_domestic
784681,2004-01-01,1,launch_domestic
799729,2004-01-01,1,launch_domestic
801898,2004-01-01,1,launch_domestic
820736,2004-01-01,1,launch_domestic
824169,2004-01-01,1,launch_domestic
865754,2004-01-01,1,launch_domestic
866121,2004-01-01,1,launch_domestic
866706,2004-01-01,1,launch_domestic
880807,2004-01-01,1,launch_domestic
908937,2004-01-01,1,launch_domestic
916529,2004-01-01,1,launch_domestic
919623,2004-01-01,1,launch_domestic
922237,2004-01-01,1,launch_domestic
936468,2004-01-01,1,launch_domestic
944868,2004-01-01,1,launch_domestic
1001082,2004-01-01,1,launch_domestic
