filing_date,count,component
2001-12-31,42,launch_domestic
2002-12-31,43,launch_domestic
2003-12-31,57,launch_domestic
2004-12-31,52,launch_domestic
2005-12-31,60,launch_domestic
2006-12-31,69,launch_domestic
2007-12-31,74,launch_domestic
2008-12-31,86,launch_domestic
2009-12-31,82,launch_domestic
2010-12-31,82,launch_domestic
2011-12-31,68,launch_domestic
2012-12-31,62,launch_domestic
2013-12-31,65,launch_domestic
2014-12-31,60,launch_domestic
2015-12-31,57,launch_domestic
2016-12-31,46,launch_domestic
2017-12-31,38,launch_domestic
2018-12-31,40,launch_domestic
2019-12-31,40,launch_domestic
2020-12-31,44,launch_domestic
2021-12-31,49,launch_domestic
2022-12-31,62,launch_domestic
2023-12-31,62,launch_domestic
2024-12-31,66,launch_domestic
2025-12-31,46,launch_domestic
2001-12-31,70,satellite_domestic
2002-12-31,66,satellite_domestic
2003-12-31,65,satellite_domestic
2004-12-31,58,satellite_domestic
2005-12-31,60,satellite_domestic
2006-12-31,64,satellite_domestic
2007-12-31,67,satellite_domestic
2008-12-31,73,satellite_domestic
2009-12-31,85,satellite_domestic
2010-12-31,69,satellite_domestic
2011-12-31,69,satellite_domestic
2012-12-31,64,satellite_domestic
2013-12-31,51,satellite_domestic
2014-12-31,51,satellite_domestic
2015-12-31,52,satellite_domestic
2016-12-31,47,satellite_domestic
2017-12-31,47,satellite_domestic
2018-12-31,39,satellite_domestic
2019-12-31,32,satellite_domestic
2020-12-31,42,satellite_domestic
2021-12-31,47,satellite_domestic
2022-12-31,69,satellite_domestic
2023-12-31,76,satellite_domestic
2024-12-31,76,satellite_domestic
2025-12-31,44,satellite_domestic
2001-12-31,12,exploration_domestic
2002-12-31,13,exploration_domestic
2003-12-31,22,exploration_domestic
2004-12-31,21,exploration_domestic
2005-12-31,24,exploration_domestic
2006-12-31,25,exploration_domestic
2007-12-31,27,exploration_domestic
2008-12-31,23,exploration_domestic
2009-12-31,24,exploration_domestic
2010-12-31,22,exploration_domestic
2011-12-31,19,exploration_domestic
2012-12-31,21,exploration_domestic
2013-12-31,20,exploration_domestic
2014-12-31,20,exploration_domestic
2015-12-31,22,exploration_domestic
2016-12-31,20,exploration_domestic
2017-12-31,15,exploration_domestic
2018-12-31,17,exploration_domestic
2019-12-31,15,exploration_domestic
2020-12-31,16,exploration_domestic
2021-12-31,20,exploration_domestic
2022-12-31,37,exploration_domestic
2023-12-31,40,exploration_domestic
2024-12-31,28,exploration_domestic
2025-12-31,19,exploration_domestic
2001-12-31,2,commercial_domestic
2002-12-31,3,commercial_domestic
2003-12-31,8,commercial_domestic
2004-12-31,3,commercial_domestic
2005-12-31,2,commercial_domestic
2006-12-31,2,commercial_domestic
2007-12-31,2,commercial_domestic
2008-12-31,3,commercial_domestic
2009-12-31,2,commercial_domestic
2010-12-31,5,commercial_domestic
2011-12-31,3,commercial_domestic
2012-12-31,3,commercial_domestic
2013-12-31,3,commercial_domestic
2014-12-31,3,commercial_domestic
2015-12-31,2,commercial_domestic
2016-12-31,2,commercial_domestic
2017-12-31,2,commercial_domestic
2018-12-31,4,commercial_domestic
2019-12-31,3,commercial_domestic
2020-12-31,7,commercial_domestic
2021-12-31,7,commercial_domestic
2022-12-31,18,commercial_domestic
2023-12-31,19,commercial_domestic
2024-12-31,17,commercial_domestic
2025-12-31,9,commercial_domestic
2001-12-31,1,partnerships_domestic
2002-12-31,3,partnerships_domestic
2003-12-31,3,partnerships_domestic
2004-12-31,2,partnerships_domestic
2005-12-31,2,partnerships_domestic
2006-12-31,2,partnerships_domestic
2007-12-31,3,partnerships_domestic
2008-12-31,4,partnerships_domestic
2009-12-31,4,partnerships_domestic
2010-12-31,5,partnerships_domestic
2011-12-31,5,partnerships_domestic
2012-12-31,6,partnerships_domestic
2013-12-31,6,partnerships_domestic
2014-12-31,2,partnerships_domestic
2015-12-31,4,partnerships_domestic
2016-12-31,3,partnerships_domestic
2017-12-31,1,partnerships_domestic
2018-12-31,1,partnerships_domestic
2019-12-31,2,partnerships_domestic
2020-12-31,1,partnerships_domestic
2021-12-31,3,partnerships_domestic
2022-12-31,5,partnerships_domestic
2023-12-31,3,partnerships_domestic
2024-12-31,3,partnerships_domestic
2001-12-31,1,investment_domestic
2002-12-31,1,investment_domestic
2003-12-31,2,investment_domestic
2004-12-31,3,investment_domestic
2005-12-31,1,investment_domestic
2006-12-31,1,investment_domestic
2007-12-31,2,investment_domestic
2008-12-31,1,investment_domestic
2009-12-31,2,investment_domestic
2010-12-31,5,investment_domestic
2011-12-31,6,investment_domestic
2012-12-31,0,investment_domestic
2013-12-31,4,investment_domestic
2014-12-31,2,investment_domestic
2015-12-31,3,investment_domestic
2016-12-31,3,investment_domestic
2017-12-31,2,investment_domestic
2018-12-31,3,investment_domestic
2019-12-31,3,investment_domestic
2020-12-31,3,investment_domestic
2021-12-31,4,investment_domestic
2022-12-31,4,investment_domestic
2023-12-31,7,investment_domestic
2024-12-31,9,investment_domestic
2025-12-31,1,investment_domestic
2001-12-31,3,technology_domestic
2002-12-31,6,technology_domestic
2003-12-31,6,technology_domestic
2004-12-31,9,technology_domestic
2005-12-31,11,technology_domestic
2006-12-31,14,technology_domestic
2007-12-31,15,technology_domestic
2008-12-31,13,technology_domestic
2009-12-31,18,technology_domestic
2010-12-31,21,technology_domestic
2011-12-31,21,technology_domestic
2012-12-31,13,technology_domestic
2013-12-31,19,technology_domestic
2014-12-31,18,technology_domestic
2015-12-31,18,technology_domestic
2016-12-31,13,technology_domestic
2017-12-31,13,technology_domestic
2018-12-31,12,technology_domestic
2019-12-31,11,technology_domestic
2020-12-31,13,technology_domestic
2021-12-31,10,technology_domestic
2022-12-31,14,technology_domestic
2023-12-31,14,technology_domestic
2024-12-31,12,technology_domestic
2025-12-31,7,technology_domestic
2001-12-31,2,risks_domestic
2002-12-31,0,risks_domestic
2003-12-31,10,risks_domestic
2004-12-31,9,risks_domestic
2005-12-31,9,risks_domestic
2006-12-31,10,risks_domestic
2007-12-31,7,risks_domestic
2008-12-31,11,risks_domestic
2009-12-31,9,risks_domestic
2010-12-31,7,risks_domestic
2011-12-31,6,risks_domestic
2012-12-31,8,risks_domestic
2013-12-31,7,risks_domestic
2014-12-31,5,risks_domestic
2015-12-31,3,risks_domestic
2016-12-31,4,risks_domestic
2017-12-31,3,risks_domestic
2018-12-31,3,risks_domestic
2019-12-31,6,risks_domestic
2020-12-31,9,risks_domestic
2021-12-31,7,risks_domestic
2022-12-31,11,risks_domestic
2023-12-31,5,risks_domestic
2024-12-31,4,risks_domestic
2025-12-31,4,risks_domestic
2001-12-31,2,launch_international
2002-12-31,9,launch_international
2003-12-31,25,launch_international
2004-12-31,23,launch_international
2005-12-31,28,launch_international
