ownerOrg,period,count,component
Energy & Transportation,0,8,domestic
Energy & Transportation,1,6,domestic
Finance,0,1,domestic
Finance,1,1,domestic
Industrial Applications and Services,0,4,domestic
Industrial Applications and Services,1,4,domestic
Life Sciences,0,4,domestic
Life Sciences,1,4,domestic
Manufacturing,0,29,domestic
Manufacturing,1,26,domestic
Real Estate & Construction,0,3,domestic
Real Estate & Construction,1,2,domestic
Technology,0,10,domestic
Technology,1,12,domestic
Trade & Services,0,3,domestic
Trade & Services,1,2,domestic
Energy & Transportation,0,3,domestic
Energy & Transportation,1,5,domestic
Finance,0,2,domestic
Finance,1,2,domestic
Industrial Applications and Services,0,3,domestic
Industrial Applications and Services,1,3,domestic
Manufacturing,0,26,domestic
Manufacturing,1,28,domestic
Real Estate & Construction,0,4,domestic
Real Estate & Construction,1,5,domestic
Technology,0,20,domestic
Technology,1,20,domestic
Trade & Services,0,5,domestic
Trade & Services,1,3,domestic
Energy & Transportation,0,2,domestic
Energy & Transportation,1,1,domestic
Industrial Applications and Services,0,6,domestic
Industrial Applications and Services,1,9,domestic
Life Sciences,0,3,domestic
Life Sciences,1,3,domestic
Manufacturing,0,11,domestic
Manufacturing,1,11,domestic
Real Estate & Construction,1,1,domestic
Technology,0,4,domestic
Technology,1,5,domestic
Trade & Services,0,1,domestic
Trade & Services,1,1,domestic
Energy & Transportation,0,2,domestic
Energy & Transportation,1,2,domestic
Life Sciences,1,1,domestic
Manufacturing,0,5,domestic
Manufacturing,1,8,domestic
Real Estate & Construction,0,3,domestic
Real Estate & Construction,1,5,domestic
Technology,0,1,domestic
Technology,1,3,domestic
Manufacturing,1,2,domestic
Technology,1,1,domestic
Manufacturing,0,1,domestic
Manufacturing,1,1,domestic
Real Estate & Construction,0,1,domestic
Real Estate & Construction,1,1,domestic
Manufacturing,0,3,domestic
Manufacturing,1,2,domestic
Technology,0,5,domestic
Technology,1,7,domestic
Finance,0,1,domestic
Finance,1,1,domestic
Manufacturing,0,1,domestic
Real Estate & Construction,0,1,domestic
Real Estate & Construction,1,1,domestic
Trade & Services,1,1,domestic
Energy & Transportation,0,11,international
Energy & Transportation,1,8,international
Industrial Applications and Services,0,1,international
Industrial Applications and Services,1,1,international
Manufacturing,0,10,international
Manufacturing,1,9,international
Technology,0,6,international
Technology,1,5,international
Energy & Transportation,0,5,international
Energy & Transportation,1,2,international
Finance,0,2,international
Finance,1,2,international
Industrial Applications and Services,0,1,international
Industrial Applications and Services,1,1,international
Manufacturing,0,9,international
Manufacturing,1,8,international
Technology,0,14,international
Technology,1,9,international
