cik,date,value,component
718789,2005-11-01,1,al-qaeda_domestic
1130713,2006-01-01,1,al-qaeda_domestic
1186142,2006-10-01,1,al-qaeda_domestic
1373520,2006-10-01,1,al-qaeda_domestic
744106,2007-03-01,1,al-qaeda_domestic
1018332,2007-08-01,1,al-qaeda_domestic
1006269,2007-11-01,1,al-qaeda_domestic
1393066,2008-04-01,1,al-qaeda_domestic
1336920,2008-10-01,1,al-qaeda_domestic
60519,2009-03-01,1,al-qaeda_domestic
1405287,2009-10-01,1,al-qaeda_domestic
1288248,2009-12-01,1,al-qaeda_domestic
1305018,2009-12-01,1,al-qaeda_domestic
1393066,2009-12-01,1,al-qaeda_domestic
41719,2010-01-01,1,al-qaeda_domestic
817979,2010-03-01,1,al-qaeda_domestic
93389,2010-05-01,1,al-qaeda_domestic
1173738,2010-09-01,1,al-qaeda_domestic
885590,2010-10-01,1,al-qaeda_domestic
930184,2010-10-01,1,al-qaeda_domestic
1294608,2010-12-01,1,al-qaeda_domestic
813781,2011-01-01,1,al-qaeda_domestic
1414078,2011-05-01,1,al-qaeda_domestic
885590,2011-07-01,1,al-qaeda_domestic
885590,2011-08-01,1,al-qaeda_domestic
885590,2011-10-01,1,al-qaeda_domestic
1294250,2011-10-01,1,al-qaeda_domestic
1373988,2011-11-01,1,al-qaeda_domestic
18172,2011-12-01,1,al-qaeda_domestic
851726,2011-12-01,1,al-qaeda_domestic
885590,2012-02-01,1,al-qaeda_domestic
1305168,2012-02-01,1,al-qaeda_domestic
1106935,2012-03-01,1,al-qaeda_domestic
1124941,2012-04-01,1,al-qaeda_domestic
1020710,2012-07-01,1,al-qaeda_domestic
1294250,2012-08-01,1,al-qaeda_domestic
1405287,2013-01-01,1,al-qaeda_domestic
1373988,2013-03-01,1,al-qaeda_domestic
1315257,2013-04-01,1,al-qaeda_domestic
813781,2013-07-01,1,al-qaeda_domestic
1567892,2013-07-01,1,al-qaeda_domestic
5133,2013-08-01,1,al-qaeda_domestic
90498,2013-09-01,1,al-qaeda_domestic
1288248,2013-11-01,1,al-qaeda_domestic
1305168,2013-12-01,1,al-qaeda_domestic
5133,2014-01-01,1,al-qaeda_domestic
1020710,2014-01-01,1,al-qaeda_domestic
1294250,2014-03-01,1,al-qaeda_domestic
1387135,2014-04-01,1,al-qaeda_domestic
837465,2014-06-01,1,al-qaeda_domestic
921768,2014-06-01,1,al-qaeda_domestic
5133,2014-09-01,1,al-qaeda_domestic
742112,2015-01-01,1,al-qaeda_domestic
38984,2015-03-01,1,al-qaeda_domestic
1294250,2015-04-01,1,al-qaeda_domestic
1393066,2015-05-01,1,al-qaeda_domestic
742112,2015-10-01,1,al-qaeda_domestic
1124941,2015-10-01,1,al-qaeda_domestic
1284807,2015-11-01,1,al-qaeda_domestic
1174672,2016-01-01,1,al-qaeda_domestic
351834,2016-02-01,1,al-qaeda_domestic
823768,2016-03-01,1,al-qaeda_domestic
885590,2016-04-01,1,al-qaeda_domestic
876883,2016-05-01,1,al-qaeda_domestic
1617669,2016-05-01,1,al-qaeda_domestic
1318220,2016-06-01,1,al-qaeda_domestic
885590,2016-08-01,1,al-qaeda_domestic
909494,2016-08-01,1,al-qaeda_domestic
822818,2016-11-01,1,al-qaeda_domestic
1178727,2016-11-01,1,al-qaeda_domestic
18172,2016-12-01,1,al-qaeda_domestic
821002,2016-12-01,1,al-qaeda_domestic
909494,2017-01-01,1,al-qaeda_domestic
1315257,2017-02-01,1,al-qaeda_domestic
1463792,2017-02-01,1,al-qaeda_domestic
6176,2017-03-01,1,al-qaeda_domestic
885590,2017-03-01,1,al-qaeda_domestic
1170534,2017-03-01,1,al-qaeda_domestic
1464790,2017-04-01,1,al-qaeda_domestic
1561743,2017-06-01,1,al-qaeda_domestic
1437226,2017-07-01,1,al-qaeda_domestic
837465,2017-08-01,1,al-qaeda_domestic
1020569,2017-08-01,1,al-qaeda_domestic
1561660,2017-08-01,1,al-qaeda_domestic
1705682,2017-08-01,1,al-qaeda_domestic
351834,2017-09-01,1,al-qaeda_domestic
945841,2017-10-01,1,al-qaeda_domestic
38984,2017-11-01,1,al-qaeda_domestic
837465,2017-11-01,1,al-qaeda_domestic
1401257,2017-11-01,1,al-qaeda_domestic
63276,2017-12-01,1,al-qaeda_domestic
1561660,2017-12-01,1,al-qaeda_domestic
38984,2018-01-01,1,al-qaeda_domestic
1026655,2018-01-01,1,al-qaeda_domestic
1124941,2018-01-01,1,al-qaeda_domestic
884713,2018-02-01,1,al-qaeda_domestic
1502034,2018-02-01,1,al-qaeda_domestic
1318220,2018-03-01,1,al-qaeda_domestic
1694426,2018-04-01,1,al-qaeda_domestic
1486957,2018-05-01,1,al-qaeda_domestic
1599617,2018-05-01,1,al-qaeda_domestic
823768,2018-06-01,1,al-qaeda_domestic
1314772,2018-06-01,1,al-qaeda_domestic
1561660,2018-08-01,1,al-qaeda_domestic
1688941,2018-08-01,1,al-qaeda_domestic
1711291,2018-08-01,1,al-qaeda_domestic
351834,2018-10-01,1,al-qaeda_domestic
1025378,2018-10-01,1,al-qaeda_domestic
1532286,2018-10-01,1,al-qaeda_domestic
883902,2018-11-01,1,al-qaeda_domestic
1561660,2018-11-01,1,al-qaeda_domestic
63276,2018-12-01,1,al-qaeda_domestic
837465,2019-01-01,1,al-qaeda_domestic
837465,2019-05-01,1,al-qaeda_domestic
1393066,2019-05-01,1,al-qaeda_domestic
1399520,2019-05-01,1,al-qaeda_domestic
903129,2019-06-01,1,al-qaeda_domestic
865941,2019-08-01,1,al-qaeda_domestic
932696,2019-08-01,1,al-qaeda_domestic
1505155,2019-08-01,1,al-qaeda_domestic
1537054,2019-08-01,1,al-qaeda_domestic
1561660,2019-08-01,1,al-qaeda_domestic
1025378,2019-09-01,1,al-qaeda_domestic
1489393,2019-09-01,1,al-qaeda_domestic
1393066,2019-10-01,1,al-qaeda_domestic
1399520,2019-10-01,1,al-qaeda_domestic
1489393,2019-10-01,1,al-qaeda_domestic
1561660,2019-10-01,1,al-qaeda_domestic
63276,2019-11-01,1,al-qaeda_domestic
823768,2019-11-01,1,al-qaeda_domestic
1732845,2019-11-01,1,al-qaeda_domestic
1603923,2019-12-01,1,al-qaeda_domestic
351834,2020-01-01,1,al-qaeda_domestic
945841,2020-01-01,1,al-qaeda_domestic
884713,2020-02-01,1,al-qaeda_domestic
1171155,2020-03-01,1,al-qaeda_domestic
1486957,2020-03-01,1,al-qaeda_domestic
1489393,2020-04-01,1,al-qaeda_domestic
764195,2020-05-01,1,al-qaeda_domestic
876883,2020-06-01,1,al-qaeda_domestic
823768,2020-07-01,1,al-qaeda_domestic
821002,2020-08-01,1,al-qaeda_domestic
1603923,2020-08-01,1,al-qaeda_domestic
1739104,2020-08-01,1,al-qaeda_domestic
822818,2020-10-01,1,al-qaeda_domestic
1314772,2020-10-01,1,al-qaeda_domestic
1437226,2020-10-01,1,al-qaeda_domestic
1489393,2020-10-01,1,al-qaeda_domestic
1026655,2020-11-01,1,al-qaeda_domestic
351834,2021-01-01,1,al-qaeda_domestic
740260,2021-02-01,1,al-qaeda_domestic
1828443,2021-02-01,1,al-qaeda_domestic
63276,2021-03-01,1,al-qaeda_domestic
1025378,2021-03-01,1,al-qaeda_domestic
351834,2021-04-01,1,al-qaeda_domestic
1257640,2021-04-01,1,al-qaeda_domestic
1124941,2021-05-01,1,al-qaeda_domestic
1009829,2021-06-01,1,al-qaeda_domestic
1318220,2021-07-01,1,al-qaeda_domestic
33185,2021-08-01,1,al-qaeda_domestic
1788717,2021-08-01,1,al-qaeda_domestic
1046102,2021-09-01,1,al-qaeda_domestic
1401257,2021-09-01,1,al-qaeda_domestic
1603923,2021-09-01,1,al-qaeda_domestic
352998,2021-10-01,1,al-qaeda_domestic
861878,2021-10-01,1,al-qaeda_domestic
1870997,2021-11-01,1,al-qaeda_domestic
85961,2021-12-01,1,al-qaeda_domestic
1020569,2021-12-01,1,al-qaeda_domestic
1393066,2021-12-01,1,al-qaeda_domestic
1452857,2021-12-01,1,al-qaeda_domestic
1599617,2021-12-01,1,al-qaeda_domestic
1314772,2022-01-01,1,al-qaeda_domestic
1318220,2022-02-01,1,al-qaeda_domestic
1407583,2022-02-01,1,al-qaeda_domestic
1020569,2022-03-01,1,al-qaeda_domestic
1844971,2022-03-01,1,al-qaeda_domestic
1319947,2022-04-01,1,al-qaeda_domestic
1464790,2022-04-01,1,al-qaeda_domestic
1413447,2022-05-01,1,al-qaeda_domestic
1830063,2022-05-01,1,al-qaeda_domestic
823768,2022-06-01,1,al-qaeda_domestic
742112,2022-07-01,1,al-qaeda_domestic
887921,2022-07-01,1,al-qaeda_domestic
890547,2022-07-01,1,al-qaeda_domestic
932696,2022-07-01,1,al-qaeda_domestic
1026655,2022-07-01,1,al-qaeda_domestic
1732845,2022-07-01,1,al-qaeda_domestic
