filing_date,cik,accession_number,filename,component,url
2025-03-26,1074871,0001013762-25-002793,ea023550201ex10-2_modular.htm,al-qaeda,https://www.sec.gov/Archives/edgar/data/1074871/000101376225002793/ea023550201ex10-2_modular.htm#:~:text=Al%20Qaeda&text=Al-Qaeda&text=Al%20Qaida
2025-02-26,1731348,0001437749-25-005242,ex_782816.htm,al-qaeda,https://www.sec.gov/Archives/edgar/data/1731348/000143774925005242/ex_782816.htm#:~:text=Al%20Qaeda&text=Al-Qaeda&text=Al%20Qaida
2025-03-04,23197,0001104659-25-020043,tm258065d1_ex10-2.htm,al-qaeda,https://www.sec.gov/Archives/edgar/data/23197/000110465925020043/tm258065d1_ex10-2.htm#:~:text=Al%20Qaeda&text=Al-Qaeda&text=Al%20Qaida
2025-02-26,1603652,0000950170-25-027909,uly-ex10_1.htm,al-qaeda,https://www.sec.gov/Archives/edgar/data/1603652/000095017025027909/uly-ex10_1.htm#:~:text=Al%20Qaeda&text=Al-Qaeda&text=Al%20Qaida
2025-02-27,1656472,0001656472-25-000012,pressreleaseq42024kformat.htm,houthis,https://www.sec.gov/Archives/edgar/data/1656472/000165647225000012/pressreleaseq42024kformat.htm#:~:text=Houthi&text=Houthis&text=Ansar%20Allah&text=Yemen%20conflict
2025-02-26,821483,0000821483-25-000002,a20241231991earningsreleas.htm,houthis,https://www.sec.gov/Archives/edgar/data/821483/000082148325000002/a20241231991earningsreleas.htm#:~:text=Houthi&text=Houthis&text=Ansar%20Allah&text=Yemen%20conflict
2025-03-03,1030894,0001030894-25-000017,cls-20240930xmdausgaap.htm,houthis,https://www.sec.gov/Archives/edgar/data/1030894/000103089425000017/cls-20240930xmdausgaap.htm#:~:text=Houthi&text=Houthis&text=Ansar%20Allah&text=Yemen%20conflict
2025-03-17,1006281,0001558370-25-003036,plx-20250317xex99d1.htm,hezbollah,https://www.sec.gov/Archives/edgar/data/1006281/000155837025003036/plx-20250317xex99d1.htm#:~:text=Hezbollah&text=Hizbullah&text=Hizballah&text=Lebanese%20Hezbollah
2025-03-21,1915657,0001915657-25-000026,dino-irpresentation_marc.htm,hezbollah,https://www.sec.gov/Archives/edgar/data/1915657/000191565725000026/dino-irpresentation_marc.htm#:~:text=Hezbollah&text=Hizbullah&text=Hizballah&text=Lebanese%20Hezbollah
2025-02-27,1656472,0001656472-25-000012,pressreleaseq42024kformat.htm,hezbollah,https://www.sec.gov/Archives/edgar/data/1656472/000165647225000012/pressreleaseq42024kformat.htm#:~:text=Hezbollah&text=Hizbullah&text=Hizballah&text=Lebanese%20Hezbollah
2025-03-03,1030894,0001030894-25-000017,cls-20240930xmdausgaap.htm,hezbollah,https://www.sec.gov/Archives/edgar/data/1030894/000103089425000017/cls-20240930xmdausgaap.htm#:~:text=Hezbollah&text=Hizbullah&text=Hizballah&text=Lebanese%20Hezbollah
2025-03-03,64472,0001193125-25-044119,d936272dex991.htm,hamas,https://www.sec.gov/Archives/edgar/data/64472/000119312525044119/d936272dex991.htm#:~:text=hamas
2025-03-12,1325702,0001193125-25-052457,d877446dex991.htm,hamas,https://www.sec.gov/Archives/edgar/data/1325702/000119312525052457/d877446dex991.htm#:~:text=hamas
2025-03-21,1718500,0001520138-25-000078,axil-20250321_8kex99z1.htm,hamas,https://www.sec.gov/Archives/edgar/data/1718500/000152013825000078/axil-20250321_8kex99z1.htm#:~:text=hamas
2025-03-17,1059142,0000950170-25-040346,ghi-ex99_1.htm,hamas,https://www.sec.gov/Archives/edgar/data/1059142/000095017025040346/ghi-ex99_1.htm#:~:text=hamas
2025-03-21,1595527,0001104659-25-026697,tm2510019d2_8k.htm,hamas,https://www.sec.gov/Archives/edgar/data/1595527/000110465925026697/tm2510019d2_8k.htm#:~:text=hamas
2025-03-07,2025401,0001213900-25-021774,ea023339801ex99-1_fifthera1.htm,hamas,https://www.sec.gov/Archives/edgar/data/2025401/000121390025021774/ea023339801ex99-1_fifthera1.htm#:~:text=hamas
2025-03-21,1595527,0001104659-25-026706,tm2510019d1_8k.htm,hamas,https://www.sec.gov/Archives/edgar/data/1595527/000110465925026706/tm2510019d1_8k.htm#:~:text=hamas
2025-03-21,812074,0001104659-25-026683,tm259909d1_8k.htm,hamas,https://www.sec.gov/Archives/edgar/data/812074/000110465925026683/tm259909d1_8k.htm#:~:text=hamas
