cik,date,value,component
1009304,2001-01-01,1,constraints_domestic
1043915,2001-01-01,1,constraints_domestic
1082397,2001-01-01,1,constraints_domestic
713425,2002-01-01,1,constraints_domestic
1009304,2002-01-01,1,constraints_domestic
1043915,2002-01-01,1,constraints_domestic
1082397,2002-01-01,1,constraints_domestic
713425,2003-01-01,1,constraints_domestic
1009304,2003-01-01,1,constraints_domestic
1043915,2003-01-01,1,constraints_domestic
713425,2004-01-01,1,constraints_domestic
912093,2004-01-01,1,constraints_domestic
1009304,2004-01-01,1,constraints_domestic
1043915,2004-01-01,1,constraints_domestic
1009304,2005-01-01,1,constraints_domestic
1140415,2005-01-01,1,constraints_domestic
45012,2006-01-01,1,constraints_domestic
812703,2006-01-01,1,constraints_domestic
1009304,2006-01-01,1,constraints_domestic
45012,2007-01-01,1,constraints_domestic
800240,2007-01-01,1,constraints_domestic
1009304,2007-01-01,1,constraints_domestic
1013488,2007-01-01,1,constraints_domestic
1377789,2007-01-01,1,constraints_domestic
45012,2008-01-01,1,constraints_domestic
108312,2008-01-01,1,constraints_domestic
800240,2008-01-01,1,constraints_domestic
1009304,2008-01-01,1,constraints_domestic
1013488,2008-01-01,1,constraints_domestic
1032067,2008-01-01,1,constraints_domestic
1377789,2008-01-01,1,constraints_domestic
1390844,2008-01-01,1,constraints_domestic
45012,2009-01-01,1,constraints_domestic
108312,2009-01-01,1,constraints_domestic
800240,2009-01-01,1,constraints_domestic
1377789,2009-01-01,1,constraints_domestic
45012,2010-01-01,1,constraints_domestic
800240,2010-01-01,1,constraints_domestic
1078271,2010-01-01,1,constraints_domestic
1377789,2010-01-01,1,constraints_domestic
45012,2011-01-01,1,constraints_domestic
47217,2011-01-01,1,constraints_domestic
355811,2011-01-01,1,constraints_domestic
800240,2011-01-01,1,constraints_domestic
872448,2011-01-01,1,constraints_domestic
897723,2011-01-01,1,constraints_domestic
1023362,2011-01-01,1,constraints_domestic
1078271,2011-01-01,1,constraints_domestic
1138639,2011-01-01,1,constraints_domestic
1377789,2011-01-01,1,constraints_domestic
1392522,2011-01-01,1,constraints_domestic
18230,2012-01-01,1,constraints_domestic
47217,2012-01-01,1,constraints_domestic
355811,2012-01-01,1,constraints_domestic
764478,2012-01-01,1,constraints_domestic
800240,2012-01-01,1,constraints_domestic
1001902,2012-01-01,1,constraints_domestic
1138639,2012-01-01,1,constraints_domestic
1377789,2012-01-01,1,constraints_domestic
1392522,2012-01-01,1,constraints_domestic
1509273,2012-01-01,1,constraints_domestic
313716,2013-01-01,1,constraints_domestic
355811,2013-01-01,1,constraints_domestic
800240,2013-01-01,1,constraints_domestic
869986,2013-01-01,1,constraints_domestic
1042825,2013-01-01,1,constraints_domestic
1138639,2013-01-01,1,constraints_domestic
1345122,2013-01-01,1,constraints_domestic
1345126,2013-01-01,1,constraints_domestic
1377789,2013-01-01,1,constraints_domestic
1392522,2013-01-01,1,constraints_domestic
1434589,2013-01-01,1,constraints_domestic
21076,2014-01-01,1,constraints_domestic
800240,2014-01-01,1,constraints_domestic
869986,2014-01-01,1,constraints_domestic
1345122,2014-01-01,1,constraints_domestic
1345126,2014-01-01,1,constraints_domestic
1377789,2014-01-01,1,constraints_domestic
1392522,2014-01-01,1,constraints_domestic
1441693,2014-01-01,1,constraints_domestic
800240,2015-01-01,1,constraints_domestic
