filing_date,count,component
2001-12-31,3,constraints_domestic
2002-12-31,4,constraints_domestic
2003-12-31,3,constraints_domestic
2004-12-31,4,constraints_domestic
2005-12-31,2,constraints_domestic
2006-12-31,3,constraints_domestic
2007-12-31,5,constraints_domestic
2008-12-31,8,constraints_domestic
2009-12-31,4,constraints_domestic
2010-12-31,4,constraints_domestic
2011-12-31,11,constraints_domestic
2012-12-31,10,constraints_domestic
2013-12-31,11,constraints_domestic
2014-12-31,8,constraints_domestic
2015-12-31,6,constraints_domestic
2016-12-31,6,constraints_domestic
2017-12-31,10,constraints_domestic
2018-12-31,11,constraints_domestic
2019-12-31,17,constraints_domestic
2020-12-31,31,constraints_domestic
2021-12-31,112,constraints_domestic
2022-12-31,611,constraints_domestic
2023-12-31,837,constraints_domestic
2024-12-31,686,constraints_domestic
2025-12-31,446,constraints_domestic
2008-12-31,1,constraints_intl
2009-12-31,0,constraints_intl
2010-12-31,0,constraints_intl
2011-12-31,1,constraints_intl
2012-12-31,0,constraints_intl
2013-12-31,0,constraints_intl
2014-12-31,0,constraints_intl
2015-12-31,0,constraints_intl
2016-12-31,0,constraints_intl
2017-12-31,0,constraints_intl
2018-12-31,0,constraints_intl
2019-12-31,0,constraints_intl
2020-12-31,1,constraints_intl
2021-12-31,4,constraints_intl
2022-12-31,52,constraints_intl
2023-12-31,84,constraints_intl
2024-12-31,67,constraints_intl
2025-12-31,36,constraints_intl
