filing_date,component,url,ownerOrg,name,cik
2024-11-25,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1589526/000158952624000119/blbd-20240928.htm#:~:text=Supply%20chain%20constraints,Manufacturing,Blue Bird Corp,1589526
2025-02-21,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1094285/000109428525000053/tdy-ex1012_performanceplan.htm#:~:text=Supply%20chain%20constraints,Manufacturing,TELEDYNE TECHNOLOGIES INC,1094285
2024-08-21,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1633978/000162828024038024/lite-20240629.htm#:~:text=Supply%20chain%20constraints,Manufacturing,Lumentum Holdings Inc.,1633978
2025-02-13,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1334036/000133403625000009/crox-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"Crocs, Inc.",1334036
2024-06-13,constraints_domestic,https://www.sec.gov/Archives/edgar/data/350868/000035086824000016/iti-20240331.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"ITERIS, INC.",350868
2025-02-03,constraints_domestic,https://www.sec.gov/Archives/edgar/data/12927/000001292725000015/ba-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,BOEING CO,12927
2024-06-13,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1126741/000155837024009139/gsit-20240331x10k.htm#:~:text=Supply%20chain%20constraints,Manufacturing,GSI TECHNOLOGY INC,1126741
2024-10-29,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1702744/000170274424000089/atk-20240831.htm#:~:text=Supply%20chain%20constraints,Manufacturing,Simply Good Foods Co,1702744
2025-02-21,constraints_domestic,https://www.sec.gov/Archives/edgar/data/61986/000095017025024838/mtw-20241231.htm#:~:text=Supply%20chain%20constraints,Technology,MANITOWOC CO INC,61986
2025-03-24,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1017303/000114036125010065/ef20039038_10k.htm#:~:text=Supply%20chain%20constraints,Technology,TRANSACT TECHNOLOGIES INC,1017303
2025-02-25,constraints_domestic,https://www.sec.gov/Archives/edgar/data/355811/000035581125000009/gntx-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,GENTEX CORP,355811
2024-08-23,constraints_domestic,https://www.sec.gov/Archives/edgar/data/817720/000095017024100261/syna-20240629.htm#:~:text=Supply%20chain%20constraints,Manufacturing,SYNAPTICS Inc,817720
2024-08-16,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1078271/000095017024098129/extr-20240630.htm#:~:text=Supply%20chain%20constraints,Technology,EXTREME NETWORKS INC,1078271
2025-01-31,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1035267/000103526725000017/isrg-20241231.htm#:~:text=Supply%20chain%20constraints,Industrial Applications and Services,INTUITIVE SURGICAL INC,1035267
2025-03-24,constraints_domestic,https://www.sec.gov/Archives/edgar/data/20639/000114036125010025/ef20038924_10k.htm#:~:text=Supply%20chain%20constraints,Real Estate & Construction,AmBase Corp,20639
2024-11-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/897723/000089772324000056/sanm-20240928.htm#:~:text=Supply%20chain%20constraints,Manufacturing,SANMINA CORP,897723
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1140215/000164117225001344/form10-k.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"REED'S, INC.",1140215
2025-02-11,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1069202/000162828025004859/lii-20241231.htm#:~:text=Supply%20chain%20constraints,Technology,LENNOX INTERNATIONAL INC,1069202
2025-03-12,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000057/mrvl-20250201.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"Marvell Technology, Inc.",1835632
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/885508/000088550825000022/strs-20241231.htm#:~:text=Supply%20chain%20constraints,Real Estate & Construction,STRATUS PROPERTIES INC,885508
2024-09-23,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1997652/000119312524223049/d864204d10k.htm#:~:text=Supply%20chain%20constraints,Energy & Transportation,Tamboran Resources Corp,1997652
2024-12-13,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1871890/000139390524000423/glei-20240731.htm#:~:text=Supply%20chain%20constraints,Real Estate & Construction,Galaxy Enterprises Inc. /WY/,1871890
2024-09-24,constraints_domestic,https://www.sec.gov/Archives/edgar/data/730263/000073026324000010/tho-20240731.htm#:~:text=Supply%20chain%20constraints,Manufacturing,THOR INDUSTRIES INC,730263
2025-02-24,constraints_domestic,https://www.sec.gov/Archives/edgar/data/863436/000095017025025644/bhe-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,BENCHMARK ELECTRONICS INC,863436
2025-02-25,constraints_domestic,https://www.sec.gov/Archives/edgar/data/886346/000088634625000006/kai-20241228.htm#:~:text=Supply%20chain%20constraints,Technology,KADANT INC,886346
2024-09-12,constraints_domestic,https://www.sec.gov/Archives/edgar/data/65312/000117494724001056/ea0212437-10k_eviindus.htm#:~:text=Supply%20chain%20constraints,Trade & Services,"EVI INDUSTRIES, INC.",65312
2024-07-15,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1608092/000168316824004856/kisses_i10k-123123.htm#:~:text=Supply%20chain%20constraints,Trade & Services,Kisses From Italy Inc.,1608092
2025-02-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1438423/000155837025001827/mram-20241231x10k.htm#:~:text=Supply%20chain%20constraints,Manufacturing,EVERSPIN TECHNOLOGIES INC.,1438423
2025-02-03,constraints_domestic,https://www.sec.gov/Archives/edgar/data/40545/000004054525000015/ge-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,GENERAL ELECTRIC CO,40545
2025-03-05,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1758766/000175876625000005/stem-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"STEM, INC.",1758766
2025-02-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1167419/000155837025001888/riot-20241231x10k.htm#:~:text=Supply%20chain%20constraints,Crypto Assets,"Riot Platforms, Inc.",1167419
2025-02-13,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1910139/000141057825000127/mbly-20241228x10k.htm#:~:text=Supply%20chain%20constraints,Technology,Mobileye Global Inc.,1910139
2025-02-26,constraints_domestic,https://www.sec.gov/Archives/edgar/data/26058/000095017025027956/cts-20241231.htm#:~:text=Supply%20chain%20constraints,Manufacturing,CTS CORP,26058
