ownerOrg,period,count,component
Crypto Assets,0,7,constraints_domestic
Crypto Assets,1,4,constraints_domestic
Energy & Transportation,0,85,constraints_domestic
Energy & Transportation,1,103,constraints_domestic
Finance,0,25,constraints_domestic
Finance,1,35,constraints_domestic
Industrial Applications and Services,0,73,constraints_domestic
Industrial Applications and Services,1,87,constraints_domestic
Life Sciences,0,63,constraints_domestic
Life Sciences,1,69,constraints_domestic
Manufacturing,0,139,constraints_domestic
Manufacturing,1,185,constraints_domestic
Real Estate & Construction,0,38,constraints_domestic
Real Estate & Construction,1,38,constraints_domestic
Technology,0,67,constraints_domestic
Technology,1,88,constraints_domestic
Trade & Services,0,57,constraints_domestic
Trade & Services,1,73,constraints_domestic
Energy & Transportation,0,21,constraints_intl
Energy & Transportation,1,27,constraints_intl
Finance,0,4,constraints_intl
Finance,1,6,constraints_intl
Industrial Applications and Services,0,4,constraints_intl
Industrial Applications and Services,1,3,constraints_intl
Life Sciences,0,2,constraints_intl
Life Sciences,1,4,constraints_intl
Manufacturing,0,20,constraints_intl
Manufacturing,1,22,constraints_intl
Technology,0,7,constraints_intl
Technology,1,7,constraints_intl
Trade & Services,0,4,constraints_intl
Trade & Services,1,3,constraints_intl
