cik,date,value,component
86521,2001-01-01,1,canada_domestic
1032208,2001-01-01,1,canada_domestic
18808,2001-02-01,1,canada_domestic
714560,2001-02-01,1,canada_domestic
889900,2001-02-01,1,canada_domestic
911317,2001-02-01,1,canada_domestic
1093273,2001-02-01,1,canada_domestic
3673,2001-03-01,1,canada_domestic
30371,2001-03-01,1,canada_domestic
230463,2001-03-01,1,canada_domestic
771298,2001-03-01,1,canada_domestic
1010775,2001-03-01,1,canada_domestic
1051116,2001-03-01,1,canada_domestic
1066107,2001-03-01,1,canada_domestic
1081661,2001-03-01,1,canada_domestic
807397,2001-04-01,1,canada_domestic
885067,2001-04-01,1,canada_domestic
941685,2001-04-01,1,canada_domestic
1010775,2001-04-01,1,canada_domestic
1066629,2001-04-01,1,canada_domestic
1083277,2001-04-01,1,canada_domestic
811014,2001-05-01,1,canada_domestic
880285,2001-05-01,1,canada_domestic
1004980,2001-05-01,1,canada_domestic
1118941,2001-05-01,1,canada_domestic
874761,2001-06-01,1,canada_domestic
1035002,2001-06-01,1,canada_domestic
1070423,2001-06-01,1,canada_domestic
1109357,2001-06-01,1,canada_domestic
22606,2001-08-01,1,canada_domestic
78100,2001-08-01,1,canada_domestic
933974,2001-08-01,1,canada_domestic
941685,2001-08-01,1,canada_domestic
1070423,2001-08-01,1,canada_domestic
1109357,2001-08-01,1,canada_domestic
949112,2001-09-01,1,canada_domestic
849213,2001-10-01,1,canada_domestic
8947,2001-11-01,1,canada_domestic
1043769,2001-11-01,1,canada_domestic
1086722,2001-11-01,1,canada_domestic
1095480,2001-11-01,1,canada_domestic
1114937,2001-11-01,1,canada_domestic
797313,2001-12-01,1,canada_domestic
896265,2001-12-01,1,canada_domestic
942143,2001-12-01,1,canada_domestic
771298,2002-01-01,1,canada_domestic
859735,2002-01-01,1,canada_domestic
1053303,2002-01-01,1,canada_domestic
1055454,2002-01-01,1,canada_domestic
771298,2002-02-01,1,canada_domestic
880285,2002-02-01,1,canada_domestic
896265,2002-02-01,1,canada_domestic
909950,2002-02-01,1,canada_domestic
932110,2002-02-01,1,canada_domestic
1053303,2002-02-01,1,canada_domestic
1074874,2002-02-01,1,canada_domestic
887614,2002-03-01,1,canada_domestic
896265,2002-03-01,1,canada_domestic
1070423,2002-03-01,1,canada_domestic
30117,2002-04-01,1,canada_domestic
710182,2002-04-01,1,canada_domestic
885067,2002-04-01,1,canada_domestic
1068078,2002-04-01,1,canada_domestic
107263,2002-05-01,1,canada_domestic
932110,2002-05-01,1,canada_domestic
1024401,2002-05-01,1,canada_domestic
1110805,2002-05-01,1,canada_domestic
60302,2002-06-01,1,canada_domestic
320321,2002-06-01,1,canada_domestic
894253,2002-06-01,1,canada_domestic
909281,2002-06-01,1,canada_domestic
1037927,2002-06-01,1,canada_domestic
1110805,2002-06-01,1,canada_domestic
894253,2002-07-01,1,canada_domestic
1098284,2002-07-01,1,canada_domestic
1037016,2002-08-01,1,canada_domestic
1118488,2002-08-01,1,canada_domestic
75659,2002-09-01,1,canada_domestic
822818,2002-09-01,1,canada_domestic
864292,2002-09-01,1,canada_domestic
936340,2002-09-01,1,canada_domestic
1061792,2002-09-01,1,canada_domestic
72020,2002-10-01,1,canada_domestic
110104,2002-10-01,1,canada_domestic
801351,2002-10-01,1,canada_domestic
880285,2002-10-01,1,canada_domestic
1003429,2002-10-01,1,canada_domestic
1013696,2002-10-01,1,canada_domestic
1061322,2002-10-01,1,canada_domestic
1070423,2002-10-01,1,canada_domestic
1118941,2002-10-01,1,canada_domestic
1119307,2002-10-01,1,canada_domestic
313716,2002-11-01,1,canada_domestic
782995,2002-11-01,1,canada_domestic
853273,2002-11-01,1,canada_domestic
874761,2002-11-01,1,canada_domestic
1093273,2002-11-01,1,canada_domestic
701345,2002-12-01,1,canada_domestic
714560,2002-12-01,1,canada_domestic
863204,2002-12-01,1,canada_domestic
917464,2002-12-01,1,canada_domestic
1068049,2002-12-01,1,canada_domestic
1091530,2002-12-01,1,canada_domestic
1116317,2002-12-01,1,canada_domestic
1119307,2002-12-01,1,canada_domestic
25890,2003-01-01,1,canada_domestic
746515,2003-01-01,1,canada_domestic
853273,2003-01-01,1,canada_domestic
906347,2003-01-01,1,canada_domestic
1091530,2003-01-01,1,canada_domestic
1116317,2003-01-01,1,canada_domestic
25890,2003-02-01,1,canada_domestic
30371,2003-02-01,1,canada_domestic
65695,2003-02-01,1,canada_domestic
104169,2003-02-01,1,canada_domestic
701345,2003-02-01,1,canada_domestic
702165,2003-02-01,1,canada_domestic
714560,2003-02-01,1,canada_domestic
819220,2003-02-01,1,canada_domestic
855931,2003-02-01,1,canada_domestic
865415,2003-02-01,1,canada_domestic
1066107,2003-02-01,1,canada_domestic
20947,2003-03-01,1,canada_domestic
53456,2003-03-01,1,canada_domestic
352049,2003-03-01,1,canada_domestic
1031296,2003-03-01,1,canada_domestic
1123852,2003-03-01,1,canada_domestic
356309,2003-04-01,1,canada_domestic
701345,2003-04-01,1,canada_domestic
714560,2003-04-01,1,canada_domestic
723527,2003-04-01,1,canada_domestic
852952,2003-04-01,1,canada_domestic
880285,2003-04-01,1,canada_domestic
1003464,2003-04-01,1,canada_domestic
1066107,2003-04-01,1,canada_domestic
1070423,2003-04-01,1,canada_domestic
1166036,2003-04-01,1,canada_domestic
101063,2003-05-01,1,canada_domestic
104169,2003-05-01,1,canada_domestic
110430,2003-05-01,1,canada_domestic
880285,2003-05-01,1,canada_domestic
910133,2003-05-01,1,canada_domestic
1062379,2003-05-01,1,canada_domestic
1163302,2003-05-01,1,canada_domestic
20290,2003-06-01,1,canada_domestic
65695,2003-06-01,1,canada_domestic
81020,2003-06-01,1,canada_domestic
100858,2003-06-01,1,canada_domestic
108772,2003-06-01,1,canada_domestic
874761,2003-06-01,1,canada_domestic
899652,2003-06-01,1,canada_domestic
1110794,2003-06-01,1,canada_domestic
1168397,2003-06-01,1,canada_domestic
61611,2003-07-01,1,canada_domestic
77360,2003-07-01,1,canada_domestic
101063,2003-07-01,1,canada_domestic
356309,2003-07-01,1,canada_domestic
723527,2003-07-01,1,canada_domestic
916457,2003-07-01,1,canada_domestic
1024401,2003-07-01,1,canada_domestic
1026743,2003-07-01,1,canada_domestic
1070423,2003-07-01,1,canada_domestic
1111711,2003-07-01,1,canada_domestic
1222497,2003-07-01,1,canada_domestic
22606,2003-08-01,1,canada_domestic
70578,2003-08-01,1,canada_domestic
78100,2003-08-01,1,canada_domestic
104169,2003-08-01,1,canada_domestic
802481,2003-08-01,1,canada_domestic
931148,2003-08-01,1,canada_domestic
1062379,2003-08-01,1,canada_domestic
1109357,2003-08-01,1,canada_domestic
1168165,2003-08-01,1,canada_domestic
1230058,2003-08-01,1,canada_domestic
21267,2003-09-01,1,canada_domestic
909950,2003-09-01,1,canada_domestic
1006837,2003-09-01,1,canada_domestic
1024401,2003-09-01,1,canada_domestic
1059562,2003-09-01,1,canada_domestic
1066107,2003-09-01,1,canada_domestic
71180,2003-10-01,1,canada_domestic
90144,2003-10-01,1,canada_domestic
101063,2003-10-01,1,canada_domestic
356309,2003-10-01,1,canada_domestic
741508,2003-10-01,1,canada_domestic
864292,2003-10-01,1,canada_domestic
879215,2003-10-01,1,canada_domestic
880285,2003-10-01,1,canada_domestic
895040,2003-10-01,1,canada_domestic
916457,2003-10-01,1,canada_domestic
940298,2003-10-01,1,canada_domestic
1061792,2003-10-01,1,canada_domestic
1070423,2003-10-01,1,canada_domestic
1222497,2003-10-01,1,canada_domestic
20232,2003-11-01,1,canada_domestic
22444,2003-11-01,1,canada_domestic
55387,2003-11-01,1,canada_domestic
60549,2003-11-01,1,canada_domestic
104169,2003-11-01,1,canada_domestic
874761,2003-11-01,1,canada_domestic
884124,2003-11-01,1,canada_domestic
1024401,2003-11-01,1,canada_domestic
1000578,2003-12-01,1,canada_domestic
1013149,2003-12-01,1,canada_domestic
1013871,2003-12-01,1,canada_domestic
1024401,2003-12-01,1,canada_domestic
1166036,2003-12-01,1,canada_domestic
73020,2004-01-01,1,canada_domestic
356309,2004-01-01,1,canada_domestic
1019756,2004-01-01,1,canada_domestic
1024401,2004-01-01,1,canada_domestic
1134061,2004-01-01,1,canada_domestic
1222497,2004-01-01,1,canada_domestic
104169,2004-02-01,1,canada_domestic
230211,2004-02-01,1,canada_domestic
866609,2004-02-01,1,canada_domestic
1048911,2004-02-01,1,canada_domestic
1070423,2004-02-01,1,canada_domestic
1109357,2004-02-01,1,canada_domestic
