cik,date,value,component
1163461,2002-03-01,1,main-battle-tank_domestic
1163461,2002-04-01,1,main-battle-tank_domestic
1051719,2003-04-01,1,main-battle-tank_domestic
28630,2003-08-01,1,main-battle-tank_domestic
1163461,2003-08-01,1,main-battle-tank_domestic
1163461,2003-10-01,1,main-battle-tank_domestic
1039101,2004-11-01,1,main-battle-tank_domestic
1056239,2004-11-01,1,main-battle-tank_domestic
866121,2005-05-01,1,main-battle-tank_domestic
28630,2006-01-01,1,main-battle-tank_domestic
74818,2007-05-01,1,main-battle-tank_domestic
28561,2007-08-01,1,main-battle-tank_domestic
67887,2007-11-01,1,main-battle-tank_domestic
108312,2009-02-01,1,main-battle-tank_domestic
217346,2009-02-01,1,main-battle-tank_domestic
1069258,2010-11-01,1,main-battle-tank_domestic
1069258,2011-11-01,1,main-battle-tank_domestic
1408597,2012-05-01,1,main-battle-tank_domestic
40533,2012-10-01,1,main-battle-tank_domestic
40533,2013-01-01,1,main-battle-tank_domestic
40533,2015-01-01,1,main-battle-tank_domestic
40533,2015-07-01,1,main-battle-tank_domestic
40533,2016-01-01,1,main-battle-tank_domestic
1009891,2016-09-01,1,main-battle-tank_domestic
40533,2017-01-01,1,main-battle-tank_domestic
26324,2018-02-01,1,main-battle-tank_domestic
40533,2018-04-01,1,main-battle-tank_domestic
916529,2019-05-01,1,main-battle-tank_domestic
40533,2021-10-01,1,main-battle-tank_domestic
1119775,2003-02-01,1,main-battle-tank_intl
1027664,2004-01-01,1,main-battle-tank_intl
1027664,2004-03-01,1,main-battle-tank_intl
1173382,2016-02-01,1,main-battle-tank_intl
1027664,2023-01-01,1,main-battle-tank_intl
1027664,2023-03-01,1,main-battle-tank_intl
1889823,2024-02-01,1,main-battle-tank_intl
59880,2001-01-01,1,electronic-warfare_domestic
917173,2001-01-01,1,electronic-warfare_domestic
917173,2001-04-01,1,electronic-warfare_domestic
1047122,2001-04-01,1,electronic-warfare_domestic
1112985,2001-04-01,1,electronic-warfare_domestic
917173,2001-05-01,1,electronic-warfare_domestic
1047122,2001-05-01,1,electronic-warfare_domestic
917173,2001-07-01,1,electronic-warfare_domestic
917173,2001-08-01,1,electronic-warfare_domestic
866121,2001-09-01,1,electronic-warfare_domestic
31617,2001-10-01,1,electronic-warfare_domestic
866121,2002-01-01,1,electronic-warfare_domestic
891705,2002-02-01,1,electronic-warfare_domestic
31617,2002-03-01,1,electronic-warfare_domestic
42050,2002-03-01,1,electronic-warfare_domestic
31617,2002-04-01,1,electronic-warfare_domestic
31617,2002-05-01,1,electronic-warfare_domestic
917173,2002-05-01,1,electronic-warfare_domestic
31617,2002-06-01,1,electronic-warfare_domestic
866121,2002-06-01,1,electronic-warfare_domestic
1039101,2002-06-01,1,electronic-warfare_domestic
1047122,2002-06-01,1,electronic-warfare_domestic
1056239,2002-06-01,1,electronic-warfare_domestic
33619,2002-07-01,1,electronic-warfare_domestic
100030,2002-07-01,1,electronic-warfare_domestic
917173,2002-07-01,1,electronic-warfare_domestic
31617,2002-08-01,1,electronic-warfare_domestic
723312,2002-08-01,1,electronic-warfare_domestic
1172243,2002-08-01,1,electronic-warfare_domestic
33619,2002-09-01,1,electronic-warfare_domestic
1133421,2002-10-01,1,electronic-warfare_domestic
901119,2002-11-01,1,electronic-warfare_domestic
31617,2003-02-01,1,electronic-warfare_domestic
901119,2003-02-01,1,electronic-warfare_domestic
31617,2003-03-01,1,electronic-warfare_domestic
101271,2003-03-01,1,electronic-warfare_domestic
32198,2003-04-01,1,electronic-warfare_domestic
788885,2003-04-01,1,electronic-warfare_domestic
901119,2003-04-01,1,electronic-warfare_domestic
1133421,2003-04-01,1,electronic-warfare_domestic
26537,2003-05-01,1,electronic-warfare_domestic
31617,2003-05-01,1,electronic-warfare_domestic
33619,2003-05-01,1,electronic-warfare_domestic
101271,2003-05-01,1,electronic-warfare_domestic
1133421,2003-07-01,1,electronic-warfare_domestic
26537,2003-08-01,1,electronic-warfare_domestic
101271,2003-08-01,1,electronic-warfare_domestic
