filing_date,component,url,ownerOrg,name,cik
2025-03-28,uav-drone_intl,https://www.sec.gov/Archives/edgar/data/1786286/000164117225001008/ex99-1.htm#:~:text=UAV&text=drone,Manufacturing,Draganfly Inc.,1786286
2025-03-28,aircraft_domestic,https://www.sec.gov/Archives/edgar/data/1393612/000119312525067213/d827799dex101.htm#:~:text=Aircraft,Finance,Discover Financial Services,1393612
2025-03-28,aircraft_domestic,https://www.sec.gov/Archives/edgar/data/6201/000119312525067150/d941564dex101.htm#:~:text=Aircraft,Energy & Transportation,American Airlines Group Inc.,6201
2025-03-28,aircraft_domestic,https://www.sec.gov/Archives/edgar/data/4515/000119312525067150/d941564dex101.htm#:~:text=Aircraft,Energy & Transportation,"AMERICAN AIRLINES, INC.",4515
2025-03-28,aircraft_domestic,https://www.sec.gov/Archives/edgar/data/1430723/000117184325001815/exh_991.htm#:~:text=Aircraft,Finance,"ServisFirst Bancshares, Inc.",1430723
2025-03-28,aircraft_intl,https://www.sec.gov/Archives/edgar/data/1009922/000165495425003440/nxt_ex991.htm#:~:text=Aircraft,Energy & Transportation,NXT Energy Solutions Inc.,1009922
2025-03-28,aircraft_intl,https://www.sec.gov/Archives/edgar/data/1432364/000129281425001127/azul20250327_6k.htm#:~:text=Aircraft,Energy & Transportation,AZUL SA,1432364
2025-03-28,aircraft_intl,https://www.sec.gov/Archives/edgar/data/1429937/000106299325006445/exhibit99-1.htm#:~:text=Aircraft,Energy & Transportation,B2GOLD CORP,1429937
2025-03-28,aircraft_intl,https://www.sec.gov/Archives/edgar/data/749098/000110465925029386/tm251033d6_ex22-1.pdf#:~:text=Aircraft,Manufacturing,MAGNA INTERNATIONAL INC,749098
2025-03-28,aircraft_intl,https://www.sec.gov/Archives/edgar/data/1861974/000110465925029353/tm2510790d1_ex1-1.htm#:~:text=Aircraft,Technology,ECARX Holdings Inc.,1861974
2025-03-28,ammunition-40mm_intl,https://www.sec.gov/Archives/edgar/data/1889823/000106299325006515/exhibit99-1.htm#:~:text=40mm&text=40%20mm,Technology,KWESST Micro Systems Inc.,1889823
