cik,date,value,component
50292,2014-09-01,1,russo-ukrainian_domestic
853816,2022-02-01,1,russo-ukrainian_domestic
1025378,2022-02-01,1,russo-ukrainian_domestic
1362988,2022-02-01,1,russo-ukrainian_domestic
1374690,2022-02-01,1,russo-ukrainian_domestic
1409171,2022-02-01,1,russo-ukrainian_domestic
1507079,2022-02-01,1,russo-ukrainian_domestic
6955,2022-03-01,1,russo-ukrainian_domestic
16160,2022-03-01,1,russo-ukrainian_domestic
22444,2022-03-01,1,russo-ukrainian_domestic
39368,2022-03-01,1,russo-ukrainian_domestic
63754,2022-03-01,1,russo-ukrainian_domestic
72573,2022-03-01,1,russo-ukrainian_domestic
74303,2022-03-01,1,russo-ukrainian_domestic
95552,2022-03-01,1,russo-ukrainian_domestic
108516,2022-03-01,1,russo-ukrainian_domestic
275053,2022-03-01,1,russo-ukrainian_domestic
713676,2022-03-01,1,russo-ukrainian_domestic
723603,2022-03-01,1,russo-ukrainian_domestic
730263,2022-03-01,1,russo-ukrainian_domestic
813298,2022-03-01,1,russo-ukrainian_domestic
813762,2022-03-01,1,russo-ukrainian_domestic
832988,2022-03-01,1,russo-ukrainian_domestic
870826,2022-03-01,1,russo-ukrainian_domestic
886744,2022-03-01,1,russo-ukrainian_domestic
915358,2022-03-01,1,russo-ukrainian_domestic
918541,2022-03-01,1,russo-ukrainian_domestic
924805,2022-03-01,1,russo-ukrainian_domestic
1007587,2022-03-01,1,russo-ukrainian_domestic
1025378,2022-03-01,1,russo-ukrainian_domestic
1030192,2022-03-01,1,russo-ukrainian_domestic
1064728,2022-03-01,1,russo-ukrainian_domestic
1070235,2022-03-01,1,russo-ukrainian_domestic
1111928,2022-03-01,1,russo-ukrainian_domestic
1141391,2022-03-01,1,russo-ukrainian_domestic
1166388,2022-03-01,1,russo-ukrainian_domestic
1175151,2022-03-01,1,russo-ukrainian_domestic
1270436,2022-03-01,1,russo-ukrainian_domestic
1275477,2022-03-01,1,russo-ukrainian_domestic
1302624,2022-03-01,1,russo-ukrainian_domestic
1363438,2022-03-01,1,russo-ukrainian_domestic
1363829,2022-03-01,1,russo-ukrainian_domestic
1372612,2022-03-01,1,russo-ukrainian_domestic
1374690,2022-03-01,1,russo-ukrainian_domestic
1376139,2022-03-01,1,russo-ukrainian_domestic
1409171,2022-03-01,1,russo-ukrainian_domestic
1412486,2022-03-01,1,russo-ukrainian_domestic
1452857,2022-03-01,1,russo-ukrainian_domestic
1465885,2022-03-01,1,russo-ukrainian_domestic
1487198,2022-03-01,1,russo-ukrainian_domestic
1530721,2022-03-01,1,russo-ukrainian_domestic
1534525,2022-03-01,1,russo-ukrainian_domestic
1595585,2022-03-01,1,russo-ukrainian_domestic
1615165,2022-03-01,1,russo-ukrainian_domestic
1627475,2022-03-01,1,russo-ukrainian_domestic
1639300,2022-03-01,1,russo-ukrainian_domestic
1651407,2022-03-01,1,russo-ukrainian_domestic
1657312,2022-03-01,1,russo-ukrainian_domestic
1668243,2022-03-01,1,russo-ukrainian_domestic
1737953,2022-03-01,1,russo-ukrainian_domestic
1743725,2022-03-01,1,russo-ukrainian_domestic
1754170,2022-03-01,1,russo-ukrainian_domestic
1777393,2022-03-01,1,russo-ukrainian_domestic
1789940,2022-03-01,1,russo-ukrainian_domestic
1792849,2022-03-01,1,russo-ukrainian_domestic
1814329,2022-03-01,1,russo-ukrainian_domestic
1820931,2022-03-01,1,russo-ukrainian_domestic
1821175,2022-03-01,1,russo-ukrainian_domestic
1827821,2022-03-01,1,russo-ukrainian_domestic
1836875,2022-03-01,1,russo-ukrainian_domestic
1847903,2022-03-01,1,russo-ukrainian_domestic
8818,2022-04-01,1,russo-ukrainian_domestic
8947,2022-04-01,1,russo-ukrainian_domestic
12208,2022-04-01,1,russo-ukrainian_domestic
36104,2022-04-01,1,russo-ukrainian_domestic
39263,2022-04-01,1,russo-ukrainian_domestic
51434,2022-04-01,1,russo-ukrainian_domestic
59527,2022-04-01,1,russo-ukrainian_domestic
63296,2022-04-01,1,russo-ukrainian_domestic
70858,2022-04-01,1,russo-ukrainian_domestic
77476,2022-04-01,1,russo-ukrainian_domestic
80424,2022-04-01,1,russo-ukrainian_domestic
91767,2022-04-01,1,russo-ukrainian_domestic
92230,2022-04-01,1,russo-ukrainian_domestic
101829,2022-04-01,1,russo-ukrainian_domestic
106640,2022-04-01,1,russo-ukrainian_domestic
316709,2022-04-01,1,russo-ukrainian_domestic
351998,2022-04-01,1,russo-ukrainian_domestic
713676,2022-04-01,1,russo-ukrainian_domestic
719739,2022-04-01,1,russo-ukrainian_domestic
726601,2022-04-01,1,russo-ukrainian_domestic
764180,2022-04-01,1,russo-ukrainian_domestic
773840,2022-04-01,1,russo-ukrainian_domestic
775158,2022-04-01,1,russo-ukrainian_domestic
790051,2022-04-01,1,russo-ukrainian_domestic
798081,2022-04-01,1,russo-ukrainian_domestic
802481,2022-04-01,1,russo-ukrainian_domestic
823277,2022-04-01,1,russo-ukrainian_domestic
853816,2022-04-01,1,russo-ukrainian_domestic
857005,2022-04-01,1,russo-ukrainian_domestic
861884,2022-04-01,1,russo-ukrainian_domestic
871763,2022-04-01,1,russo-ukrainian_domestic
875357,2022-04-01,1,russo-ukrainian_domestic
887921,2022-04-01,1,russo-ukrainian_domestic
892553,2022-04-01,1,russo-ukrainian_domestic
896264,2022-04-01,1,russo-ukrainian_domestic
903419,2022-04-01,1,russo-ukrainian_domestic
912463,2022-04-01,1,russo-ukrainian_domestic
915389,2022-04-01,1,russo-ukrainian_domestic
921582,2022-04-01,1,russo-ukrainian_domestic
1000229,2022-04-01,1,russo-ukrainian_domestic
1004702,2022-04-01,1,russo-ukrainian_domestic
1029199,2022-04-01,1,russo-ukrainian_domestic
1035002,2022-04-01,1,russo-ukrainian_domestic
1043219,2022-04-01,1,russo-ukrainian_domestic
1043277,2022-04-01,1,russo-ukrainian_domestic
1043604,2022-04-01,1,russo-ukrainian_domestic
1065696,2022-04-01,1,russo-ukrainian_domestic
1074902,2022-04-01,1,russo-ukrainian_domestic
1078271,2022-04-01,1,russo-ukrainian_domestic
1097149,2022-04-01,1,russo-ukrainian_domestic
1120193,2022-04-01,1,russo-ukrainian_domestic
1141391,2022-04-01,1,russo-ukrainian_domestic
1166928,2022-04-01,1,russo-ukrainian_domestic
1176334,2022-04-01,1,russo-ukrainian_domestic
1214816,2022-04-01,1,russo-ukrainian_domestic
1274494,2022-04-01,1,russo-ukrainian_domestic
1288847,2022-04-01,1,russo-ukrainian_domestic
1306830,2022-04-01,1,russo-ukrainian_domestic
1310383,2022-04-01,1,russo-ukrainian_domestic
1341317,2022-04-01,1,russo-ukrainian_domestic
1373715,2022-04-01,1,russo-ukrainian_domestic
1487712,2022-04-01,1,russo-ukrainian_domestic
1566610,2022-04-01,1,russo-ukrainian_domestic
1589149,2022-04-01,1,russo-ukrainian_domestic
1590364,2022-04-01,1,russo-ukrainian_domestic
1603923,2022-04-01,1,russo-ukrainian_domestic
1616862,2022-04-01,1,russo-ukrainian_domestic
