filing_date,component,url,ownerOrg,name,cik
2025-03-27,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1750/000110465925028807/tm259690d1_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Manufacturing,AAR CORP,1750
2025-03-27,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1059142/000095017025046133/ghi-20250326.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Finance,Greystone Housing Impact Investors LP,1059142
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1964979/000095017025044805/alur-ex99_1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Industrial Applications and Services,"ALLURION TECHNOLOGIES, INC.",1964979
2025-03-27,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/864240/000143774925009471/ex_793910.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Industrial Applications and Services,SYPRIS SOLUTIONS INC,864240
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1405528/000117120025000127/i25120_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,"United States 12 Month Oil Fund, LP",1405528
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1405513/000117120025000125/i25118_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,"United States 12 Month Natural Gas Fund, LP",1405513
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1472494/000117120025000122/i25115_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,"United States Brent Oil Fund, LP",1472494
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1396878/000117120025000123/i25116_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,"United States Gasoline Fund, LP",1396878
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1376227/000117120025000124/i25117_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,"United States Natural Gas Fund, LP",1376227
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1327068/000117120025000128/i25121_ex99-1.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,"United States Oil Fund, LP",1327068
2025-03-26,russo-ukrainian_domestic,https://www.sec.gov/Archives/edgar/data/1479247/000117120025000126/i25119_ex99-2.htm#:~:text=Russia-Ukraine%20conflict&text=Russian%20invasion%20of%20Ukraine&text=Russo-Ukrainian%20War&text=Ukraine%20war&text=Ukrainian%20conflict,Crypto Assets,United States Commodity Index Funds Trust,1479247
2025-03-27,israel-hamas_domestic,https://www.sec.gov/Archives/edgar/data/1059142/000095017025046133/ghi-20250326.htm#:~:text=Israel-Hamas%20war&text=Gaza%20conflict&text=Israel-Gaza%20conflict&text=October%207%20attack,Finance,Greystone Housing Impact Investors LP,1059142
2025-03-26,israel-hamas_domestic,https://www.sec.gov/Archives/edgar/data/1964979/000095017025044805/alur-ex99_1.htm#:~:text=Israel-Hamas%20war&text=Gaza%20conflict&text=Israel-Gaza%20conflict&text=October%207%20attack,Industrial Applications and Services,"ALLURION TECHNOLOGIES, INC.",1964979
