accession_number,filename,file_date,file_type,cik
000095013101000011,0002.txt,2001-01-02,EX-99.E,0000807708
000095013101000011,0002.txt,2001-01-02,EX-99.E,0001127379
000095015701000004,0003.txt,2001-01-03,EX-2,0001091440
000095015701000004,0003.txt,2001-01-03,EX-2,0001120093
000091205701000856,a2034812z424b3.txt,2001-01-10,424B3,0000899866
000109724601000011,0001.htm,2001-02-14,8-K,0001100748
000072030901500009,proxy.txt,2001-02-28,EX-99.77CVOTES,0000720309
000102336301000034,0001.txt,2001-02-23,6-K,0001016888
000101287001000454,0008.txt,2001-02-09,EX-10.10,0000878526
000100547701000719,0004.txt,2001-02-07,EX-10.11,0001133872
000095015201001261,l85728an-30d.txt,2001-02-26,N-30D,0000763852
000072030901500007,n30d.txt,2001-02-26,N-30D,0000720309
000072030901500007,manann.pdf,2001-02-26,N-30D,0000720309
000095012301001346,y45410a2s-4a.txt,2001-02-14,S-4/A,0001121783
000109724601000031,0001.txt,2001-03-30,NT 10-K,0001100748
000095013501000920,b38210peex10-5a.txt,2001-03-26,EX-10.5(A),0000031791
000089843001000850,0001.txt,2001-03-05,8-K/A,0001063293
000101287001001341,0004.txt,2001-03-28,EX-10.10,0000878526
000095013401002863,d85474ex4-33.txt,2001-03-30,EX-4.33,0000722571
000089873301000190,0001.txt,2001-03-30,N-30D,0001052118
000089924301000643,0004.txt,2001-03-22,EX-4.4,0001073429
000111186501500011,ksb12312000_4.txt,2001-03-30,10KSB,0001111865
000081847901000004,0006.txt,2001-03-20,EX-4,0000818479
000102826901000016,0001.txt,2001-03-16,10KSB,0001083848
000095013001001123,0001.txt,2001-03-02,485APOS,0000916622
000110074801000001,0001.txt,2001-04-17,10-K,0001100748
000110465901500256,j0171_ex10-23.htm,2001-04-02,EX-10.23,0001109448
000110465901500264,j0172_ex10-23.htm,2001-04-02,EX-10.23,0000825313
000091205701506031,a2043237zex-10_59.txt,2001-04-02,EX-10.59,0000886138
000091664101000509,0006.txt,2001-04-02,EX-10.36,0000913958
000091664101000509,0005.txt,2001-04-02,EX-10.35,0000913958
000091664101000509,0004.txt,2001-04-02,EX-10.34,0000913958
000102045001500028,exhibitg.txt,2001-04-27,EX-99.ADMINOMNI,0000862342
000089973301500028,compurch.txt,2001-04-17,EX-10.17,0001027138
000102140801500402,ds3.txt,2001-04-27,S-3,0000899866
000095014401004493,g67781ex3-1.txt,2001-04-02,EX-3.1,0001113529
000089710101500128,cenex010535_ex10-1a.txt,2001-04-10,EX-10,0000823277
000111186501500020,ksb123100_2.txt,2001-04-16,10KSB,0001049103
000100329701500123,exp.htm,2001-04-30,EX-99.PCODEETH,0000718824
000100329701500122,exp.htm,2001-04-30,EX-99.PCODEETH,0000039436
000095012301501463,y48189ex4-4.txt,2001-04-30,EX-4.4,0000072573
000007085801500085,zimmerman.htm,2001-04-23,SC 13D/A,0001027138
000007085801500085,zimmerman.htm,2001-04-23,SC 13D/A,0000070858
000091205701508903,a2045163z10ksb40.txt,2001-04-16,10KSB40,0000314606
000095013001501066,d485bpos.txt,2001-04-30,485BPOS,0000916622
000110074801500004,marq.txt,2001-05-21,10QSB,0001100748
000035534801500080,attach77c.txt,2001-05-30,EX-99.77CVOTES,0000949512
000035534801500083,stkindx77c.txt,2001-05-30,EX-99.77CVOTES,0000887991
000035534801500055,attach77c.txt,2001-05-22,EX-99.77CVOTES,0000318531
000095017001500236,ex10-1.txt,2001-05-15,EX-10.1,0000906337
000095012401500665,c60898bex99-h_2.txt,2001-05-01,EX-99.(H).2,0000790558
000101345301500014,xex27-21.txt,2001-05-21,EX-27,0001013453
