accession_number,filename,file_date,file_type,cik
000095013101001450,0001.txt,2001-03-06,S-4,0001135361
000095013101500747,d424b3.txt,2001-04-18,424B3,0001135361
000095013101001715,0001.txt,2001-04-12,S-4/A,0001135361
000095012901500566,h84315a2ex99-5.txt,2001-05-11,EX-99.5,0001136994
000095012901500566,h84315a2ex99-5.txt,2001-05-11,EX-99.5,0001057233
000095012901500566,h84315a2ex99-5.txt,2001-05-11,EX-99.5,0001057234
000095012901500566,h84315a2ex99-5.txt,2001-05-11,EX-99.5,0001136995
000095013001505943,ds4.txt,2001-12-07,S-4,0001161976
000102140802000198,d424b3.txt,2002-01-09,424B3,0001161976
000095013002000031,ds4a.txt,2002-01-04,S-4/A,0001161976
000095013602000560,file001.txt,2002-02-28,N-30D,0000355767
000095013602001022,file004.txt,2002-04-09,EX-99.K(12),0000355767
000095014702000518,e-8375.txt,2002-04-08,DEF 14A,0000764622
000089924302001686,dex997.txt,2002-05-24,EX-99.7,0001163674
000089924302001686,dex997.txt,2002-05-24,EX-99.7,0001163675
000089924302001686,dex997.txt,2002-05-24,EX-99.7,0000909413
000089924302001687,dex997.txt,2002-05-24,EX-99.7,0001163673
000089924302001687,dex997.txt,2002-05-24,EX-99.7,0001163675
000089924302001687,dex997.txt,2002-05-24,EX-99.7,0000909413
000091205702020289,a2079526zf-10a.txt,2002-05-14,F-10/A,0001144800
000091205702018970,a2079084zf-10.txt,2002-05-07,F-10,0001144800
000102123102000117,b665401-20f.htm,2002-05-24,20-F,0001160110
000091205702024990,a2082914zsuppl.txt,2002-06-21,SUPPL,0001144800
000092963802000105,kopin99.txt,2002-07-29,EX-99.1,0000771266
000095013502003380,b43787n2exv99wdv3.txt,2002-07-19,EX-99.D-3,0000072741
000095013502003382,b43786e1exv99wdv3.txt,2002-07-19,EX-99.D-3,0001046861
000095013502003383,b43567a2exv99wdv3.txt,2002-07-19,EX-99.D-3,0001004315
000117042303000004,carm6k120212.txt,2003-01-02,6-K,0001085105
000104746903010466,a2105744zex-2.htm,2003-03-27,EX-2,0000795615
000095013003001974,ddef14a.htm,2003-03-11,DEF 14A,0000831001
000095013003001963,ddef14a.htm,2003-03-11,DEF 14A,0000040545
000113717103000109,tac40faif.htm,2003-04-03,EX-1,0001144800
000115697303000634,u46137e20vf.htm,2003-04-29,20-F,0001173218
