accession_number,filename,file_date,file_type,cik,display_name
000095013802000044,s4a5unofficialpdf.pdf,2002-02-14,S-4/A,0001133311,TRAVELZOO INC  (TZOO)  (CIK 0001133311)
000120561304000079,usgaap.pdf,2004-04-29,6-K,0001067428,ANGLOGOLD LTD  (CIK 0001067428)
000120561304000079,usgaap.htm,2004-04-29,6-K,0001067428,ANGLOGOLD LTD  (CIK 0001067428)
000120561304000082,quarterly2.pdf,2004-04-29,6-K,0001067428,ANGLOGOLD LTD  (CIK 0001067428)
000120561304000082,quarterly.htm,2004-04-29,6-K,0001067428,ANGLOGOLD LTD  (CIK 0001067428)
000119312504083110,d10q.htm,2004-05-10,10-Q,0001051824,WORLD MONITOR TRUST SERIES C  (CIK 0001051824)
000119312504088327,d10q.htm,2004-05-14,10-Q,0001005006,PRUDENTIAL SECURITIES STRATEGIC TRUST  (CIK 0001005006)
000119312504088504,d10q.htm,2004-05-14,10-Q,0000926805,DIVERSIFIED FUTURES TRUST I  (CIK 0000926805)
000119312504083291,d10q.htm,2004-05-10,10-Q,0001051823,WORLD MONITOR TRUST SERIES B  (CIK 0001051823)
000119312504083244,d10q.htm,2004-05-10,10-Q,0001051822,WORLD MONITOR TRUST SERIES A  (CIK 0001051822)
000119312504089688,d10q.htm,2004-05-17,10-Q,0000833225,PRUDENTIAL BACHE DIVERSIFIED FUTURES FUND L P  (CIK 0000833225)
000119312504083195,d10q.htm,2004-05-10,10-Q,0001090702,WORLD MONITOR TRUST II SERIES F  (CIK 0001090702)
000119312504083514,d10q.htm,2004-05-10,10-Q,0001090697,WORLD MONITOR TRUST II SERIES D  (CIK 0001090697)
000119312504083268,d10q.htm,2004-05-10,10-Q,0001090701,WORLD MONITOR TRUST II SERIES E  (CIK 0001090701)
000075792804000007,n-csrs.htm,2004-06-04,N-CSRS,0000757928,AMERICAN CENTURY TARGET MATURITIES TRUST  (CIK 0000757928)
000086609504000007,jeqncsr043004.txt,2004-06-28,N-CSR,0000866095,JAPAN EQUITY FUND INC  (JEQ)  (CIK 0000866095)
000090840604000008,n-csr.htm,2004-06-04,N-CSR,0000908406,AMERICAN CENTURY INVESTMENT TRUST  (CIK 0000908406)
000111183004000177,ncsr-0304.txt,2004-06-04,N-CSR,0000842512,WILLIAMSBURG INVESTMENT TRUST  (CIK 0000842512)
000095012304008021,y96423rsnvcsrs.txt,2004-06-30,N-CSRS,0000802209,ECLIPSE FUNDS  (CIK 0000802209)
000095012304008022,y96423nvcsrs.txt,2004-06-30,N-CSRS,0000868307,ECLIPSE FUNDS INC  (CIK 0000868307)
000095012304008049,y96394nvcsrs.txt,2004-06-30,N-CSRS,0000787441,MAINSTAY FUNDS  (CIK 0000787441)
000111183004000220,x485b-0704.txt,2004-08-02,485BPOS,0000842512,WILLIAMSBURG INVESTMENT TRUST  (CIK 0000842512)
000095012304010758,y98266rsnvcsrs.txt,2004-09-09,N-CSRS,0000887340,MAINSTAY VP SERIES FUND INC  (CIK 0000887340)
000090514804004743,efc4-1945_ncsr.txt,2004-11-03,N-CSR,0000859796,JAPAN SMALLER CAPITALIZATION FUND INC  (JOF)  (CIK 0000859796)
000095012305000173,e01874nvcsr.txt,2005-01-10,N-CSR,0000868307,ECLIPSE FUNDS INC  (CIK 0000868307)
000095012305000172,e01874anvcsr.txt,2005-01-10,N-CSR,0000802209,ECLIPSE FUNDS  (CIK 0000802209)
000095012305000175,y03413anvcsr.txt,2005-01-10,N-CSR,0000787441,MAINSTAY FUNDS  (CIK 0000787441)
000120919105018162,c93814_02met.xml,2005-03-31,4,0001172931,THOMAS MICHAEL E  (CIK 0001172931)
000120919105018162,c93814_02met.xml,2005-03-31,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000142,primary_doc.xml,2005-05-05,4,0001197085,MULLETT  THEODORE L  (CIK 0001197085)
000092627405000142,primary_doc.xml,2005-05-05,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000147,primary_doc.xml,2005-05-06,4/A,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000147,primary_doc.xml,2005-05-06,4/A,0001193043,KUNZ LARRY P  (CIK 0001193043)
000092627405000148,primary_doc.xml,2005-05-06,4/A,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000148,primary_doc.xml,2005-05-06,4/A,0001298677,Butler Ronald H  (CIK 0001298677)
000092627405000143,primary_doc.xml,2005-05-05,4,0001193043,KUNZ LARRY P  (CIK 0001193043)
000092627405000143,primary_doc.xml,2005-05-05,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000145,primary_doc.xml,2005-05-05,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000145,primary_doc.xml,2005-05-05,4,0000903198,KOLB DAVID L  (CIK 0000903198)
000092627405000144,primary_doc.xml,2005-05-05,4,0001298677,Butler Ronald H  (CIK 0001298677)
000092627405000144,primary_doc.xml,2005-05-05,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000149,primary_doc.xml,2005-05-06,4/A,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000149,primary_doc.xml,2005-05-06,4/A,0000903198,KOLB DAVID L  (CIK 0000903198)
000092627405000146,primary_doc.xml,2005-05-06,4/A,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000146,primary_doc.xml,2005-05-06,4/A,0001197085,MULLETT  THEODORE L  (CIK 0001197085)
000092627405000186,primary_doc.xml,2005-07-06,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000186,primary_doc.xml,2005-07-06,4,0001172931,THOMAS MICHAEL E  (CIK 0001172931)
000120919105036348,c96624_02met.xml,2005-07-08,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919105036348,c96624_02met.xml,2005-07-08,4,0001172931,THOMAS MICHAEL E  (CIK 0001172931)
000092627405000185,primary_doc.xml,2005-07-05,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000092627405000185,primary_doc.xml,2005-07-05,4,0001172931,THOMAS MICHAEL E  (CIK 0001172931)
000120919105046975,c98431_01wgw.xml,2005-09-13,4,0001188437,WINTRUB WARREN  (CIK 0001188437)
000120919105046975,c98431_01wgw.xml,2005-09-13,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
