accession_number,filename,file_date,file_type,cik
000119312519174898,d764072d425.htm,2019-06-17,425,0001047122
000091957420005486,d8592099_pos-am.htm,2020-08-21,POS AM,0001720161
000091957420005902,d8614655_pos-am.htm,2020-09-17,POS AM,0001720161
000091957420004285,d8562275_424b1.htm,2020-06-25,424B1,0001720161
000091957420003983,d8531288_f-1.htm,2020-06-05,F-1,0001720161
000091957420004251,d8559410a_f1-a.htm,2020-06-23,F-1/A,0001720161
000091957420004233,d8559410_f1-a.htm,2020-06-22,F-1/A,0001720161
000147793220005055,ryce_20f.htm,2020-08-19,20-F,0001552448
000160448120000004,a20f2019.htm,2020-04-29,20-F,0001604481
000091957421002141,d8808897_f-1.htm,2021-03-01,F-1,0001640043
000114036121014948,brhc10022989_20f.htm,2021-04-29,20-F,0001000177
000091957421003149,d8847036_20-f.htm,2021-04-29,20-F,0001578453
000160448121000005,eurn-20201231.htm,2021-04-15,20-F,0001604481
000121390021039928,filename1.htm,2021-08-03,DRS,0001871983
000121390021052722,ff42021_anghami.htm,2021-10-14,F-4,0001871983
000121390021049194,filename1.htm,2021-09-22,DRS/A,0001871983
000121390021055237,prem14a_vistasmediaacq.htm,2021-10-29,PREM14A,0001810491
000121390021055105,ff42021a1_anghamiinc.htm,2021-10-28,F-4/A,0001871983
000121390021064596,ff42021a4_anghami.htm,2021-12-10,F-4/A,0001871983
000121390021066051,f424b31221_anghami.htm,2021-12-17,424B3,0001871983
000121390021061407,ff42021a2_anghami.htm,2021-11-23,F-4/A,0001871983
000121390021066110,defm14a_vistasmediaacq.htm,2021-12-20,DEFM14A,0001810491
000121390021064698,prer14a_vistasmediaacq.htm,2021-12-10,PRER14A,0001810491
000121390021061586,prer14a_vistasmediaacq.htm,2021-11-23,PRER14A,0001810491
000121390022026509,f20f2021_anghamiinc.htm,2022-05-13,20-F,0001871983
000121390022032519,f424b30622_anghami.htm,2022-06-13,424B3,0001871983
000121390022027851,ff12022a2_anghami.htm,2022-05-18,F-1/A,0001871983
000121390022031510,ff12022a3_anghami.htm,2022-06-07,F-1/A,0001871983
000121390022010378,ff12022a1_anghami.htm,2022-03-02,F-1/A,0001871983
000121390022007618,ff12022_anghami.htm,2022-02-14,F-1,0001871983
000121390022062424,filename1.htm,2022-10-06,DRS,0001948292
000119312522213276,d570153dex991.htm,2022-08-05,EX-99.1,0001370431
000110465923120104,tm2331098d1_6k.htm,2023-11-21,6-K,0001927719
000110465923120106,tm2331098d2_424b3.htm,2023-11-21,424B3,0001927719
000121390023079572,ff42023_deltacorp.htm,2023-09-26,F-4,0001948292
000121390023025377,filename1.htm,2023-03-31,DRS/A,0001948292
000091957424002806,d11047344_ex99-2.htm,2024-05-09,EX-99.2,0001655891
000165589124000032,q22024announcementvf.pdf,2024-08-15,EX-99.1,0001655891
000149315224019910,form10-q.htm,2024-05-15,10-Q,0001211805
000149315224021989,form6-k.htm,2024-05-30,6-K,0001595353
000149315224030265,form10-q.htm,2024-08-05,10-Q,0001433607
000177225324000025,a6kcoverflexconstellationt.htm,2024-11-29,6-K,0001772253
000149315224045931,form10-q.htm,2024-11-14,10-Q,0001211805
000149315224031274,form10-q.htm,2024-08-12,10-Q,0001211805
000091957424003358,d11062298_ex99-1.htm,2024-05-29,EX-99.1,0001655891
000091957424003533,dd11068636_ex99-1.htm,2024-06-07,EX-99.1,0001655891
000119312524056964,d803481dex991.htm,2024-03-04,EX-99.1,0001768267
000091957424004831,d11452158_ex99-1.htm,2024-08-23,EX-99.1,0001655891
000149315224018889,form10-q.htm,2024-05-13,10-Q,0001433607
000114036124021068,ny20027239x2_defa14a.htm,2024-04-22,DEFA14A,0001326200
000091957424002182,d11012686_ex99-1.htm,2024-03-26,EX-99.1,0001655891
000117891324002662,exhibit_99-2.htm,2024-08-15,EX-99.2,0001801834
000192844624000014,grnt-20240404xexx991.htm,2024-04-04,EX-99.1,0001928446
000091957424002434,d11025685_ex99-3.htm,2024-04-09,EX-99.3,0001655891
000119312524153066,d845167dex991.htm,2024-06-03,EX-99.1,0001655891
000091957424002434,d11025685_ex99-2.htm,2024-04-09,EX-99.2,0001655891
000091957424006213,d11522230_ex99-1.htm,2024-11-07,EX-99.1,0001655891
