accession_number,filename,file_date,file_type,cik
000101287001000060,0001.txt,2001-01-09,424B4,0000819480
000101287001000025,0001.txt,2001-01-04,S-3,0000819480
000095011601000662,0001.txt,2001-04-16,10KSB,0000832810
000101270901500697,n30d-901.txt,2001-09-06,N-30D,0000352669
000095011602000758,ten-ksb.txt,2002-04-15,10KSB,0000832810
000100127702000288,ascform210k123102.txt,2002-06-03,10KSB,0000857502
000100127702000352,form10ksba.txt,2002-07-23,10KSB/A,0000857502
000088237703000203,d67041.txt,2003-01-30,F-4,0001212491
000088237703000231,dsanitec_pro.txt,2003-02-10,424B1,0001212491
000095013003002300,ddef14a.htm,2003-03-24,DEF 14A,0000077476
000116923203002989,d55237_10ksb.txt,2003-04-15,10KSB,0000832810
000088237703001045,d140466.txt,2003-06-24,20-F,0001212491
000095010303002044,oct1603_6k.htm,2003-10-17,6-K,0001123661
000123258403000005,doc1.txt,2003-12-30,SB-2,0000832810
000115697304000115,u47077exv99w1.htm,2004-02-04,EX-99.1,0001035497
000095014404001778,g86923e485apos.txt,2004-02-27,485APOS,0000004123
000117891304000547,zk40584.txt,2004-04-30,10KSB,0000832810
000088237704000883,sanitec20f.txt,2004-04-28,20-F,0001212491
000095014404004506,g87378be485bpos.txt,2004-04-28,485BPOS,0000832359
000117891304000566,zk40692.txt,2004-05-05,10KSB/A,0000832810
000095014404005027,g88494e497.txt,2004-05-07,497,0000832359
000095014404005032,g88503e497.txt,2004-05-07,497,0000832359
000095014404005033,g88504e497.txt,2004-05-07,497,0000832359
000095014404005025,g88492e497.txt,2004-05-07,497,0000832359
000095014404005026,g88493e497.txt,2004-05-07,497,0000832359
000095014404005030,g88499e497.txt,2004-05-07,497,0000832359
000095014404005028,g88495e497.txt,2004-05-07,497,0000832359
000095014404005029,g88498e497.txt,2004-05-07,497,0000832359
000095014404005031,g88502e497.txt,2004-05-07,497,0000832359
000095014404004744,g86923be485bpos.txt,2004-05-03,485BPOS,0000004123
000107261304001856,ex99-1_12997.htm,2004-10-13,EX-99.1,0000052466
000110465904037514,a04-13860_16k.htm,2004-11-26,6-K,0000859994
000119312504221694,dn1a.htm,2004-12-30,N-1A,0001312580
000119312504221731,dn14ae.htm,2004-12-30,N-14AE,0001312580
000089843204001052,a485apos.txt,2004-12-28,485APOS,0000004123
000119312505006746,dn14ae.htm,2005-01-14,N-14AE,0001312580
000119312505032953,d497.htm,2005-02-18,497,0001312580
000119312505037343,d485apos.txt,2005-02-25,485APOS,0000004123
000114420405008728,v014867_10sb12ga.txt,2005-03-24,10SB12G/A,0001189528
000119312505042856,d497.htm,2005-03-04,497,0001312580
000107276105000009,sir2_sctoi042005exh4sunwood.txt,2005-04-20,EX-99,0000797331
000107276105000009,sir2_sctoi042005exh4sunwood.txt,2005-04-20,EX-99,0001072761
000114420405013198,v017055_10sb12g-a.txt,2005-04-28,10SB12G/A,0001189528
000112528205003058,b4407188_10q.htm,2005-06-09,10-Q,0000075829
000110465905031089,a05-11689_16k.htm,2005-07-05,6-K,0000859994
000114420405021214,v021306_8k.txt,2005-07-11,8-K,0001124394
000114420405021065,v021248_10sb12g.txt,2005-07-08,10SB12G/A,0001189528
000117891305001211,zk51779.txt,2005-08-23,10KSB/A,0000832810
000114420405023452,v022637.txt,2005-08-02,10SB12G/A,0001189528
000114420405030326,v026479_424b2.htm,2005-09-29,424B2,0001124394
000114420405029676,v026125_sb2.htm,2005-09-23,SB-2,0001124394
000107276105000029,sir2_scto101305exh4sunwood.txt,2005-10-13,EX-99,0000797331
000107276105000029,sir2_scto101305exh4sunwood.txt,2005-10-13,EX-99,0001072761
000112528205005303,b409199_10k.htm,2005-10-14,10-K,0000075829
000114420405031922,v027222_sb2.txt,2005-10-18,SB-2,0001189528
000114420405038782,v030804.txt,2005-12-05,SB-2/A,0001189528
000095013606000145,file001.htm,2006-01-11,497,0001137877
000104746906002588,a2167326z10-k.htm,2006-02-28,10-K,0000021344
000126606806000046,filename11.htm,2006-03-27,CORRESP,0001056757
000104746906003165,a2167354zdef14a.htm,2006-03-10,DEF 14A,0000021344
000117891306000537,zk62356.txt,2006-03-30,10KSB,0000832810
000114420406012735,v038910_10ksb.htm,2006-03-31,10KSB,0001124394
000102123106000208,b824417ex14-1.htm,2006-03-31,EX-14,0000049906
000114420406012886,v039312-10ksb.txt,2006-03-31,10KSB,0001189528
000104746906003885,a2168024z485bpos.txt,2006-03-23,485BPOS,0001137877
000102123106000142,b823031ex99-2.htm,2006-03-14,EX-99,0000049906
000095013606001553,file002.htm,2006-03-02,EX-99.C,0000932419
000119312506078537,dncsrs.txt,2006-04-12,N-CSRS,0000877232
000133270206000006,newk.htm,2006-04-26,10KSB/A,0001332702
000133270206000004,revisedk.htm,2006-04-17,10-K,0001332702
000117891306000699,zk62427.txt,2006-04-24,10KSB/A,0000832810
000114420406017410,v041591_pos-am.htm,2006-04-28,POS AM,0001124394
000119312506093182,d485bpos.txt,2006-04-28,485BPOS,0000315774
000091412106001977,in728355-10ksba2.txt,2006-05-31,10KSB/A,0001332702
000117891306000755,zk62457.txt,2006-05-02,10KSB,0000832810
000114420406019896,v042831_sb-2.htm,2006-05-12,SB-2,0001124394
000117891306000832,zk62488.txt,2006-05-11,SB-2,0000832810
000117891306001213,zk62679.txt,2006-06-29,10QSB,0000832810
000114420406025658,v045954_424b2.htm,2006-06-22,424B4,0001124394
000114420406026465,v046369_sb2a.htm,2006-06-28,SB-2/A,0001124394
000114420406023610,v044710_posam.htm,2006-06-05,POS AM,0001124394
000114420406025343,v045690_posam.htm,2006-06-19,POS AM,0001124394
000117891306001354,zk62733.htm,2006-07-24,10QSB,0000832810
000117891306001357,zk62734.htm,2006-07-24,10QSB,0000832810
000117891306001360,zk62735.htm,2006-07-24,10QSB,0000832810
000117891306001390,zk62744.txt,2006-07-26,10KSB/A,0000832810
000114420406028991,v047851_424b2.htm,2006-07-19,424B2,0001124394
000114420406028509,v047489_sb2a.htm,2006-07-14,SB-2/A,0001124394
000117891306001392,zk62743.txt,2006-07-26,SB-2/A,0000832810
000117891306001506,zk62786.htm,2006-08-14,10QSB,0000832810
000089874506000116,all-pvc2006.txt,2006-08-22,N-PX,0000012601
000089874506000115,all-pif2006.txt,2006-08-22,N-PX,0000898745
000126606806000141,filename8.htm,2006-09-18,CORRESP,0001056757
000117891306001664,zk62880.htm,2006-09-07,10QSB/A,0000832810
000117891306001666,zk62881.htm,2006-09-07,10QSB/A,0000832810
000115722806000045,f10ksba3.htm,2006-09-15,10KSB/A,0001332702
000117891306001662,zk62882.htm,2006-09-07,10KSB/A,0000832810
000127512506000419,winslowsai.txt,2006-09-29,497,0000315774
000117891306001763,zk62936.htm,2006-09-28,SB-2/A,0000832810
000117891306001795,zk62961.htm,2006-09-29,SB-2/A,0000832810
000117891306001668,zk62883.htm,2006-09-07,SB-2/A,0000832810
000112528206006276,b415205_10k.htm,2006-10-13,10-K,0000075829
000117891306001822,zk62971.htm,2006-10-05,424B3,0000832810
000117891306002082,zk63077.htm,2006-11-13,10QSB,0000832810
000115722806000080,f10ksba5.htm,2006-11-22,10KSB/A,0001332702
000115722806000065,f10ksba4.htm,2006-11-03,10KSB/A,0001332702
000114420406053603,v060663_424b3.htm,2006-12-20,424B3,0001124394
000114420406053601,v060661_424b3.htm,2006-12-20,424B3,0001124394
000095015206010000,l23500anvcsrs.htm,2006-12-08,N-CSRS,0000882748
000114420406051448,v059620_posam.htm,2006-12-06,POS AM,0001124394
000114420406051450,v059626_posam.htm,2006-12-06,POS AM,0001124394
000104746907001328,a2176230z10-k.htm,2007-02-21,10-K,0000021344
000119312507035201,d10k.htm,2007-02-20,10-K,0000077476
000095013607001543,file2.htm,2007-03-09,EX-99.1,0001298339
000095013607001544,file2.htm,2007-03-09,EX-99.1,0001290090
000095013607001545,file2.htm,2007-03-09,EX-99.1,0001298341
000110465907017608,a07-2407_1def14a.htm,2007-03-09,DEF 14A,0000021344
000095012307003552,y31707e10vq.htm,2007-03-09,10-Q,0000075829
000114420407012760,v068303_10ksb.htm,2007-03-15,10KSB,0001124394
000115697307000452,u52192ex99-2.htm,2007-03-21,EX-99,0000049906
000095012307004199,y31467e20vf.htm,2007-03-21,20-F,0001114446
000115722807000021,forms1ver6.htm,2007-04-30,S-1,0001332702
000114420407019137,v070298_10ksb.htm,2007-04-17,10KSB,0001138867
000126493107000174,form10ksb.htm,2007-04-13,10KSB,0001029802
000115722807000018,form10ksb2007.htm,2007-04-16,10KSB,0001332702
000119312507096322,d485bpos.txt,2007-04-30,485BPOS,0000315774
000114420407025751,v074781_10qsb.htm,2007-05-15,10QSB,0001138867
000115722807000032,ipwg200610k.htm,2007-05-21,10-K/A,0001332702
000115722807000036,f10ka2.htm,2007-05-24,10-K/A,0001332702
000115722807000047,prospectus.htm,2007-06-18,424B3,0001332702
000115722807000042,s1afinal.htm,2007-06-08,S-1/A,0001332702
000095012307008475,y35910e10vq.htm,2007-06-08,10-Q,0000075829
000114420407042514,v084314_10qsb.htm,2007-08-13,10QSB,0001138867
000091047207000321,coverandsignaturepage.htm,2007-08-08,N-PX,0001123460
000000971307000051,pvc-all.txt,2007-08-31,N-PX,0000012601
000000971307000050,pif-all.txt,2007-08-31,N-PX,0000898745
000035302007000017,ex991presentation.htm,2007-09-18,EX-99.1,0000353020
000095012307013122,y40107ke6vk.htm,2007-09-28,6-K,0001171264
000095012307013122,y40107ke6vk.htm,2007-09-28,6-K,0000811809
000120561307000117,goldfields_ar.htm,2007-09-27,6-K,0001172724
000000971307000054,pifall-revised.txt,2007-09-10,N-PX/A,0000898745
000104746907008056,a2179356zex-99_1.htm,2007-10-29,EX-99.1,0000021344
000114420407060836,v094135_10qsb.htm,2007-11-14,10QSB,0001138867
000114036107021811,formsb2.htm,2007-11-14,SB-2,0001377888
000110465907082518,a07-28733_3n2.htm,2007-11-13,N-2,0001417802
000114036107025072,formsb2a.htm,2007-12-21,SB-2/A,0001377888
000114036108002383,form424b3.htm,2008-01-31,424B3,0001377888
000114036108001986,formsb2a.htm,2008-01-25,SB-2/A,0001377888
000114036108001606,formsb2a.htm,2008-01-18,SB-2/A,0001377888
000089418908000365,pmpwinslow_n14.htm,2008-01-30,N-14AE,0000811030
000110465908008618,a07-28733_3n2a.htm,2008-02-08,N-2/A,0001417802
000119312508041768,d10k.htm,2008-02-28,10-K,0000021344
000119312508032441,d10k.htm,2008-02-15,10-K,0000077476
000095013408003237,d52996ppre14a.htm,2008-02-22,PRE 14A,0000055785
000114420408018824,v108566_10ksb.htm,2008-03-31,10KSB,0001138867
000114036108008064,form10-ksb.htm,2008-03-31,10KSB,0001377888
000119312508048629,dncsr.txt,2008-03-06,N-CSR,0000315774
000095013408004034,d52996ddef14a.htm,2008-03-04,DEF 14A,0000055785
000104746908002969,a2183679zpre14a.htm,2008-03-17,PRE 14A,0001041061
000095012308003523,y52285e10vk.htm,2008-03-28,10-K,0000075829
000095015208001778,l30392ae20vf.htm,2008-03-10,20-F,0001257803
000126493108000150,form10ksb.htm,2008-04-14,10KSB,0001029802
000070121908000004,ccrrevisedsai0408.htm,2008-04-30,497,0000701219
000133270208000006,ipwg10k12312007.htm,2008-04-14,10-K,0001332702
000133270208000004,ipwg10k12312007.htm,2008-04-14,10-Q,0001332702
000070103908000006,tcfrevisedsais0408.htm,2008-04-30,497,0000701039
000101968708001601,globalbev_10k-123107.txt,2008-04-11,10-K,0001084133
000020535508000004,fvrfpea48filed0408.htm,2008-04-29,485BPOS,0000205355
000088411008000004,cwvfrevisedsai0408.htm,2008-04-30,497,0000884110
000112162408000004,cifrevisedsai0408.htm,2008-04-30,497,0001121624
000035668208000005,csifandfundoffunds0408.htm,2008-04-30,497,0000356682
000093041308002228,c52434_def14a.htm,2008-04-04,DEF 14A,0000005272
000110544608000004,csisrevisedsai0408.htm,2008-04-30,497,0001105446
000031967608000004,ctfrpea57filed0408.htm,2008-04-29,485BPOS,0000319676
000088267108000004,cmfpea28filed0408.htm,2008-04-29,485BPOS,0000882671
000104746908004532,a2184312zdef14a.htm,2008-04-11,DEF 14A,0001041061
000070895008000003,cvspea54filed0408.htm,2008-04-29,485BPOS,0000708950
000095015308000966,p75486sv1.htm,2008-05-13,S-1,0001434728
000114420408028874,v113700_10-q.htm,2008-05-14,10-Q,0001138867
000095015208003313,l30789ae485bpos.htm,2008-05-01,485BPOS,0000912900
000143839008000002,csfn1afiled063008.htm,2008-06-30,N-1A,0001438390
000110465908042707,a08-17433_120f.htm,2008-06-27,20-F,0000925261
000126493108000280,form10-ka.htm,2008-07-11,10-K/A,0001029802
000126493108000297,form10-ka.htm,2008-07-17,10-K/A,0001029802
000126493108000293,form10-ka.htm,2008-07-17,10-K/A,0001029802
000143839008000003,csfn1afiled0708.htm,2008-07-21,N-1A/A,0001438390
000095015308001498,p75486a1sv1za.htm,2008-08-15,S-1/A,0001434728
000114420408043609,v121656_10q.htm,2008-08-04,10-Q,0001138867
000126493108000327,form10-ka.htm,2008-08-08,10-K/A,0001029802
000133270208000009,f10ka.htm,2008-08-29,10-K/A,0001332702
000095015208006642,l32410ae485apos.txt,2008-08-19,485APOS,0000882748
000115722808000047,f10ka2.htm,2008-09-10,10-K/A,0001332702
000095012308011511,y71495e10vk.htm,2008-09-29,10-K,0000075829
000112162408000016,cif485afiled091508.htm,2008-09-15,485APOS,0001121624
000112162408000017,cif485bfiled093008.htm,2008-09-30,485BPOS,0001121624
000110465908065369,a08-26694_1ex99d1.htm,2008-10-23,EX-99.1,0000029915
000095015208008233,l34076ce497.txt,2008-10-27,497,0000882748
000112162408000019,cif497cfiled100608.htm,2008-10-06,497,0001121624
000095012308013090,y71867be424b2.htm,2008-10-21,424B2,0000077476
000095012308013090,y71867be424b2.htm,2008-10-21,424B2,0001087835
000095012308013178,x71867e424b2.htm,2008-10-22,424B2,0000077476
000095012308013178,x71867e424b2.htm,2008-10-22,424B2,0001087835
000070103908000030,tcf485afiled100908.htm,2008-10-09,485APOS,0000701039
000143839008000013,csfn1aafiled103008.htm,2008-10-31,N-1A/A,0001438390
000088411008000018,cwv485bfiled103008.htm,2008-10-31,485BPOS,0000884110
000143839008000011,csfn1aafiled101408.htm,2008-10-14,N-1A/A,0001438390
000035668208000037,csif485bfiled103008.htm,2008-10-31,485BPOS,0000356682
000112162408000021,cif485bfiled103008.htm,2008-10-31,485BPOS,0001121624
000081180908000093,agmspeeches.htm,2008-11-28,6-K,0000811809
000114420408064020,v131846_10q.htm,2008-11-14,10-Q,0001138867
000035668208000038,csif497csaifiled110308.htm,2008-11-03,497,0000356682
000074377308000050,summitapex497e121208.htm,2008-12-12,497,0000743773
000074377308000052,summitpinnacle497e121208.htm,2008-12-12,497,0000743773
000070103908000037,filename1.htm,2008-12-18,CORRESP,0000701039
000143839008000021,csf497efiled120808.htm,2008-12-09,497,0001438390
000119312508248890,dex2.htm,2008-12-05,EX-2,0001000275
000070121909000001,ccr485bfiled013009.htm,2009-01-30,485BPOS,0000701219
000070103909000003,tcf497cfiled010509.htm,2009-01-05,497,0000701039
000143839009000001,csf485b013009.htm,2009-01-30,485BPOS,0001438390
000074377309000003,smf485bfiled013009.htm,2009-01-30,485BPOS,0000743773
000070103909000004,tcf485b013009.htm,2009-01-30,485BPOS,0000701039
000035668209000002,csif485b013009.htm,2009-01-30,485BPOS,0000356682
000088411009000002,cwvf485b013009.htm,2009-01-30,485BPOS,0000884110
000110544609000001,csis485b013009.htm,2009-01-30,485BPOS,0001105446
000112162409000002,cif485b013009.htm,2009-01-30,485BPOS,0001121624
000115752309001635,a5905022ex99_1.htm,2009-02-26,EX-99.1,0001421517
000095010309000420,dp12692_6k.htm,2009-02-27,6-K,0001123661
000119312509026683,dex991.htm,2009-02-12,EX-99.1,0001281223
000119312509026683,dex991.htm,2009-02-12,EX-99.1,0001281226
000126493109000052,form10ka3.htm,2009-02-24,10-K/A,0001029802
000070121909000002,ccr497cfiled0209.htm,2009-02-06,497,0000701219
000104746909001875,a2190274z10-k.htm,2009-02-26,10-K,0000021344
000143839009000002,csf497c0209.htm,2009-02-06,497,0001438390
000074377309000004,smf497cfiled0209.htm,2009-02-06,497,0000743773
000070103909000005,tcf497cfiled0209.htm,2009-02-06,497,0000701039
000035668209000003,csif497cfiled0209.htm,2009-02-06,497,0000356682
000088411009000003,cwvf497cfiled0209.htm,2009-02-06,497,0000884110
000110544609000002,csis497cfiled0209.htm,2009-02-06,497,0001105446
000112162409000003,cif497cfiled0209.htm,2009-02-06,497,0001121624
000119312509029347,d485apos.htm,2009-02-13,485APOS,0001027263
000110465909018510,a09-3414_2ex99d2.htm,2009-03-18,EX-99.2,0000795615
000114036109007623,form10-k.htm,2009-03-20,10-K,0001377888
000111650209000455,ecos10k.htm,2009-03-25,10-K,0001071760
000110465909018510,a09-3414_240f.htm,2009-03-18,40-F,0000795615
000110465909018511,a09-3414_3ex99d5.htm,2009-03-18,EX-99.5,0000795615
000083012209000002,form10-k.htm,2009-03-02,10-K,0000830122
000115697309000132,u06018e6vk.htm,2009-03-06,6-K,0000110390
000115697309000131,u06014e6vk.htm,2009-03-06,6-K,0000217410
000095012309004220,u06012e20vf.htm,2009-03-06,20-F,0000217410
000095012309004213,u06017e20vf.htm,2009-03-06,20-F,0000110390
000095015209002796,l35235ae20vf.htm,2009-03-18,20-F,0001257803
000115752309002934,a5948123ex99_1.htm,2009-04-24,EX-99.1,0000216228
000119312509072559,ds1.htm,2009-04-03,S-1,0001460801
000144624709000012,form10-k.htm,2009-04-14,10-K,0001029802
000020535509000006,fvrf485bfiled042909.htm,2009-04-29,485BPOS,0000205355
000031967609000019,ctfr485bfiled042909.htm,2009-04-29,485BPOS,0000319676
000088267109000012,cmf485bfiled042909.htm,2009-04-29,485BPOS,0000882671
000104746909003956,a2191762zdef14a.htm,2009-04-08,DEF 14A,0001041061
000070103909000007,tcf485afiled040109.htm,2009-04-01,485APOS,0000701039
000070895009000009,cvs485bfiled043009.htm,2009-04-30,485BPOS,0000708950
000074377309000018,smf485bfiled043009.htm,2009-04-30,485BPOS,0000743773
000119312509088010,d485bpos.htm,2009-04-27,485BPOS,0000790166
000119312509091760,d485bpos.htm,2009-04-29,485BPOS,0001027263
000115752309003616,a5959783ex99_1.htm,2009-05-07,EX-99.1,0001421517
000104746909005086,a2192748z10-q.htm,2009-05-06,10-Q,0000024545
000114420409023552,v147251_485bpos.htm,2009-05-01,485BPOS,0000912900
000119312509126819,filename31.htm,2009-06-08,CORRESP,0001460801
000106299309002192,exhibit99-1.htm,2009-06-22,EX-99.1,0001069489
000119312509126819,ds1a.htm,2009-06-08,S-1/A,0001460801
000110465909040963,a09-17126_120f.htm,2009-06-30,20-F,0000925261
000095012309017107,h03310be424b4.htm,2009-06-25,424B4,0001465317
000095012309010158,h03310fv1.htm,2009-06-01,F-1,0001465317
000119312509160540,ds1a.htm,2009-07-31,S-1/A,0001460801
000119312509146473,ds1a.htm,2009-07-09,S-1/A,0001460801
000070103909000017,tcf497efiled070109.htm,2009-07-01,497,0000701039
000070895009000011,cvs497efiled070109.htm,2009-07-01,497,0000708950
000095012309026936,l36668e485bpos.txt,2009-07-29,485BPOS,0000882748
000035668209000030,csif-csis497efiled070709.htm,2009-07-07,497,0000356682
000035668209000023,csif497efiled070109.htm,2009-07-01,497,0000356682
000110544609000006,csif497efiled070109.htm,2009-07-01,497,0001105446
000110544609000007,csif-csis497efiled070709.htm,2009-07-07,497,0001105446
000114420409039800,v156086_485apos.htm,2009-07-31,485APOS,0000912900
000115752309005760,a6024539ex99_1.htm,2009-08-06,EX-99.1,0001421517
000095010309002117,dp14623_6k.htm,2009-08-26,6-K,0001123661
000119312509165105,ds1a.htm,2009-08-05,S-1/A,0001460801
000119312509167586,ds1a.htm,2009-08-07,S-1/A,0001460801
000104746909007134,a2193624z10-q.htm,2009-08-04,10-Q,0000024545
000119312509185928,d424b3.htm,2009-09-02,424B3,0001460801
000074377309000036,tcfsmf497esaifiled091809.htm,2009-09-18,497,0000743773
000070103909000036,tcfsmf497esaifiled091809v2.htm,2009-09-18,497,0000701039
000074377309000037,tcfsmf497esaifiled091809v2.htm,2009-09-18,497,0000743773
000070103909000033,tcfsmf497esaifiled091809.htm,2009-09-18,497,0000701039
