accession_number,filename,file_date,file_type,cik
000101323701000006,0001.txt,2001-01-12,10-Q,0001013237
000101905601000037,0001.txt,2001-01-17,10KSB/A,0001075907
000101905601000005,0001.txt,2001-01-03,SB-2/A,0001075907
000091412101000004,0001.txt,2001-01-02,424B3,0001011663
000070335101000002,0001.txt,2001-02-06,10-Q,0000703351
000101702201000009,0001.txt,2001-02-16,424B3,0001017022
000101905601000093,0001.txt,2001-02-14,424B3,0001075907
000101905601000054,0001.txt,2001-02-06,SB-2/A,0001075907
000095013401001635,d80098a3s-4a.txt,2001-02-21,S-4/A,0001102542
000090342301000164,0003.txt,2001-03-30,EX-99.1.B,0000073902
000000456801000003,0001.txt,2001-03-07,N-30D,0000039473
000091205701007373,a2040767zsb-2.txt,2001-03-08,SB-2,0000946822
000101905601500012,file001.txt,2001-03-28,10KSB,0001075907
000095013501500414,b38604rsdef14a.htm,2001-03-28,DEF 14A,0000932064
000091664101000313,0001.txt,2001-03-12,424B3,0001017022
000091664101000314,0001.txt,2001-03-12,POS AM,0001017022
000103570401000215,d80098a4s-4a.txt,2001-03-19,S-4/A,0001102542
000103570401000238,d80098a5s-4a.txt,2001-03-26,S-4/A,0001102542
000095014701500673,e-6593.txt,2001-04-02,10-K,0001077050
000091205701509661,a2045869zdef14a.txt,2001-04-20,DEF 14A,0000896841
000101323701000036,0001.txt,2001-04-12,10-Q,0001013237
000091205701508934,a2044358zex-99_17g.txt,2001-04-16,EX-99.17(G),0000894088
000091205701508944,a2044359zex-99_17g.txt,2001-04-16,EX-99.17(G),0000894088
000091205701508421,a2044805zex-99_17h.txt,2001-04-12,EX-99.17(H),0001037897
000091205701508827,a2044805zex-99_17h.txt,2001-04-16,EX-99.17(H),0000894088
000101702201000021,0001.txt,2001-04-02,424B3,0001017022
000091664101000515,0001.txt,2001-04-02,POS AM,0001017022
000070335101500003,thirdquarter_qa.txt,2001-05-10,10-Q,0000703351
000095014701500919,e-6850.txt,2001-05-15,10-Q,0001077050
000089907801500155,form10-k_2001.txt,2001-06-29,10KSB,0000946822
000089907801500131,sb2-amd_no1.txt,2001-06-14,SB-2/A,0000946822
000109230601500112,form10k033101.txt,2001-06-29,10-K,0000742685
000101702201500036,pe6.txt,2001-06-11,POS AM,0001017022
000101323701500018,q3f2001.htm,2001-07-12,10-Q,0001013237
000095015201503366,l89613ae10-k.txt,2001-07-25,10-K,0000033769
000089907801500185,sb2a_7182001.txt,2001-07-18,SB-2/A,0000946822
000091205701523257,a2052764zn-30d.txt,2001-07-10,N-30D,0001023771
000101905601500279,formsb2.txt,2001-07-24,SB-2,0001075907
000091205701523251,a2052743zn-30d.txt,2001-07-10,N-30D,0000814078
000089322001500579,w51466e10ksb.txt,2001-08-14,10KSB,0001101934
000089907801500236,mar10ksb-a.txt,2001-08-10,10KSB/A,0000946822
000095014701501444,e-7357.txt,2001-08-14,10-Q,0001077050
000089155401504712,d70596_10-ksb.htm,2001-08-29,10KSB,0000803003
000089907801500290,sb2-a_amend42.txt,2001-08-21,SB-2/A,0000946822
000101702201500038,s-11.txt,2001-08-09,S-11,0001017022
000091205701531833,a2058839z10-k.htm,2001-09-10,10-K,0000703351
000113388401500531,gs3-25672.txt,2001-09-14,S-3,0000742685
000101702201500044,pe8.txt,2001-09-21,POS AM,0001017022
000095014401507882,g72093ex10-8.txt,2001-10-17,EX-10.8,0001108281
000095014401507882,g72093ex10-7.txt,2001-10-17,EX-10.7,0001108281
000095014401507882,g72093ex10-9.txt,2001-10-17,EX-10.9,0001108281
000113388401500630,gs3a-25677.txt,2001-10-10,S-3/A,0000742685
000101702201500053,am1.txt,2001-10-31,S-11/A,0001017022
000101323701500062,annualreport01.htm,2001-11-20,EX-13,0001013237
000070335101500016,form10q1q_02.txt,2001-11-13,10-Q,0000703351
000095014701501888,e-7733.txt,2001-11-14,10-Q,0001077050
000094822101500353,cf6150.txt,2001-12-06,N-30D,0001075375
000089907801500520,sb2-dec2001.txt,2001-12-19,SB-2,0000946822
000101702201500057,pe9.txt,2001-12-20,POS AM,0001017022
000101323702000013,q1-2002.htm,2002-01-14,10-Q,0001013237
000089907802000045,jan2002_amend1sb2.txt,2002-01-11,SB-2/A,0000946822
000095014702000276,e-8149.txt,2002-02-15,S-3,0001077050
000070335102000007,form10q2q_02.txt,2002-02-11,10-Q,0000703351
000095013602000549,file001.txt,2002-02-27,DFAN14A,0001126078
000095013602000549,file001.txt,2002-02-27,DFAN14A,0000065433
000091205702007318,a2071504z6-k.htm,2002-02-25,6-K,0001114448
000109230602000088,form10k.txt,2002-03-29,10-K,0000742685
000095000502000362,p15184_10-k.txt,2002-03-29,10-K,0001034397
000101702202000006,am2.txt,2002-03-28,S-11/A,0001017022
000101702202000004,supp5.txt,2002-03-14,424B3,0001017022
000101702202000005,pe10.txt,2002-03-14,POS AM,0001017022
000095014702000501,e-8354.txt,2002-04-01,10-K,0001077050
000091205702014860,a2075760zdef14a.htm,2002-04-12,DEF 14A,0000896841
000091205702017219,a2077939zdef14a.htm,2002-04-30,DEF 14A,0001013488
000095014702000594,e-8457.txt,2002-04-30,S-3/A,0001077050
000101323702000053,q2-2002.htm,2002-04-12,10-Q,0001013237
000095013502002000,b42407rsdef14a.htm,2002-04-15,DEF 14A,0000932064
000095013402003648,d95608e10ksb.txt,2002-04-12,10KSB,0001057807
000095014702000690,e-8542.txt,2002-05-15,10-Q,0001077050
000092701602002829,d10q.htm,2002-05-14,10-Q,0000857005
000093066102002230,d10ksb.txt,2002-06-27,10KSB,0000946822
000101702202000019,pe1.txt,2002-06-26,POS AM,0001017022
000095015202005633,l95410aexv13.txt,2002-07-23,EX-13,0000033769
000095015202005633,l95410ae10vk.txt,2002-07-23,10-K,0000033769
000101323702000065,q3-2002.htm,2002-07-15,10-Q,0001013237
000093066102002402,d424b3.txt,2002-07-15,424B3,0000946822
000093066102002403,d424b3.txt,2002-07-15,424B3,0000946822
000092701602004017,d10q.htm,2002-08-13,10-Q,0000857005
000091664102001204,d10q.htm,2002-08-07,10-Q,0001096343
000116923202001370,d51769_10ksb.htm,2002-08-29,10KSB,0000803003
000095014702001015,e-8839.txt,2002-08-14,10-Q,0001077050
000095013302003105,w62605sv1.htm,2002-08-27,S-1,0000026537
000101702202000023,s11.txt,2002-08-13,S-11,0001017022
000070335102000022,form10k02_ex13.txt,2002-09-24,EX-13,0000703351
000093041302002849,c25565_n30b2.txt,2002-09-17,N-30B-2,0001031661
000101702202000028,pe2.txt,2002-09-26,POS AM,0001017022
000086757902000212,en0428.txt,2002-10-28,8-K,0000086104
000095013302003551,w62605a2sv1za.htm,2002-10-30,S-1/A,0000026537
000095013302003434,w62605a1sv1za.htm,2002-10-15,S-1/A,0000026537
000095014702001258,e-9029.txt,2002-10-09,10-K,0000906326
000095014702001383,e-9133.txt,2002-10-28,10-K/A,0000906326
000095014402012042,g79423exv10w8.txt,2002-11-18,EX-10.8,0001108281
000095014402012042,g79423exv10w7.txt,2002-11-18,EX-10.7,0001108281
000101323702000114,annualreport02.htm,2002-11-26,EX-13,0001013237
000095014702001462,e-9200.txt,2002-11-14,10-Q,0000906326
000120355002000012,janebutel10sb.txt,2002-11-21,10SB12G,0001204853
000095013302003885,w62605b4e424b4.htm,2002-11-19,424B4,0000026537
000101702202000037,pe3.txt,2002-11-21,POS AM,0001017022
000089853102000495,htrf-se.txt,2002-12-09,N-30D,0000811030
000095010902006108,d6k.htm,2002-12-05,6-K,0001038143
000095010902006108,d6k1.pdf,2002-12-05,6-K,0001038143
000092701603000282,d10k.htm,2003-01-28,10-K,0000857005
000102140803000633,dex1023.txt,2003-01-28,EX-10.23,0000944163
000102140803000633,dex1028.txt,2003-01-28,EX-10.28,0000944163
000109230603000025,janebutel10sb.txt,2003-01-29,10SB12G/A,0001204853
000089102003000121,v86842ae424a.htm,2003-01-16,424A,0000949158
000089102003000047,v86842orsv3.htm,2003-01-06,S-3,0000949158
000089710103000059,faif030350_485apos.txt,2003-01-28,485APOS,0000820892
000092701603000545,d10q.htm,2003-02-11,10-Q,0000857005
000095014703000207,e-9587.txt,2003-02-14,10-Q,0000906326
000089102003000460,v86842b4e424b4.htm,2003-02-13,424B4,0000949158
000089102003000393,v86842a1sv3za.htm,2003-02-11,S-3/A,0000949158
000104746903011184,a2107218z10-k.htm,2003-03-31,10-K,0000898660
000091664103000766,dex1031.txt,2003-03-26,EX-10.31,0000944163
000092838503000746,dex991.txt,2003-03-21,EX-99.1,0001085098
000109230603000056,janebutel10sba2.txt,2003-03-03,10SB12G/A,0001204853
000113717103000102,annualreportfor20fver2.htm,2003-03-31,EX-1,0000851064
000095016803000629,d6k.htm,2003-03-07,6-K,0001038143
000095016803000629,d6k1.pdf,2003-03-07,6-K,0001038143
000095014703000439,e-9818.txt,2003-03-31,10-Q/A,0001077050
000113717103000102,f2002annual20f.htm,2003-03-31,20-F,0000851064
000109230603000105,form10kwithchanges.txt,2003-03-31,10-K,0000742685
000095014703000441,e-9817.txt,2003-03-31,10-K,0001077050
000095016803000869,d20f.htm,2003-03-21,20-F,0001038143
000095016803000869,d20f1.pdf,2003-03-21,20-F,0001038143
000085700503000004,ex99.txt,2003-04-03,EX-99,0000857005
000085700503000008,ex9941603.txt,2003-04-16,EX-99,0000857005
000085700503000006,ex9941603.txt,2003-04-16,EX-99,0000857005
000110465903007655,j0071_ex99d1.htm,2003-04-30,EX-99.1,0000898660
000104746903013621,a2108380zdef14a.htm,2003-04-16,DEF 14A,0000898660
000104746903013035,a2107564zdef14a.htm,2003-04-11,DEF 14A,0000896841
000104746903014544,a2109143zdef14a.htm,2003-04-25,DEF 14A,0001013488
000109230603000163,jb10sba3.txt,2003-04-25,10SB12G/A,0001204853
000095013503002307,b45646dfdef14a.htm,2003-04-09,DEF 14A,0000932064
000095013403005868,d04748e10ksb.txt,2003-04-15,10KSB,0001057807
000104746903011795,a2106676zex-99_1ci.htm,2003-04-03,EX-99.1(C)(I),0000898608
000092701603002605,d10q.htm,2003-05-13,10-Q,0000857005
000110465903009808,j0775_10q.htm,2003-05-14,10-Q,0000898660
000104746903017565,a2110535zdefr14a.htm,2003-05-08,DEFR14A,0001013488
000110465903013208,j2508_ex99d1.htm,2003-06-27,EX-99.1,0000898660
000104746903022482,a2113154z20-f.htm,2003-06-27,20-F,0001009245
000101211803000033,f10ksb03.txt,2003-06-16,10KSB,0000764630
000109230603000253,jb10sba4.txt,2003-06-10,10SB12G/A,0001204853
000119312503010841,dex1.txt,2003-06-18,EX-1,0000944163
000119312503010841,dex1.txt,2003-06-18,EX-1,0001118995
000102140803008645,dex101.txt,2003-06-09,EX-10.1,0000944163
000119312503015153,dprer14a.htm,2003-06-30,PRER14A,0000944163
000093176303001895,dpre14a.htm,2003-06-12,PRE 14A,0000944163
000085700503000012,ex9971603.txt,2003-07-16,EX-99,0000857005
000110465903015952,a03-1511_2ex991.htm,2003-07-29,EX-99.1,0000898660
000085700503000010,ex9962803.txt,2003-07-02,EX-99,0000857005
000110465903015486,a03-1334_2ex991.htm,2003-07-23,EX-99.1,0000898660
000110465903015487,a03-1334_1ex991.htm,2003-07-23,EX-99.1,0000898660
000110465903015918,a03-1511_1ex991.htm,2003-07-29,EX-99.1,0000898660
000095015203006982,l02138ae10vk.txt,2003-07-22,10-K,0000033769
000109230603000283,jb10sba5.txt,2003-07-15,10SB12G/A,0001204853
000103570403000514,d06156a1exv99w1.txt,2003-07-15,EX-99.1,0001233203
000119312503017698,ddef14a.htm,2003-07-09,DEF 14A,0000944163
000119312503034241,d10q.htm,2003-08-12,10-Q,0000857005
000110465903019249,a03-2894_1ex99d1.htm,2003-08-20,EX-99.1,0000898660
000110465903018592,a03-1821_110q.htm,2003-08-14,10-Q,0000898660
000109230603000309,jb10sba6.txt,2003-08-11,10SB12G/A,0001204853
000109230603000392,jb10sba7.txt,2003-08-27,10SB12G/A,0001204853
000119312503040685,dex1.txt,2003-08-21,EX-1,0001259020
000119312503040685,dex1.txt,2003-08-21,EX-1,0000944163
000095015203008118,l02960ae10vq.txt,2003-09-08,10-Q,0000033769
000070335103000069,exhibit13.htm,2003-09-23,EX-13,0000703351
000104746903029423,a2118091z6-k.htm,2003-09-02,6-K,0001009245
000119312503047657,d6k.htm,2003-09-10,6-K,0001038143
000119312503065013,dex991.txt,2003-10-22,EX-99.1,0000857005
000110465903023030,a03-4140_1ex99d1.htm,2003-10-17,EX-99.1,0000898660
000110465903022011,a03-3798_1ex99d1.htm,2003-10-02,EX-99.1,0000898660
000110465903024171,a03-4577_1ex99d1.htm,2003-10-30,EX-99.1,0000898660
000109230603000451,jb10sba8.txt,2003-10-02,10SB12G/A,0001204853
000109230603000462,form10ksb.txt,2003-10-06,10KSB,0001204853
000119312503061378,d10k.htm,2003-10-14,10-K,0000906326
000119312503061203,d10q.htm,2003-10-14,10-Q,0000906326
000104746903037736,a2123092zex-99.htm,2003-11-18,EX-99,0000899051
000086757903000306,en0616.txt,2003-11-17,8-K,0000086104
000110465903026496,a03-5372_110q.htm,2003-11-14,10-Q,0000898660
000095013403015651,d10736e10qsb.txt,2003-11-19,10QSB,0001057807
